external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,Piris Prosecco (Extra Dry),Sacchetto,,BOTTLE,0,3900,422,50,Hauptlager,,True
,,Spumante „Bella Glamour Zero Zero“,Iris Vigneti,,BOTTLE,0,3100,550,50,Hauptlager,,True
,,Sekt Brut „Praeclarus“,Kellerei St. Pauls,,BOTTLE,0,4600,1490,50,Hauptlager,,True
,,Sekt Brut Rosé,Arunda - Reiterer,,BOTTLE,0,5300,2050,50,Hauptlager,,True
,,Sekt Extra Brut Riserva,Arunda - Reiterer,,BOTTLE,0,5900,2250,50,Hauptlager,,True
,,Brut Riserva Methius ,Dorigati,,BOTTLE,2015,6900,2780,50,Hauptlager,,True
,,Brut Riserva Methius ,Dorigati,,BOTTLE,2016,6900,2780,50,Hauptlager,,True
,,Prosecco Brut Rosé Bio,Corvezzo,,BOTTLE,0,3800,595,50,Hauptlager,,True
,,Franciacorta Brut Rosé,Marchese Antinori,,BOTTLE,0,6400,2550,50,Hauptlager,,True
,,Franciacorta Brut Cuvée Prestige,Ca’ del Bosco,,BOTTLE,0,6600,3560,50,Hauptlager,,True
,,Champagne Brut AOC „Tradition“,Pascal Machet,,BOTTLE,0,8500,2195,50,Hauptlager,,True
,,Champagne Brut Riserva „Impérial“,Moët & Chandon,,BOTTLE,0,10900,4410,50,Hauptlager,,True
,,Champagne „Ice Impérial“,Moët & Chandon ,,BOTTLE,0,14200,5900,50,Hauptlager,,True
,,Champagne Brut „S. Pétersbourg“,Veuve Clicquot,,BOTTLE,0,11000,4790,50,Hauptlager,,True
,,Champagne „Rich Collection“,Veuve Clicquot,,BOTTLE,0,12500,5300,50,Hauptlager,,True
,,Champagne „Rich Rosé“,Veuve Clicquot,,BOTTLE,0,13900,9327,50,Hauptlager,,True
,,Champagne Premier Brut,Ruinart,,BOTTLE,0,14000,4995,50,Hauptlager,,True
,,Champagne Brut Grand Cru,Perrier Jouët,,BOTTLE,0,14900,5050,50,Hauptlager,,True
,,Champagne Vintage,Dom Pérignon,,BOTTLE,2012,39000,19950,50,Hauptlager,,True
,,Champagne „Belle Epoque”,Perrier Jouët ,,BOTTLE,2013,99000,53600,50,Hauptlager,,True
,,S’Pom Apfelsekt Dry,Pur Südtirol,,BOTTLE,0,3400,495,50,Hauptlager,,True
,,S’Pom Apfelsekt Rosé Dry,Pur Südtirol,,BOTTLE,0,3900,495,50,Hauptlager,,True
,,Pera’S (Williams Birne),Roner,,BOTTLE,0,3900,1180,50,Hauptlager,,True
,,Weissburgunder Ris. „Tecum“ ,Castelfeder ,,MAGNUM,2018,10500,4410,50,Hauptlager,,True
