wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4kt7qj0g8j5en4mpbgmra,,BOTTLE,2022,4500,1470,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,BOTTLE,2011,24500,15069,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,BOTTLE,2012,25400,15890,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,BOTTLE,2013,20900,11800,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,BOTTLE,2015,12900,4530,,Hauptlager,50,,True
wine_01h0my5stwsy05prbvz33fy5h0,,BOTTLE,2013,10300,3695,,Hauptlager,50,,True
wine_01h0my5stwnhdtefay6g5p7rkj,,BOTTLE,2019,4500,1015,,Hauptlager,50,,True
wine_01h0sq47xg77sk3wjaa5ezp15k,,BOTTLE,2021,8200,3300,,Hauptlager,50,,True
wine_01h0qzm02qpnzv0h58cx4ydcz5,,BOTTLE,2018,7500,2820,,Hauptlager,50,,True
wine_01h0my5sf7e1yb4h9wpngjrvxs,,BOTTLE,2020,7300,2880,,Hauptlager,50,,True
wine_01h0my5sf7e1yb4h9wpngjrvxs,,BOTTLE,2019,7300,2880,,Hauptlager,50,,True
wine_01h0qsxmw60741s5xf8a7g1yv2,,BOTTLE,2018,8000,3200,,Hauptlager,50,,True
wine_01havweezej622h1sqhppdwzq1,,BOTTLE,2020,5900,2020,,Hauptlager,50,,True
wine_01h0sq47560drjja56baway98g,,BOTTLE,2021,5300,1850,,Hauptlager,50,,True
wine_01h0sq47560drjja56baway98g,,BOTTLE,2020,5300,1850,,Hauptlager,50,,True
wine_01hczek1bgbjcw1vqbme07w4v0,,BOTTLE,2020,4400,1260,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,BOTTLE,2009,22000,12800,,Hauptlager,50,,True
wine_01gzr4kt7q15mk8x3brs9jj05k,,BOTTLE,2019,9700,3920,,Hauptlager,50,,True
wine_01gzr4ksztvpddgtfj7yt9280n,,BOTTLE,2019,5900,1885,,Hauptlager,50,,True
wine_01gzr4kt7q15mk8x3brs9jj05k,,BOTTLE,2020,9700,3920,,Hauptlager,50,,True
wine_01j52tf0rag9xfsqhsxe9thdwb,,BOTTLE,2014,16400,7415,,Hauptlager,50,,True
wine_01gzr4kt5xwn0938js30zqnvse,,BOTTLE,2018,11900,4930,,Hauptlager,50,,True
wine_01gzr4kthbhm8bfjjcw2z50av6,,BOTTLE,2021,11800,5100,,Hauptlager,50,,True
wine_01gzr4kthbgarrg0k1c68vct6c,,BOTTLE,2018,11700,5100,,Hauptlager,50,,True
wine_01hymr9qk7xvyawnvh1kmnz79m,,BOTTLE,2019,10900,4500,,Hauptlager,50,,True
wine_01harvcmjby60mzr381r074xmq,,BOTTLE,2020,8900,3434,,Hauptlager,50,,True
wine_01harvcmjby60mzr381r074xmq,,BOTTLE,2019,8900,3434,,Hauptlager,50,,True
wine_01gzr4kt7yhpygp62g7w83va2r,,BOTTLE,2018,7500,2890,,Hauptlager,50,,True
wine_01gzr4kt7yhpygp62g7w83va2r,,BOTTLE,2017,7500,2890,,Hauptlager,50,,True
wine_01gzr4kt7ydcf5j21111ckjgqk,,BOTTLE,2021,4400,1600,,Hauptlager,50,,True
wine_01gzr4kt80fkk8tgvb4ry5pcby,,BOTTLE,2020,5300,2400,,Hauptlager,50,,True
wine_01gzr4kt7qrh9g1r2sfq35jvst,,BOTTLE,2018,14900,6370,,Hauptlager,50,,True
wine_01gzr4kt7qrh9g1r2sfq35jvst,,BOTTLE,2017,14900,6370,,Hauptlager,50,,True
wine_01gzr4ksg1bzkkbtawsys1e0qp,,BOTTLE,2019,12700,5065,,Hauptlager,50,,True
wine_01gzr4ksg1bzkkbtawsys1e0qp,,BOTTLE,2017,12700,5065,,Hauptlager,50,,True
wine_01h0r2pqe7swjrs3trks81fdrf,,BOTTLE,2018,15500,5510,,Hauptlager,50,,True
wine_01gzr4ksztvpddgtfj7yt9280n,,BOTTLE,2018,5900,1885,,Hauptlager,50,,True
wine_01h0sq47xgny3zdnmy8t6fhvyr,,MAGNUM,2018,10800,4260,,Hauptlager,50,,True
wine_01h4pmmfh6r404w55z8dcbj6d3,,BOTTLE,2019,4700,1645,,Hauptlager,50,,True
wine_01j52tf7cahm6pkz3np9aca4qa,,BOTTLE,2022,4400,1380,,Hauptlager,50,,True
wine_01h0qsxmwgk8t28kb8pfzpaz06,,BOTTLE,2019,18100,7875,,Hauptlager,50,,True
wine_01h0qsxmwgk8t28kb8pfzpaz06,,BOTTLE,2018,18100,7875,,Hauptlager,50,,True
wine_01jky047nrnmncmgwt9ts0aqnv,,BOTTLE,2022,4700,1320,,Hauptlager,50,,True
wine_01gzr4kt162g2560ph7dkwcsmw,,BOTTLE,2023,4400,1445,,Hauptlager,50,,True
wine_01gzr4kt162g2560ph7dkwcsmw,,BOTTLE,2022,4400,1445,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,MAGNUM,2008,26500,16700,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,MAGNUM,2009,23500,13900,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,MAGNUM,2011,24500,14800,,Hauptlager,50,,True
wine_01gzr4ksg38xhhverb8hjn93qb,,MAGNUM,2012,21500,11900,,Hauptlager,50,,True
wine_01gzr4ksmyxxe6zv6hev5pa5jb,,MAGNUM,2011,37500,26400,,Hauptlager,50,,True
wine_01gzr4ksmyxxe6zv6hev5pa5jb,,MAGNUM,2012,35500,24600,,Hauptlager,50,,True
wine_01gzr4ksmyxxe6zv6hev5pa5jb,,MAGNUM,2017,33000,23080,,Hauptlager,50,,True
