external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,, Brut Arunda,,,BOTTLE,0,5800,0,50,,,True
,, Brut Arunda,,,MAGNUM,0,12500,0,50,,,True
,, Extra Brut Cuvée Marianna  Arunda,,,BOTTLE,0,7100,0,50,,,True
,, Extra Brut Cuvée Marianna Arunda,,,MAGNUM,0,14500,0,50,,,True
,, Brut Rosé Arunda,,,BOTTLE,0,6400,0,50,,,True
,, Brut Rosé Arunda,,,MAGNUM,0,13500,0,50,,,True
,, Extra Brut Metodo Classico Sölva & Söhne,,,BOTTLE,0,5800,0,50,,,True
,, Winkler Lamm No. 12 Sektmanufaktur Winkler,,,BOTTLE,0,8500,0,50,,,True
,,Brut Souvignier Gris Lieselehof,,,BOTTLE,2019,8000,0,50,,,True
,,Brut Rosè Bronner | Johanniter Lieselehof,,,BOTTLE,2020,8900,0,50,,,True
,,Brut Riserva 36 Kellerei Meran,,,BOTTLE,2016,6700,0,50,,,True
,,Brut Riserva 36 Kellerei Meran,,,BOTTLE,2018,6700,0,50,,,True
,, Prosecco Loggia del Colle Carmina,,,BOTTLE,0,3850,0,50,,,True
,, Franciacorta Brut Chardonnay Antica Fratta,,,BOTTLE,0,5900,0,50,,,True
,,Franciacorta Saten Chardonnay Antica Fratta,,,BOTTLE,2020,6700,0,50,,,True
,, Franciacorta Gr. Cuvée Brut Alma Bellavista,,,BOTTLE,0,6900,0,50,,,True
,, Franciacorta Gr. Cuvée Brut Alma Bellavista,,,MAGNUM,0,14500,0,50,,,True
,, Franciacorta Gran Cuvée Rosé Bellavista,,,BOTTLE,0,9700,0,50,,,True
,,Franciacorta Brut Teatro a. Scala Bellavista,,,BOTTLE,2012,8550,0,50,,,True
,,Franciacorta Pas Opere Bellavista,,,BOTTLE,2011,8800,0,50,,,True
,, Franciacorta Cuvée Prestige Ca’del Bosco,,,BOTTLE,0,6750,0,50,,,True
,, Franciacorta Blanc de Blanc Montenisa Antinori,,,BOTTLE,0,6700,0,50,,,True
,, Franciacorta Rosé Montenisa Antinori,,,BOTTLE,0,6900,0,50,,,True
,, Brut Perle Chardonnay Ferrari,,,BOTTLE,0,7400,0,50,,,True
,, Flavio Trento Doc Chardonnay Rotari,,,BOTTLE,0,5800,0,50,,,True
,, Cremant de Bourgogne Brut Pierre Ponnelle,,,BOTTLE,0,5800,0,50,,,True
,, Blanquette de Limoux Antech,,,BOTTLE,0,4600,0,50,,,True
,,Champagne Cristal Louis Roederer Bio,,,BOTTLE,2014,43500,0,50,,,True
,,Champagne Brut Dom Perignon,,,BOTTLE,2012,37500,0,50,,,True
,,Champagne Brut Dom Perignon,,,BOTTLE,2008,42000,0,50,,,True
,,Champagne Brut Rosé Dom Perignon,,,BOTTLE,2006,53900,0,50,,,True
,, La Reserve Palmer & Co,,,BOTTLE,0,8900,0,50,,,True
,, Tradition Brut Michel Laval,,,BOTTLE,0,8800,0,50,,,True
,, Champagne Brut Blanc de Blanc Pierre Legras,,,BOTTLE,0,9500,0,50,,,True
,, Champagne Brut Evidence Bernard Bremont,,,BOTTLE,0,7700,0,50,,,True
,, Champagne Parcellaire Millesime Bernard Bremont,,,BOTTLE,0,9200,0,50,,,True
,, Champagne Brut Blauburgunder Morel,,,BOTTLE,0,8600,0,50,,,True
,, Champagne Brut Rosé Blauburgunder Morel,,,BOTTLE,0,9400,0,50,,,True
,, Champagne Prologue Grand Cru J.M. Labruyere,,,BOTTLE,0,9400,0,50,,,True
,, Champagne Brut Blanc de Noirs Philippe Gilbert,,,BOTTLE,0,9300,0,50,,,True
,, Brut Grand Cuvee 172 Edition Krug,,,BOTTLE,0,36500,0,50,,,True
,, Brut Apanage Pommery,,,MAGNUM,0,16900,0,50,,,True
,, Brut Apanage Rosé  Pommery,,,BOTTLE,0,14000,0,50,,,True
,,Brut Cuveé Louise Millésimé Pommery,,,BOTTLE,2004,24500,0,50,,,True
,, Brut Pinot Noir | Chardonnay Ruinart,,,BOTTLE,0,13500,0,50,,,True
,, Brut Pinot Noir | Chardonnay Ruinart,,,MAGNUM,0,27500,0,50,,,True
,, Brut Rosé Chardonnay | Pinot Noir Ruinart,,,BOTTLE,0,15900,0,50,,,True
,, Brut Rosé Chardonnay | Pinot Noir Ruinart,,,MAGNUM,0,33500,0,50,,,True
,, Blanc de Blanc Chardonnay Ruinart,,,BOTTLE,0,16500,0,50,,,True
,, Blanc de Blanc Chardonnay Ruinart,,,MAGNUM,0,34000,0,50,,,True
,, Brut Joseph Perrier,,,BOTTLE,0,13900,0,50,,,True
,, Rosé Prestige Brut Taittinger,,,BOTTLE,0,13800,0,50,,,True
,, Bla Alcohol Free Sparkling Tea Com.,,,BOTTLE,0,4300,0,50,,,True
,, Lyserod Alcohol Free Sparkling Tea Com.,,,BOTTLE,0,4300,0,50,,,True
,, Lysegron Alcohol Free Sparkling Tea Com.,,,BOTTLE,0,4300,0,50,,,True
,,Weissburgunder Lepus Franz Haas,,,BOTTLE,2023,4100,0,50,,,True
,,Weissburgunder Eichhorn Manincor,,,BOTTLE,2023,5200,0,50,,,True
,,Weissburgunder „La Maiena“ Kellerei Meran,,,BOTTLE,2023,3450,0,50,,,True
,,Weissburgunder Delago  Kellerei Bozen,,,BOTTLE,2023,3800,0,50,,,True
,,Weissburgunder Kristallberg Elena Walch,,,BOTTLE,2022,5450,0,50,,,True
,,Weissburgunder Sirmian Nals Margreid,,,BOTTLE,2022,5500,0,50,,,True
,,Weissburgunder Luma Romen,,,BOTTLE,2022,4200,0,50,,,True
,,Weissburgunder Hofstatt Kellerei Kurtatsch,,,BOTTLE,2022,4000,0,50,,,True
,,Weissburgunder Berg Kellerei Schreckbichl,,,BOTTLE,2022,4500,0,50,,,True
,,Weissburgunder Lapis Oberstein,,,BOTTLE,2021,4600,0,50,,,True
,,Weissburgunder Vorberg Kellerei Terlan,,,BOTTLE,2021,6200,0,50,,,True
,,Weissburgunder Quintessenz Kellerei Kaltern,,,BOTTLE,2021,5200,0,50,,,True
