external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
v.10206.0.b,SPARKLING, Franciacorta Extra brut,CorteBianca,,BOTTLE,,50.0,,3,Purchase Price: 10,,,,,
v.4376.2011.b,WHITE, Vitovska,Čotar,,BOTTLE,2011.0,42.0,,5,Purchase Price: 10,,,,,
v.82577.2022.b,WHITE, Sospiro,De Martin,,BOTTLE,2022.0,38.0,,9,Purchase Price: 9,,,,,
v.9591.0.b,, Kalkspitz,Christoph Hoch,,BOTTLE,,35.0,,4,Purchase Price: 9,,,,,
v.37221.2018.a,, Welschriesling Beerenauslese,Stölzerhof,,HALF_BOTTLE,2018.0,60.0,,2,Purchase Price: 19,,,,,
v.81216.2017.b,, Lo Diverso,Zanon,,BOTTLE,2017.0,40.0,,1,Purchase Price: 7,,,,,
v.83759.2003.b,RED, Majus,Ajello,,BOTTLE,2003.0,42.0,,3,Purchase Price: 10,,,,,
v.6381.2014.b,RED, Burja Noir,Burja,,BOTTLE,2014.0,55.0,,1,Purchase Price: 15,,,,,
v.39205.2006.b,RED, Montecucco Riserva Sangiovese,Campinuovi,,BOTTLE,2006.0,85.0,,2,Purchase Price: 22,,,,,
v.58156.2021.b,WHITE, Maar,Campolavico,,BOTTLE,2021.0,38.0,,8,Purchase Price: 8,,,,,
v.10583.2008.b,WHITE, Grecomusc',Contrade di Taurasi,,BOTTLE,2008.0,45.0,,3,Purchase Price: 9,,,,,
v.42607.1999.b,RED, Terra Rossa,Čotar,,BOTTLE,1999.0,75.0,,1,Purchase Price: 25,,,,,
v.40345.1999.b,WHITE, Collio Bianco,Damijan Podversič,,BOTTLE,1999.0,90.0,,4,Purchase Price: 20,,,,,
v.40346.1999.b,RED, Collio Rosso,Damijan Podversič,,BOTTLE,1999.0,70.0,,1,Purchase Price: 18,,,,,
v.14457.2007.b,WHITE, WeissWein,Dolomytos Sacker,,BOTTLE,2007.0,70.0,,1,Purchase Price: 17,,,,,
v.14457.2014.b,WHITE, WeissWein,Dolomytos Sacker,,BOTTLE,2014.0,60.0,,3,Purchase Price: 13,,,,,
v.14457.2016.b,WHITE, WeissWein,Dolomytos Sacker,,BOTTLE,2016.0,65.0,,1,Purchase Price: 15,,,,,
v.259.1999.b,RED, Montiano,Falesco,,BOTTLE,1999,78.0,,1,Purchase Price: 18,,,,,
v.259.2000.c,RED, Montiano,Falesco,,MAGNUM,2000,140.0,,1,Purchase Price: 30,,,,,
v.259.2001.b,RED, Montiano,Falesco,,BOTTLE,2001,65.0,,1,Purchase Price: 15,,,,,
