wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01h4pmmgjppyjkw0mpd84tmq3t,v.10389.0.c,MAGNUM,0,18000,,,1,Purchase Price: 40
wine_01h4pmmfe7fmdh5e8zk2s7jg3x,v.61401.0.b,BOTTLE,0,8000,,,4,Purchase Price: 24
wine_01h0my5rrsh5769vd433ej87yf,v.31055.0.b,BOTTLE,0,9000,,,2,Purchase Price: 26
wine_01gzr4ks5hvrwywht48ktm381b,v.48127.0.c,MAGNUM,0,30000,,,1,Purchase Price: 60
wine_01h4pmmgqw4heke985bqh0qpc5,v.82256.1999.b,BOTTLE,1999,14000,,,2,Purchase Price: 20
wine_01h0sq4839qgd8m01nh84k8xa0,v.3854.2004.b,BOTTLE,2004,16000,,,1,Purchase Price: 35
wine_01h4pmmfdmcyp929xjhy80yasq,v.3487.2002.b,BOTTLE,2002,26000,,,1,Purchase Price: 60
wine_01h4pmmfdmcyp929xjhy80yasq,v.3487.2004.b,BOTTLE,2004,24000,,,1,Purchase Price: 55
wine_01gzr4ks5k6ak3y9g7ejccn89n,v.63580.0.b,BOTTLE,0,8000,,,3,Purchase Price: 24
wine_01h4pmmfe9xpabnmke6g1eqrbe,v.16297.2007.b,BOTTLE,2007,13500,,,2,Purchase Price: 22
wine_01h4pmmgnp2hq2etqw5bwe4zwy,v.7886.2008.b,BOTTLE,2008,13000,,,1,Purchase Price: 38
wine_01gzr4ktsex2yqnthj8zdxzxaa,v.5612.0.b,BOTTLE,0,12000,,,2,Purchase Price: 32
wine_01h4pmmfe8rzecsg1btqe8rx9p,v.4006.1998.b,BOTTLE,1998,17000,,,1,Purchase Price: 35
wine_01gzr4ksd2c8ryrf1nbh9jb83z,v.33307.0.b,BOTTLE,0,20000,,,6,Purchase Price: 70
wine_01gzr4ksd7vexbj0rhdtag7bxq,v.3013.1983.b,BOTTLE,1983,250000,,,1,Purchase Price: 500
wine_01h0my5rrt43bhwsxbja6feke6,v.82116.0.b,BOTTLE,0,9000,,,3,Purchase Price: 17
wine_01gzr4kt02yjfq3wztmzcc6wa4,v.57464.2015.b,BOTTLE,2015,15000,dég. 07/2021,,2,Purchase Price: 35
wine_01gzr4ks5rjgv2sq8xrabxr8wp,v.8869.0.b,BOTTLE,0,8000,,,2,Purchase Price: 20
wine_01hawwcxa27jj9y0ggrvyd2kte,v.37043.0.b,BOTTLE,0,13000,,,2,Purchase Price: 53
wine_01h4pmmfdrwnngwv6qk4nr555b,v.7885.0.b,BOTTLE,0,8500,,,1,Purchase Price: 18
wine_01h4pmmgga3vbxb894snpph8v5,v.59612.2018.b,BOTTLE,2018,22000,dég. 1er trim./2022,,2,Purchase Price: 55
wine_01h4pmmggaxrdgr8zppscnwg54,v.82727.0.b,BOTTLE,0,9000,,,2,Purchase Price: 20
wine_01h4pmmgfxvjpfmmr1edkxtrx7,v.7224.2014.b,BOTTLE,2014,12000,,,1,Purchase Price: 25
wine_01h4pmmgg9k14f0gnzh514bdh5,v.10420.2006.b,BOTTLE,2006,14000,,,1,Purchase Price: 35
wine_01gzr4ksd86zp7p57wrwa5y92d,v.3403.1962.b,BOTTLE,1962,350000,,,2,Purchase Price: 600
wine_01gzr4ksd86zp7p57wrwa5y92d,v.3403.1980.b,BOTTLE,1980,300000,,,1,Purchase Price: 500
wine_01gzr4ksd86zp7p57wrwa5y92d,v.3403.1990.b,BOTTLE,1990,170000,,,2,Purchase Price: 380
wine_01gzr4ksd1q5hvwrcr5dxtbzer,v.1642.1982.b,BOTTLE,1982,50000,,,1,Purchase Price: 120
wine_01gzr4ksd1q5hvwrcr5dxtbzer,v.1642.2013.b,BOTTLE,2013,35000,,,4,Purchase Price: 165
wine_01gzr4ks6b2k540e2ka1nyb25q,v.51837.2010.b,BOTTLE,2010,11500,,,3,Purchase Price: 35
wine_01h4pmmgjm3mteh0qq7cmvs93a,v.7925.0.b,BOTTLE,0,8000,,,3,Purchase Price: 28
wine_01h0qzm1bsnb19j22jfj73jm8p,v.77532.0.b,BOTTLE,0,8500,,,7,Purchase Price: 28
wine_01h4pmmgg5x3xh4ee8x4m2w9kk,v.3486.2012.c,MAGNUM,2012,30000,,,1,Purchase Price: 70
wine_01h4pmmghb9qp8rn7nh3magpc6,v.59053.2006.b,BOTTLE,2006,12000,,,2,Purchase Price: 30
wine_01h4pmmghfeje50rw34f5qktgw,v.59032.0.b,BOTTLE,0,8500,,,2,Purchase Price: 17
wine_01gzr4ks70smrqk779zqx1bafp,v.74413.2007.b,BOTTLE,2007,11000,,,2,Purchase Price: 20
wine_01h0f3cmbq1sxygq6w6sphdzfj,v.3639.0.b,BOTTLE,0,8000,,,2,Purchase Price: 18
wine_01harvcmbnns09ne00g5hxjmcz,v.82129.0.b,BOTTLE,0,8000,,,50,Purchase Price: 15
wine_01h0f3cmbr3mravh188b68jawp,v.9620.0.b,BOTTLE,0,8000,,,1,Purchase Price: 22
wine_01h4pmmgrgrwnzh4zjbw2hfq83,v.10002.0.b,BOTTLE,0,12000,,,1,Purchase Price: 30
wine_01h0my5sndfvgfsmgpq1sh47ym,v.33308.2007.b,BOTTLE,2007,13000,,,1,Purchase Price: 30
wine_01h4pmmfcv3x4j7zjx66tr9nds,v.7411.0.b,BOTTLE,0,8000,,,1,Purchase Price: 22
wine_01gzr4ks5j4h64yhqmtm9r5m8j,v.64012.0.b,BOTTLE,0,9000,,,1,Purchase Price: 28
wine_01h0f3cmbqcbmv7hmb84a80q3w,v.3914.0.d,JEROBOAM,0,45000,,,1,Purchase Price: 140
wine_01havwee2q5xmgyyebazv9x0c4,v.36041.2000.b,BOTTLE,2000,30000,,,2,Purchase Price: 75
wine_01gzr4ks5vtmcbtxja8zx2ax6e,v.11504.0.b,BOTTLE,0,10000,,,2,Purchase Price: 20
wine_01gzr4ks5v6frxwmtpv63b8g5e,v.11502.0.b,BOTTLE,0,10000,,,1,Purchase Price: 20
wine_01gzr4ksvk13dm1ne0jj2atfza,v.9154.2005.b,BOTTLE,2005,5500,,,3,Purchase Price: 14
wine_01gzr4ksmhg6vcqgh0yaswcf2q,v.44302.2014.c,MAGNUM,2014,11500,,,1,Purchase Price: 20
wine_01gzr4ksmh9302dy5236keyvrq,v.79454.2008.b,BOTTLE,2008,7500,,,2,Purchase Price: 10
wine_01gzr4ksmh9302dy5236keyvrq,v.79454.2014.b,BOTTLE,2014,6500,,,5,Purchase Price: 10
wine_01h0qzm1c50s127wjc6zgn9vet,v.862.2008.b,BOTTLE,2008,5000,,,2,Purchase Price: 9
wine_01h4pmmh5hac6bg79zw4cfdrxs,v.60066.1988.b,BOTTLE,1988,19000,,,1,Purchase Price: 45
wine_01h4pmmh5hac6bg79zw4cfdrxs,v.60066.1993.b,BOTTLE,1993,14000,,,1,Purchase Price: 34
wine_01h4pmmh5hac6bg79zw4cfdrxs,v.60066.1998.b,BOTTLE,1998,14000,,,1,Purchase Price: 34
wine_01h4pmmh5hac6bg79zw4cfdrxs,v.60066.2001.b,BOTTLE,2001,11000,,,1,Purchase Price: 26
wine_01h4pmmh5hac6bg79zw4cfdrxs,v.60066.2003.b,BOTTLE,2003,9500,,,1,Purchase Price: 17
wine_01gzr4ksd9g2qczzz0cx3tvx6c,v.4856.1981.b,BOTTLE,1981,13000,,,3,Purchase Price: 40
wine_01gzr4kttk8v6hy65rtkcpnvn0,v.79456.2015.m,HALF_LITER,2015,4000,,,3,Purchase Price: 10
wine_01havwef3f3jf8f4nn7xdnvpe5,v.43572.2016.b,BOTTLE,2016,5500,,,2,Purchase Price: 15
wine_01h4pmmfcjnyg4ynedgrt20cbz,v.1091.2012.b,BOTTLE,2012,6500,,,2,Purchase Price: 15
wine_01gzr4ktfzcgrff12qdpgex4k7,v.948.2000.b,BOTTLE,2000,9000,,,3,Purchase Price: 23
wine_01h0f3cmbqe2bgwr3gzn5g3r5g,v.6037.2007.b,BOTTLE,2007,5000,,,2,Purchase Price: 10
wine_01h0my5sm7e8v5kpr4k3pqr5tr,v.11614.2007.b,BOTTLE,2007,6000,,,4,Purchase Price: 12
wine_01gzr4ktse0n59hdwbtkb5sxj6,v.6536.0.b,BOTTLE,0,5500,,,1,Purchase Price: 12
wine_01h0qsxnmh0b39t4rcnjqhyxxy,v.80515.1998.b,BOTTLE,1998,13000,,,4,Purchase Price: 22
wine_01gzr4kse4bg9s9j5b4s29c4dx,v.6791.0.b,BOTTLE,0,5000,,,2,Purchase Price: 11
wine_01gzr4kse4wryy547zzxe2jc3q,v.7237.2000.b,BOTTLE,2000,6500,,,2,Purchase Price: 15
wine_01gzr4ksg8k4bmj63frpwedzwy,v.54404.0.b,BOTTLE,0,4500,,,2,Purchase Price: 9
wine_01h0my5rpf6r8p4r918aa1xf2j,v.16695.0.b,BOTTLE,0,4500,,,2,Purchase Price: 9
wine_01h4pmmfcebyt2p7r5bwtgrvzj,v.7872.0.c,MAGNUM,0,10000,,,1,Purchase Price: 20
wine_01havwedmc0v4qgfcd30c78bxr,v.46310.2012.b,BOTTLE,2012,5000,,,4,Purchase Price: 10
wine_01gzr4ksg8d1xfq2fxxyvwhbtd,v.57375.0.b,BOTTLE,0,4500,,,4,Purchase Price: 8
