wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
,v.44223.1997.b,BOTTLE,1997,9000,,,1,Purchase Price: 19
,v.83131.1997.b,BOTTLE,1997,5000,,,7,Purchase Price: 10
,v.32716.1999.b,BOTTLE,1999,18000,,,3,Purchase Price: 39
,v.40345.1999.b,BOTTLE,1999,9000,,,4,Purchase Price: 20
,v.40346.1999.b,BOTTLE,1999,7000,,,1,Purchase Price: 18
,v.4196.2000.b,BOTTLE,2000,12000,,,2,Purchase Price: 35
,v.44108.2000.b,BOTTLE,2000,5000,,,1,Purchase Price: 10
,v.12280.2000.b,BOTTLE,2000,5500,,,1,Purchase Price: 10
,v.13065.2002.b,BOTTLE,2002,10000,,,1,Purchase Price: 25
,v.61043.2002.b,BOTTLE,2002,6000,,,1,Purchase Price: 12
,v.83836.2002.b,BOTTLE,2002,9000,,,3,Purchase Price: 20
,v.44223.2002.b,BOTTLE,2002,7500,,,1,Purchase Price: 16
,v.14305.2003.b,BOTTLE,2003,8500,,,2,Purchase Price: 25
,v.83130.2003.b,BOTTLE,2003,5000,,,2,Purchase Price: 10
,v.82742.2003.b,BOTTLE,2003,7500,,,1,Purchase Price: 17
,v.83472.2004.b,BOTTLE,2004,4200,,,1,Purchase Price: 10
,v.83130.2004.b,BOTTLE,2004,5000,,,2,Purchase Price: 10
,v.83132.2004.b,BOTTLE,2004,4800,,,1,Purchase Price: 10
,v.83131.2004.b,BOTTLE,2004,4500,,,1,Purchase Price: 10
,v.82251.2008.b,BOTTLE,2008,4000,,,2,Purchase Price: 10
,v.61476.2008.b,BOTTLE,2008,5000,,,5,Purchase Price: 11
,v.36846.2010.b,BOTTLE,2010,7000,,,2,Purchase Price: 18
,v.84734.2010.b,BOTTLE,2010,6000,,,5,Purchase Price: 14
,v.83130.2010.b,BOTTLE,2010,4500,,,1,Purchase Price: 10
,v.82804.2010.b,BOTTLE,2010,4500,,,2,Purchase Price: 7
,v.82803.2010.b,BOTTLE,2010,4500,,,5,Purchase Price: 7
,v.66829.2018.b,BOTTLE,2018,3500,,,5,Purchase Price: 10
,v.82253.2018.b,BOTTLE,2018,4000,,,1,Purchase Price: 9
,v.57542.2019.b,BOTTLE,2019,3500,,,18,Purchase Price: 9
,v.83550.2019.b,BOTTLE,2019,5000,,,7,Purchase Price: 18
,v.77973.2022.b,BOTTLE,2022,3500,,,11,Purchase Price: 8
,v.82577.2022.b,BOTTLE,2022,3800,,,9,Purchase Price: 9
,,BOTTLE,2005,0,,,6,
,,BOTTLE,2005,0,,,2,
