type,full_details,size,price,internal_notes
,Prosecco,,,
SPARKLING,VEDOVA Extra Dry Superiore Millesimato 2022,0.75,€ 25.00,https://www.shop-cantinevedova.com/it/rive-millesimato-docg-15
SPARKLING,,0.75,,
SPARKLING,Franciacorta,0.75,,
SPARKLING,BELLAVISTA Grand Cuvèe ALMA Brut,0.75,€ 56.00,https://www.bellavistawine.it/Public/images/167/bellavista_almabrut_scheda_tecnica.pdf
SPARKLING,BELLAVISTA “RISERVA MORETTI” Extra Brut 2013 (2 - 2004),0.75,€ 129.00,https://www.bellavistawine.it/Public/images/132/bellavista_vittoriomoretti_scheda_tecnica.pdf
SPARKLING,BELLAVISTA Saten 2015,0.75,€ 79.00,https://www.bellavistawine.it/Public/images/118/terra_moretti_bellavista_sate-n_senza_annata_ita.pdf
SPARKLING,BERLUCCHI “61 NATURE” Brut 2015,0.75,€ 49.00,https://www.berlucchi.it/wp-content/uploads/2022/04/Berlucchi-61-Franciacorta-Nature-2015.pdf
SPARKLING,BERLUCCHI “PALAZZO LANA RISERVA” Extra Brut 2007 ,0.75,€ 69.00,https://www.berlucchi.it/wp-content/uploads/2021/10/Palazzo-Lana-EXTREME-RGB-ita-1.pdf
SPARKLING,CA DEL BOSCO “ANNA MARIA CLEMENTI” Cuvèe 2014 (? - 2013) (4 - 2006),0.75,€ 170.00,https://www.cadelbosco.com/wp-content/files_mf/1650869062AnnamariaClementi2013_ITA.pdf
SPARKLING,"CA DEL BOSCO “CUVÉE PRESTIGE"" 45a edizione Extra Brut",0.75,€ 54.00,https://www.cadelbosco.com/wp-content/files_mf/1637188306Cuv%C3%A9ePrestigeEdizione44_ITA.pdf
SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Extra Brut 2018,0.75,€ 79.00,https://www.cadelbosco.com/wp-content/files_mf/1607100716BrutMill2016_VintageCollection_ITA.pdf
SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero 2018 ,0.75,€ 86.00,https://www.cadelbosco.com/wp-content/files_mf/1650555758DosageZ%C3%A9ro2017_VintageCollection_ITA.pdf
SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero Noir 2010,0.75,€ 120.00,https://www.cadelbosco.com/wp-content/files_mf/1650945175DosageZ%C3%A9roNoir2013_VintageCollection_ITA.pdf
SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Saten 2018,0.75,€ 79.00,https://www.cadelbosco.com/wp-content/files_mf/1650965135Sat%C3%A8n2017_VintageCollection_ITA.pdf
SPARKLING,CAMILLUCCI FRANCIACORTA Brut ,0.75,€ 39.00,https://www.vivino.com/IT/it/camilucci-franciacorta-brut/w/6266186?bottle_count=1&gclid=CjwKCAjw_b6WBhAQEiwAp4HyINa-OOM6fwZ3PRYmmEZSfKS16DJ6dpKVbzvhwkEj7WqOqnrcMlxy-xoCpC4QAvD_BwE&istBid=t&istCompanyId=1f45d186-ba46-4ea2-9835-5874342b279a&istFeedId=49622936-1088-4832-99c0-030a939ffe0d&istItemId=pawlpqmiq&utm_campaign=PM_02_466&utm_content=IT&utm_medium=paid_search&utm_source=google
SPARKLING,CAMILLUCCI FRANCIACORTA ST.13 RISERVA Brut Nature,0.75,€ 52.00,https://www.camilucci.it/st/
SPARKLING,"UBERTI ""COMARÍ DEL SALEM"" Extra Brut",0.75,€ 69.00,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf
SPARKLING,"UBERTI ""FRANCESCO I"" Extra Brut",0.75,€ 39.00,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf
SPARKLING,,0.75,,
SPARKLING,Trento Doc,0.75,,
SPARKLING,ALTEMASI Brut 2019,0.75,€ 39.00,https://www.tannico.it/trento-brut-doc-millesimato-2017-altemasi.html
SPARKLING,BLAUWAL CUVEÉ Extra Brut ,0.75,€ 42.00,https://www.shop-cesconi.it/it/blauwal-cevee-extra-brut-trentino-doc-metodo-classico-cesconi-71
SPARKLING,DER BLAUWAL Riserva Extra Brut 2013,0.75,€ 79.00,https://www.shop-cesconi.it/it/blauwal-riserva-extra-brut-trento-doc-metodo-classico-cesconi-71
SPARKLING,ETYSSA N.5 Extra Brut 2016,0.75,€ 45.00,https://www.wineilvino.it/negozio/spumanti/trento-extra-brut-cuvee-numero-5-etyssa/
SPARKLING,FERRARI “PERLÉ” Brut 2016 (?- 2015) ,0.75,€ 54.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Trentodoc-4.pdf
SPARKLING,FERRARI “PERLÉ ZERO” Cuvèe 2014 (? - 2010),0.75,€ 99.00,https://www.ferraritrento.com/wp-content/uploads/2017/09/Ferrari-Perle-Zero-Cuvee-Zero14-Trentodoc.pdf
SPARKLING,FERRARI “PERLÉ BIANCO RISERVA” Brut 2015 (5 - 2014),0.75,€ 89.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Bianco-Riserva-Trentodoc-1.pdf
SPARKLING,FERRARI “PERLÉ NERO” Brut 2013 (6 - 2011),0.75,€ 125.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Nero-Riserva-Trentodoc-1.pdf
SPARKLING,FERRARI “RISERVA LUNELLI” Brut 2015 (2 - 2012),0.75,€ 139.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Riserva-Lunelli-Trentodoc-6.pdf
SPARKLING,FERRARI “GIULIO FERRARI RISERVA DEL FONDATORE” Brut 2009 (2 - 2008) (3 - 2006) ,0.75,€ 220.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Giulio-Ferrari-Riserva-del-Fondatore-Trentodoc-7.pdf
SPARKLING,MOSER “51151” Brut ,0.75,€ 38.00,https://mosertrento.com/wp-content/uploads/2021/03/Scheda-Trentodoc-51151.pdf
SPARKLING,FERRARI “PERLÉ ROSE” Brut 2015 ,0.75,€ 68.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Rose-Riserva-Trentodoc-2.pdf
SPARKLING,,0.75,,
SPARKLING,Trentino Alto Adige - Vigneti delle Dolomiti ,0.75,,
SPARKLING,"KETTMEIR ""1919"" Riserva Extra Brut 2015",0.75,€ 65.00,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_1919_Extra_Brut_ITA.pdf
SPARKLING,"KETTMEIR ""ATHESIS"" Brut 2017",0.75,€ 39.00,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_Brut_Athesis_ITA.pdf
SPARKLING,SAN LEONARDO BLANC DE BLANC G. Gonzaga Vigneti delle Dolomiti IGT 2017,0.75,€ 39.00,https://www.sanleonardo.it/vini/spumante/spumante.pdf
SPARKLING,HARTMANN DONÀ Blanc de Rouge Extra brut,0.75,€ 46.00,https://enotecaterruli.it/prodotto/blanc-de-rouge-extra-brut-hartmann-dona/
SPARKLING,MAT'55 Extra Brut Pian delle Vette Vigneti Delle Dolomiti IGT 2012,0.75,€ 49.00,https://shop.piandellevette.it/shop/prod/mat-55-0-75cl-millesimato-2012-328
SPARKLING,POJER & SANDRI Brut Rosè,0.75,€ 45.00,https://www.pojeresandri.com/wp-content/uploads/2019/09/Brut-Rose.pdf?x45718
SPARKLING,POJER & SANDRI Extra Brut Cuvee 17-18,0.75,€ 55.00,https://www.pojeresandri.com/wp-content/uploads/2019/09/Cuvee-Extra-Brut.pdf?x45718
SPARKLING,POJER & SANDRI “ZERO INFINITO” ,0.75,€ 35.00,https://www.pojeresandri.com/wp-content/uploads/2019/09/Zero-Infinito.pdf?x45718
SPARKLING,,0.75,,
SPARKLING,Friuli Venezia Giulia,0.75,,
SPARKLING,"LIS NERIS ""DOM JUROSA"" Brut",0.75,€ 42.00,https://shop.lisneris.it/it/home/30-dom-jurosa-brut
SPARKLING,ROSA BOSCO Brut Blanc de Blanc ,0.75,€ 45.00,https://depuppi.it/wp-content/uploads/2020/06/005-SchedeVino-ITA-GIU20-RosaBosco-BlancDeBlanc.pdf
SPARKLING,VILLA PARENS Extra Brut Blanc de Blanc ,0.75,€ 35.00,https://www.cucinaevini.it/sparkle/blanc-de-blancs-extra-brut/
SPARKLING,,0.75,,
SPARKLING,Umbria,0.75,,
SPARKLING,"DECUGNANO DEI BARBI Dosaggio Zero Millesimato 2017 (50% Chardonnay, 50% Pinot Nero)",0.75,€ 39.00,https://www.decugnanodeibarbi.com/wp-content/uploads/METODO-CLASSICO-SCHEDA.pdf
SPARKLING,,0.75,,
SPARKLING,Germania - Rheingau ,0.75,,
SPARKLING,SCHLOSS REINHARTSHAUSEN Rheingau Riesling Brut ,0.75,€ 36.00,https://www.scalo17.it/prodotto/schloss-reinhartshausen-rheingau-riesling-brut-metodo-classico/
SPARKLING,,0.75,,
SPARKLING,Borgogna,0.75,,
SPARKLING,"VEUVE AMBAL CREMANT DE BOURGOGNE Grand Cuvée Brut (Chardonnay, Pinot Nero, Aligotè, Gamè)",0.75,€ 36.00,https://www.wineexpert.it/it/prodotto/Cremant-de-%20Bourgogne-Gran-cuvee-Brut-Veuve-%20Ambal.aspx
SPARKLING,,0.75,,
SPARKLING,Francia - Champagne,0.75,,
SPARKLING,Le grandi Maison,0.75,,
SPARKLING,AUBRY FYLS Brut 1° Cru ,0.75,€ 80.00,https://www.callmewine.com/champagne-aubry-P6768.htm
SPARKLING,AUBRY FYLS Rosè Sablè 2008 ,0.75,€ 120.00,https://www.callmewine.com/champagne-aubry-rose-P6767.htm
SPARKLING,BILLECART SALMON Brut Reserve,0.75,€ 80.00,https://www.tannico.it/champagne-brut-reserve-billecart-salmon.html
SPARKLING,BILLECART SALMON Blanc de Blancs,0.75,€ 130.00,https://www.vinatis.it/44237-champagne-billecart-salmon-grand-cru-blanc-de-blancs
