type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
,"CHARDONNAY ""CUVÉE BOIS"" Les Crêtes Valle D'Aosta DOP ","CHARDONNAY ""CUVÉE BOIS"" Les Crêtes Valle D'Aosta DOP ",,BOTTLE,2020.0, 69.00,,https://www.lescretes.it/wp-content/uploads/2021/11/LES-CRETES-chardonnay-CUVEE-BOIS.pdf,,,,,
,ROSÉ Les Crêtes Valle D'Aosta DOP ,ROSÉ Les Crêtes Valle D'Aosta DOP ,,BOTTLE,2021.0, 32.00,,https://www.lescretes.it/wp-content/uploads/2021/05/Rose.pdf,,,,,
,CHATEAU MUSAR  Valle della Beeka Gaston Hochar  ,CHATEAU MUSAR  Valle della Beeka Gaston Hochar  ,,BOTTLE,2016.0, 85.00,"CABERNET SAUVIGNON, CINSAULT, GRENACHE | 1 - 2015",https://florwine.com/prodotto/chateau-musar-rosso-2015/?gclid=Cj0KCQjwz96WBhC8ARIsAATR250KH4RPaMeNPtqJGTTZ9_H6zSz1Jr8xW4PPjYn7cqxjUQCzdczjCO8aAj5OEALw_wcB,,,,,
,VIÑA GRAVONIA BLANCO Gran Reserva  Rioja ,VIÑA GRAVONIA BLANCO Gran Reserva  Rioja ,,BOTTLE,2014.0, 65.00,VIURA 100%,https://www.italvinus.it/it/vino/vina-gravonia-blanco-crianza/,,,,,
,VIÑA TONDONIA ROSATO Gran Reserva  Rioja ,VIÑA TONDONIA ROSATO Gran Reserva  Rioja ,,BOTTLE,2012.0, 95.00,"TEMPRANILLO 30%, GARNACHO 60%, VIURA 10%",https://www.drinksco.it/vino-rioja/bodegas-r-lopez-de-heredia-rioja-vina-tondonia-gran-reserva-2012,,,,,
,CARTOLOGY  Alheit Vineyard - Cape Town Sud Africa ,CARTOLOGY  Alheit Vineyard - Cape Town Sud Africa ,,BOTTLE,2021.0, 69.00,"CHENIN BLANC, SEMILLON",https://www.tannico.it/western-cape-wo-cartology-2019-alheit-vineyards.html?utm_source=aw-it-categories-brand-wine-dsa&utm_medium=cpc&utm_campaign=aw-it-categories-brand-wine-dsa&nol=true&ep=true&gclid=CjwKCAjw7eSZBhB8EiwA60kCWymypaMBBmRUZ9OGrPhS1-A_YLvnhyb8HeLWL7fq2wi87sbvfUZDtBoCCKAQAvD_BwE,,,,,
,ALTEMASI Brut ,ALTEMASI Brut ,,MAGNUM,2017.0, 85.00,,https://www.tannico.it/trento-brut-doc-millesimato-2017-altemasi.html,,,,,
,CA DEL BOSCO “ANNA MARIA CLEMENTI” Cuvèe ,CA DEL BOSCO “ANNA MARIA CLEMENTI” Cuvèe ,,MAGNUM,2014.0, 360.00,,https://www.cadelbosco.com/wp-content/files_mf/1650869062AnnamariaClementi2013_ITA.pdf,,,,,
,BLAUWAL CUVEÉ Extra Brut ,BLAUWAL CUVEÉ Extra Brut ,,MAGNUM,, 80.00,,https://www.shop-cesconi.it/it/blauwal-cevee-extra-brut-trentino-doc-metodo-classico-cesconi-71,,,,,
,"UBERTI ""FRANCESCO I"" Extra Brut","UBERTI ""FRANCESCO I"" Extra Brut",,MAGNUM,, 90.00,,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf,,,,,
