"type","external_id","name","winery","size","internal_notes","purchase_price"," VKP ","sales_price"," Enoteca ","takeaway_price"
"SPARKLING",10110,"Prosecco di Valdobbiadene, Extra Brut","Bortolin",,"Holzer"," 8.00 € "," 23.76 € "," 35.00 € "," 13.00 € ","13.00   "
"SPARKLING",10116,"Arunda Brut Rosè Exellor ","Arunda",,"Karadar"," 25.00 € "," 53.68 € "," 54.00 € "," 39.65 € ","39.50   "
"SPARKLING",10117,"Hausmannhof Reserve 2013","Haderburg",,"direkt"," 35.00 € "," 71.28 € "," 69.00 € "," 55.51 € ","55.50   "
"SPARKLING",10118,"Solera Extra Brut","Marco Buvoli",,," 29.00 € "," 60.72 € "," 75.00 € "," 45.99 € ","46.00   "
"SPARKLING",10119,"Haderburg Spumante Brut","Haderburg",,"direkt"," 16.00 € "," 37.84 € "," 39.00 € "," 28.60 € ","28.60   "
"SPARKLING",10119,"Blanc de noir 7 Anni Extra Brut","Marco Buvoli",,"direkt "," 38.00 € "," 76.56 € "," 77.00 € "," 60.27 € ","59.50   "
"SPARKLING",10120,"Haderburg Pas dosè 2017","Haderburg",,"direkt"," 21.70 € "," 47.87 € "," 48.00 € "," 34.42 € ","34.50   "
"SPARKLING",10121,"Brut Nature ","Steinegger",,," 25.00 € "," 53.68 € "," 54.00 € "," 39.70 € ","39.40   "
"SPARKLING",10122,"Ferrari Brut Perlè ","Lunelli",,"Perpmer"," 27.22 € "," 57.59 € "," 65.00 € "," 43.17 € ","43.50   "
"SPARKLING",10123,"Champagne Longitude Blanc de Blanc ","Larmandier Bernier",,"Teatro"," 51.70 € "," 100.67 € "," 99.00 € "," 81.90 € ","81.90   "
"SPARKLING",10124,"Buvoli Tre Rosè E.B.","Marco Buvoli",,"Direkt"," 24.50 € "," 52.80 € "," 45.00 € "," 38.86 € ","31.70   "
"SPARKLING",10125,"Champagner Premier Cru Extra Brut","Guy Larmandier ",,"Holzer"," 28.90 € "," 60.54 € "," 59.00 € "," 45.84 € ","46.00   "
"SPARKLING",10126,"Extra Brut super 6 ","Marco Buvoli",,"direkt"," 35.00 € "," 71.28 € "," 69.00 € "," 55.51 € ","55.50   "
"SPARKLING",10127,"Moscato d'Asti Lumine 2024","Ca'd'Gal",,," 9.55 € "," 26.49 € "," 32.00 € "," 15.15 € ","17.90   "
"SPARKLING",10210,"Champagne Royal Reserve Pas Dose","Philipponnat",,," 49.00 € "," 95.92 € "," 89.00 € "," 77.71 € ","77.70   "
"SPARKLING",10211,"Champagne Roederer Collection 244","Roederer",,"direkt"," 57.00 € "," 110.00 € "," 110.00 € "," 89.00 € ","89.00   "
"SPARKLING",10212,"Champagne Brut Reserve ","Pol Roger",,," 43.95 € "," 87.03 € "," 87.00 € "," 69.70 € ","69.70   "
"SPARKLING",10213,"Champagne Rosè","Billecart Salmon",,"Karadar"," 67.00 € "," 127.60 € "," 127.00 € "," 106.30 € ","106.30   "
"SPARKLING",10214,"Frank John Brut Natur Riesling","Frank John",,," 18.82 € "," 42.80 € "," 43.00 € "," 29.85 € ","29.90   "
"SPARKLING",10215,"Franciacorta Blanc de Blanc Nature","Cavalleri",,"Holzer "," 21.40 € "," 47.34 € "," 47.00 € "," 39.30 € ","39.30   "
"SPARKLING",10216,"Blanc de Blanc Brut Natur","Montris",,," 26.00 € "," 55.44 € "," 55.00 € "," 41.20 € ","41.20   "
"SPARKLING",10217,"Grand Reserve Blanc de Blanc Brut Nature","Fred Loimer",,," 32.00 € "," 66.00 € "," 66.00 € "," 50.75 € ","50.90   "
"SPARKLING",10219,"Champagne Cuvèe 747 E.B.","Jacquesson",,," 60.00 € "," 115.28 € "," 115.00 € "," 95.16 € ","95.20   "
"SPARKLING",10220,"Champagne Cuvèe 746 Magnum","Jacquesson","MAGNUM",,,,," - € ",
"SPARKLING",10221,"Champagne Zero Brut Nature","Tarlant",,"Teatro"," 37.50 € "," 75.68 € "," 76.00 € "," 59.90 € ","59.90   "
"WHITE",20122,"Riesling Ried Steinberg 2019","Weingut Hajszan",,," 18.00 € ",,,,
"SPARKLING",20218,"Blanc de Noir Brut ","Weingut Münzberg",,," 22.00 € "," 48.40 € "," 49.00 € "," 34.89 € ","34.90   "
"SPARKLING",20219,"Cremant Jura Brut Nature ","Domaine Pignier",,," 18.50 € "," 42.24 € "," 42.00 € "," 29.34 € ","25.90   "
"WHITE",21110,"Grüner Veltliner Smaragd Ried Kreutless 2022","Weingut Knoll",,"Döllerer"," 26.90 € "," 57.02 € "," 57.00 € "," 42.66 € ","42.70   "
"WHITE",21120,"Grüner Veltliner Vinotheque 1993","Weingut Nikolaihof",,," 48.00 € "," 94.16 € "," 125.00 € "," 76.00 € ","76.00   "
"WHITE",21120,"Grüner Veltliner 2019/20","Weingut Garlider",,"Karadar"," 11.80 € "," 30.45 € "," 32.00 € "," 22.00 € ","22.00   "
"WHITE",21121,"Grüner Veltliner Faß Nr. 4 2022","Weingut B.Ott",,"Döllerer"," 14.60 € "," 35.38 € "," 39.00 € "," 23.00 € ","23.00   "
"WHITE",21122,"Grüner Veltliner Der Ott 2022","Weingut B.Ott",,," 22.00 € "," 48.40 € "," 47.00 € "," 31.50 € ","31.50   "
"WHITE",21130,"Grüner Veltliner Rosenberg 2019","Weingut B.Ott",,," 26.90 € "," 57.02 € "," 57.00 € "," 43.00 € ","43.00   "
"WHITE",21130,"Grüner Veltliner Rigger 2021","Griesser Hof",,"vinum"," 12.90 € "," 32.38 € "," 32.50 € "," 20.50 € ","20.50   "
"WHITE",21140,"Grüner Veltliner Spiegel Feuersbrunn 2020","Weingut B. Ott",,"Döllerer"," 26.70 € "," 56.67 € "," 56.00 € "," 42.50 € ","42.50   "
"WHITE",21150,"Grüner Veltliner Am Berg 2022 Magnum","Weingut B. Ott","MAGNUM","Döllerer"," 20.00 € "," 44.88 € "," 45.00 € "," 31.70 € ","31.70   "
"WHITE",21150,"Grüner Veltlinger Muga 2021","Spitalerhof",,"direkt"," 18.00 € "," 41.36 € "," 42.00 € "," 28.55 € ","28.60   "
"WHITE",21151,"Grüner Veltlinger Muga 2020","Spitalerhof",,"direkt"," 18.00 € "," 41.36 € "," 45.00 € "," 28.55 € ","33.00   "
