external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,takeaway_price
10110.0,SPARKLING,"Prosecco di Valdobbiadene, Extra Brut",Bortolin,,BOTTLE,0,3500,800,50,,Holzer,True,1300
10116.0,SPARKLING,Arunda Brut Rosè Exellor ,Arunda,,BOTTLE,0,5400,2500,50,,Karadar,True,3950
10117.0,SPARKLING,Hausmannhof Reserve 2013,Haderburg,,BOTTLE,2013,6900,3500,50,,direkt,True,5550
10118.0,SPARKLING,Solera Extra Brut,Marco Buvoli,,BOTTLE,0,7500,2900,50,,,True,4600
10119.0,SPARKLING,Haderburg Spumante Brut,Haderburg,,BOTTLE,0,3900,1600,50,,direkt,True,2860
10119.0,SPARKLING,Blanc de noir 7 Anni Extra Brut,Marco Buvoli,,BOTTLE,0,7700,3800,50,,direkt ,True,5950
10120.0,SPARKLING,Haderburg Pas dosè 2017,Haderburg,,BOTTLE,2017,4800,2170,50,,direkt,True,3450
10121.0,SPARKLING,Brut Nature ,Steinegger,,BOTTLE,0,5400,2500,50,,,True,3940
10122.0,SPARKLING,Ferrari Brut Perlè ,Lunelli,,BOTTLE,0,6500,2722,50,,Perpmer,True,4350
10123.0,SPARKLING,Champagne Longitude Blanc de Blanc ,Larmandier Bernier,,BOTTLE,0,9900,5170,50,,Teatro,True,8190
10124.0,SPARKLING,Buvoli Tre Rosè E.B.,Marco Buvoli,,BOTTLE,0,4500,2450,50,,Direkt,True,3170
10125.0,SPARKLING,Champagner Premier Cru Extra Brut,Guy Larmandier ,,BOTTLE,0,5900,2890,50,,Holzer,True,4600
10126.0,SPARKLING,Extra Brut super 6 ,Marco Buvoli,,BOTTLE,0,6900,3500,50,,direkt,True,5550
10127.0,SPARKLING,Moscato d'Asti Lumine 2024,Ca'd'Gal,,BOTTLE,2024,3200,955,50,,,True,1789
10210.0,SPARKLING,Champagne Royal Reserve Pas Dose,Philipponnat,,BOTTLE,0,8900,4900,50,,,True,7770
10211.0,SPARKLING,Champagne Roederer Collection 244,Roederer,,BOTTLE,0,11000,5700,50,,direkt,True,8900
10212.0,SPARKLING,Champagne Brut Reserve ,Pol Roger,,BOTTLE,0,8700,4395,50,,,True,6970
10213.0,SPARKLING,Champagne Rosè,Billecart Salmon,,BOTTLE,0,12700,6700,50,,Karadar,True,10630
10214.0,SPARKLING,Frank John Brut Natur Riesling,Frank John,,BOTTLE,0,4300,1882,50,,,True,2990
10215.0,SPARKLING,Franciacorta Blanc de Blanc Nature,Cavalleri,,BOTTLE,0,4700,2140,50,,Holzer ,True,3929
10216.0,SPARKLING,Blanc de Blanc Brut Natur,Montris,,BOTTLE,0,5500,2600,50,,,True,4120
10217.0,SPARKLING,Grand Reserve Blanc de Blanc Brut Nature,Fred Loimer,,BOTTLE,0,6600,3200,50,,,True,5090
10219.0,SPARKLING,Champagne Cuvèe 747 E.B.,Jacquesson,,BOTTLE,0,11500,6000,50,,,True,9520
