wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01h0f3cmbtcrj6dy2n3hdvwpne,10120.0,BOTTLE,2017,4800,2170,,,50,direkt,True
wine_01h0my5t5mxkz17njcvgpjctwc,10127.0,BOTTLE,2024,3200,955,,,50,,True
wine_01j52tf0mffmjw26b67kfv5djj,20122.0,BOTTLE,2019,0,1800,,,50,,True
wine_01h0sq48v82nm17cq351epm9e4,21110.0,BOTTLE,2022,5700,2690,,,50,Döllerer,True
wine_01h0qzm1g05z4fzy8ag4vdsbyx,21120.0,BOTTLE,2019,3200,1180,,,50,Karadar,True
wine_01gzr4ksy44gxm4sejjrckq5xk,21121.0,BOTTLE,2022,3900,1460,,,50,Döllerer,True
wine_01gzr4ksy4fxxpxb4cekgknmnd,21122.0,BOTTLE,2022,4700,2200,,,50,,True
wine_01gzr4ksy4xwa20w2my2q0t5g5,21130.0,BOTTLE,2019,5700,2690,,,50,,True
wine_01havwefgt9ayde5263nsenywq,21130.0,BOTTLE,2021,3250,1290,,,50,vinum,True
wine_01gzr4ksy4pedwgykbhvq1rcm8,21150.0,MAGNUM,2022,4500,2000,,,50,Döllerer,True
wine_01hczek18pnjt54xamheb2nff5,21160.0,BOTTLE,2019,3600,1500,,,50,,True
wine_01hczek18pnjt54xamheb2nff5,21170.0,BOTTLE,2020,0,0,,,50,,True
wine_01h0my5tyamv8bq6thfvdrdte4,21170.0,BOTTLE,2020,3400,1400,,,50,,True
wine_01h0sq48v96zv7wxqqr09rd6t6,21171.0,BOTTLE,2020,6300,3000,,,50,,True
wine_01h0my5rbq4tyhyes4vcm6w3c3,21171.0,BOTTLE,2022,3700,1535,,,50,,True
wine_01h0my5rbqpkdt1kxf4qvpa0ev,21172.0,BOTTLE,2021,3800,1595,,,50,Perpmer,True
wine_01h0qzm2436ek6qyh1x0vdg86k,21173.0,BOTTLE,2022,3200,1267,,,50,Karadar,True
wine_01gzr4ksyvv5406frw97s7srqr,21179.0,BOTTLE,2019,7500,3379,,,50,,True
wine_01gzr4ksyvv5406frw97s7srqr,21180.0,BOTTLE,2021,6900,3379,,,50,,True
wine_01h0sq47vezrd4vebp8esf2ybf,21180.0,BOTTLE,2021,5900,3100,,,50,,True
wine_01h0sq47vezrd4vebp8esf2ybf,21181.0,BOTTLE,2016,6800,3000,,,50,,True
wine_01havwefgvyastpb2zhw3az9rw,21190.0,BOTTLE,2020,3500,1019,,,50,Döllerer,True
wine_01h0my5rn5js3r3qz5qkgvdg7a,21191.0,BOTTLE,2021,4500,2000,,,50,Döllerer,True
wine_01gzr4ksyfb4nmdez6j3p7jvy2,21192.0,BOTTLE,2022,4500,2200,,,50,Döllerer,True
wine_01gzr4ksnhagat09p3j6fbxnyp,22001.0,BOTTLE,2020,4300,1910,,,50,direkt,True
wine_01hnwt2aa2g1qyw0brtr8775zm,22014.0,BOTTLE,2020,4850,2210,,,50,direkt,True
wine_01h0sq4759r3f6zt34bhfamcnv,22015.0,BOTTLE,2019,5500,2550,,,50,Karadar,True
wine_01hyj9f3adjf8eqj5727qp5j96,22016.0,BOTTLE,2012,6200,0,,,50,,True
wine_01hyj9f3adjf8eqj5727qp5j96,22017.0,BOTTLE,2021,4900,2330,,,50,Holzer,True
wine_01hyj9f3adjf8eqj5727qp5j96,22018.0,MAGNUM,2021,9800,4988,,,50,,True
wine_01h0my5rh25pt7y1fmk9dnq1f1,22019.0,BOTTLE,2021,0,0,,,50,,True
wine_01h0my5rh2nfd15xycd4yz3qrh,22020.0,BOTTLE,2021,3900,1745,,,50,Karadar,True
wine_01gzr4kt52h2jcjxnaf6f47mma,22021.0,BOTTLE,2020,3800,1630,,,50,,True
wine_01h0r2pppdmvhf8j766453e0qb,22050.0,BOTTLE,2015,5900,2600,,,50,direkt,True
wine_01h0f3cmbcvx6snc5mgec0yca2,22052.0,BOTTLE,2016,6600,3200,,,50,Döller,True
wine_01h0f3cmbcvx6snc5mgec0yca2,22053.0,BOTTLE,2017,6200,3000,,,50,Döllerer,True
wine_01h0f3cmbcvx6snc5mgec0yca2,22054.0,BOTTLE,2018,5900,2800,,,50,Döllerer,True
wine_01j52texn5s8rjwn08ccx36t8j,22062.0,BOTTLE,2022,4900,2269,,,50,direkt,True
wine_01j52tex59bnpp4ae245p6amxn,22063.0,MAGNUM,2018,11900,0,,,50,,True
wine_01j52tex59bnpp4ae245p6amxn,22064.0,BOTTLE,2020,6900,3400,,,50,direkt,True
wine_01j52tex59bnpp4ae245p6amxn,22065.0,BOTTLE,2017,7900,4000,,,50,direkt,True
wine_01h0my5smtnjjegkwj342h4tz2,22070.0,BOTTLE,2022,3500,1400,,,50,Vinum,True
wine_01gzr4kt16sm52a0mjjy0q62v0,22071.0,BOTTLE,2022,3900,1705,,,50,Holzer,True
wine_01h0qzm1g11c8stq4ft2b7kmw5,22072.0,BOTTLE,2022,3300,1302,,,50,Karadar,True
wine_01gzr4ksk550tpn2vchzczedvk,22073.0,BOTTLE,2020,4400,1789,,,50,Holzer,True
wine_01gzr4ksk550tpn2vchzczedvk,22074.0,BOTTLE,2008,6900,3500,,,50,Holzer,True
wine_01j52tf2r4fed93sv57t12bqts,22075.0,BOTTLE,2022,3400,1378,,,50,,True
wine_01h0r2pppcmr7ky05k0cp1jnny,22081.0,BOTTLE,2021,5100,2300,,,50,,True
wine_01j52tezv75a1bgj8f9mx8cyy2,22082.0,BOTTLE,2021,3900,1597,,,50,,True
wine_01h0qsxmvw08hsa6byhtmc1p9w,22082.0,BOTTLE,2020,5600,2322,,,50,Karadar,True
wine_01hawwcx8j5xpxp22p5ras26ks,22083.0,BOTTLE,2023,3000,1150,,,50,,True
wine_01h0qsxmvwsdxn2k83g5prhjp4,22101.0,BOTTLE,2023,4850,2050,,,50,,True
wine_01h0qsxmvwmrn49xwep50xat53,22103.0,BOTTLE,2023,0,2500,,,50,,True
wine_01h0qsxmvw08hsa6byhtmc1p9w,22103.0,BOTTLE,2023,0,0,,,50,,True
wine_01h4pmmh5f4989k8ry1r5hfwcg,22104.0,BOTTLE,2022,7600,3800,,,50,Sabine,True
wine_01gzr4ksnhbwyrbwc7bjpeg0nf,22105.0,BOTTLE,2022,3700,1540,,,50,direkt,True
wine_01h4pmmh5gwwvq8pbvtvvfhr4h,22105.0,MAGNUM,2020,12900,0,,,50,Sabine,True
wine_01gzr4ksyf81knzd98am8ry24p,22107.0,BOTTLE,2022,4900,2280,,,50,Sabine,True
wine_01gzr4ksxr1bejk64g4r34wzex,22110.0,BOTTLE,2011,8500,3000,,,50,,True
wine_01gzr4ksy25khf8dw3e4eq6hsy,22112.0,BOTTLE,2016,4900,3500,,,50,,True
