"PRODUTTORE","VINO","ANNATA","QUANTITA'","Purchase Price + notes",
"BORGO DEL TIGLIO","ROSSO RISERVA",1999,6,,
,"ROSSO DELLA CENTA",2001,1,,
,"SAUVIGNON",2009,2,,
,"VERDUZZO",1998,5,,
,"MALVASIA",2022,4,,
"RONCO DEL GNEMIZ","MERLOT SOL",2001,1,,
,"MERLOT SOL",2006,4,,
,"CABERNET DOTT PALAZ",2008,2,,
,"SCHIOPPETTINO",2006,6,,
,"ROSSO DEL GNEMIZ",2000,1,,
,"ROSSO DEL GNEMIZ",2001,1,,
,"SAUVIGNON",2006,1,,
,"SAUVIGNON SOL",2006,1,,
,"MERLOT SOL 2009 (MAGNUM)",2009,2,,
"MIANI","MERLOT",2018,1,,
,"SAUVIGNON",2023,6,,
,"FRIULANO",2023,6,,
,"MERLOT BURI MG",2021,1,,
,"MERLOT BURI",2021,6,,
,"ROSSO",2009,7,,
,"ROSSO",2020,6,,
,"REFOSCO dal Peduncolo rosso",2019,6,,
,"REFOSCO CALVARI",2003,1,,
,"ROSSO MIANI",1997,1,,
"VILLA RUSSIZ","MERLOT GRAF DE LA TOUR",2007,4,,
,"MERLOT GRAF DE LA TOUR",2012,3,,
,"SAUVIGNON GRAF DE LA TOUR",2009,2,,
"FELLUGA","SOSSO'",2000,2,,
,"SOSSO' MAGNUM",2009,1,,
"TOROS","MERLOT MAGNUM",2011,1,,
"RADIKON","MERLOT MAGNUM",1997,2,,
,"MERLOT",1997,1,,
"GRAVNER","ROSSO BREG",2008,4,,
,"RIBOLLA MG",2015,1,,
,"RIBOLLA GIALLA ",2015,2,,
,"RIBOLLA GIALLA ",2016,1,,
"CASTELLO DI BROLIO","CHIANTI CLASSICO (MAGNUM)",1997,1,,
"AVIGNONESI","MERLOT TOSCANA",1997,2,,
"CASE VIA FONTODI","SYRAH",1995,2,,
"EDI SIMCIC","DUET",2001,2,,
"CA' DEL BOSCO","PINOT NERO",1991,1,,
"VALENTINI","TREBBIANO D'ABRUZZO",2002,1,,
"BERSANO","BAROLO",1990,1,,
"BIONDI SANTI","BRUNELLO",1983,2,,
,"ROSSO DI MONTALCINO",1989,1,,
"SASSICAIA",,1984,1,,
,"BOLGHERI",1980,1,,
"RATTI","BAROLO ROCCHE",2006,6,,
,"CONCA",2006,6,,
,"CONCA (MAGNUM)",2006,4,,
"GAJA","BARBARESCO",2004,3,,
,"BARBARESCO",2005,1,,
,"SPERES",2004,1,,
,"CREMES",1997,1,,
"DOMENICO CLERICO","BAROLO CIABOT MENTIN GINESTRA",2005,2,,
,"BAROLO CIABOT M. G. (MAGNUM)",2005,2,,
,"PAJANA",2005,5,,
"FALLETTO DI BRUNO GIACOSA","BARBARESCO",2005,6,,
,"BARBARESCO (MAGNUM)",2005,2,,
,"BARBARESCO",2007,6,,
,"BAROLO riserva",2004,2,,
,"BAROLO",2005,6,,
"G.CONTERNO- MONFORTINO","BAROLO",2015,3,,
,"BAROLO",2000,4,,
,"BAROLO ",2002,6,,
,"BAROLO (MAGNUM)",2002,2,,
,"BAROLO",2005,6,,
,"BAROLO (MAGNUM)",2005,1,,
"G.CONTERNO-CASCINA FRANCIA","BAROLO ",2017,5,,
,"BAROLO",2008,6,,
,"BAROLO",2007,4,,
,"BAROLO",2006,3,,
,"BAROLO",2005,4,,
,"BAROLO",2004,7,,
,"BAROLO",2003,3,,
,"BAROLO ",2017,5,,
,"BAROLO",1997,4,,
,"BAROLO (MAGNUM)",2009,2,,
,"BAROLO (MAGNUM)",2005,4,,
,"BAROLO (MAGNUM)",2006,1,,
,"BAROLO (MAGNUM)",2007,1,,
,"BAROLO (MAGNUM)",2008,1,,
,"BARBERA CASCINA FRANCIA",2009,1,,
,"BARBERA CASCINA FRANCIA",2022,6,,
"CONTERNO-NERVI","GATTINARA",2018,6,,
,"GATTINARA vigna molsino",2018,6,,
"CONTERNO FANTINO","GATTINARA",2021,11,,
,"GATTINARA vigna molsino",2020,6,,
,"NEBBIOLO",2020,6,,
"PIAN POLVERE SOPRANO","BAROLO (MAGNUM)",2000,2,,
,"BAROLO ",2001,3,,
,"BAROLO (MAGNUM)",2001,2,,
,"BAROLO",2004,6,,
,"BAROLO (MAGNUM)",2004,1,,
"ROCCA DEI MANZONI","MADONNA ASSUNTA (3L)",1999,1,,
,"MADONNA ASSUNTA (1,5L MG)",1999,2,,
,"BAROLO VIGNA ROCCHE",1993,2,,
,"VIGNA D'LA ROUL",1993,1,,
,"BAROLO CAPPELLA S. STEFANO",2001,4,,
,"BAROLO MADONNA ASS.-LA VILLA",1999,4,,
"FRANCESCO RINALDI","BAROLO BRUNATE",2019,6,,
"VIETTI ","BAROLO",2020,6,,
"CERETTO ","BARBARESCO BERNARDOT",2019,6,,
,"BAROLO  PRAPÓ ",2020,2,,
,"BAROLO BRUNATE",2020,2,,
,"BAROLO BUSSIA",2020,2,,
"FLACCIANELLO","DELLA PIEVE",1995,5,,
"ALLEGRINI","LA POJA",1996,2,,
,"PALAZZO DELLA TORRE",1997,1,,
"JOLY (TRIPLE A)","CLOS DE LA COULEE DE SERRANT",2004,2,€ 130,
,"PULIGNY MONTRACHET LES FOLATIERES 1CRU",2009,1,€ 100,"Buona annata*** "
,"PULIGNY MONTRACHET LES COMBETTES 1CRU",2009,2,€ 110,"***"
,"PULIGNY MONTRACHET LES COMBETTES",2007,1,€ 90,"*"
,"BORGOGNE ALIGOTE'",2009,2,"€45/50","da vendere"
"DOMAINE DU CAILLOU (Ceretto)","LES QUARTZ",2005,5,€ 80,"Rosso"
"DIDIER DAGUENEAU","PURSANG BLANC FUME DE POILLY",2005,2,€ 120,
,"PURSANG BLANC FUME DE POILLY MAGNUM",2005,1,€ 250,
"DOMAINE BONNEAU DU MARTRAY","CORTON CHARLEMAGNE GRAND CRU",2006,1,€ 200,"Annata top****"
"DOMAINE JACQUES PRIEUR (CERETTO)","BEAUNE CLOS DE LA FEGUINE 1CRU",2006,1,€ 80,
,"BEAUNE CLOS DE LA FEGUINE 1CRU",2005,1,€ 90,
,"BEAUNE CLOS DE LA FEGUINE 1CRU",2009,2,€ 90,
,"CLOS VOUGEOT GRAND CRU",2005,2,€ 300,
,"CLOS VOUGEOT GRAND CRU",2007,1,€ 300,
,"MONTRACHET GRAND CRU",2009,1,"€1300?",
,"MEURSAULT PERRIERES 1CRU",2009,2,"€250/260",
,"PULIGNY MONTRACHET LES COMBETTES 1CRU",2009,2,"€150/160",
,"CHEVALIER MONTRACHET GRAND CRU MAGNUM",2009,1,"€ 1,200",
"YVES BOYER MARTENOT","PULIGNY MONTRACHET 1CRU LE CAILLERT",2006,2,150,
,"MEURSAULT PERRIERS 1CRU",2006,2,260,
"DOMAINE GUFFENS","MACON PIERRECLOS",2005,2,70,
"DOMAINE CHAVY CHOUET","POULIGNY MONTRACHET 1CRU LES FOLATIERES",2010,1,80,
"DOMAINE AUX MOINES (BORDO)","SAVENNIERES ROCHE AUX MOINES",2004,4,30,
"DOMAINE FONTAINE GAGNARD (CERETTO)","CHASSAGNE MONTRACHET 1CRU LES VERGERS",2007,1,90,
,"CHASSAGNE MONTRACHET 1CRU LA MATROIE",2009,1,100,
,"CRIOTES BATARD MONTRACHET GRAND CRU",2009,2,500,
,"CHASSAGNE MONTRACHET 1CRU LA MALTROIE",2006,3,100,
,"CHASSAGNE MONTRACHET 1CRU LA MALTROIE",2005,2,90,
"DOMAINE A.ET.P DE VILLAINE (proprietario Romaneè conti)","BOUZERON",2009,1,"200 (non si trovano)",
,"CHASSAGNE MONTRACHET 1CRU LES CAILLERETS",2009,3,100,
"DOMAINE FONTAINE GAGNARD (CERETTO)","CHASSAGNE MONTRACHET 1CR LES VERGERS",2009,1,,
"DUGAT PY - GEVREY CHAMBERTIN","BOURGOGNE CUVEE HALINARD",2007,1,60,
,"COEUR DE ROY",2006,1,150,
,"1CRU CHAMPEAUX",2007,2,200,
