name,winery,vintage,size,qty,purchase_price,internal_notes,internal_notes_2
ROSSO RISERVA,BORGO DEL TIGLIO,1999,BOTTLE,6,,,
ROSSO DELLA CENTA,BORGO DEL TIGLIO,2001,BOTTLE,1,,,
SAUVIGNON,BORGO DEL TIGLIO,2009,BOTTLE,2,,,
VERDUZZO,BORGO DEL TIGLIO,1998,BOTTLE,5,,,
MALVASIA,BORGO DEL TIGLIO,2022,BOTTLE,4,,,
MERLOT SOL,RONCO DEL GNEMIZ,2001,BOTTLE,1,,,
MERLOT SOL,RONCO DEL GNEMIZ,2006,BOTTLE,4,,,
CABERNET DOTT PALAZ,RONCO DEL GNEMIZ,2008,BOTTLE,2,,,
SCHIOPPETTINO,RONCO DEL GNEMIZ,2006,BOTTLE,6,,,
ROSSO DEL GNEMIZ,RONCO DEL GNEMIZ,2000,BOTTLE,1,,,
ROSSO DEL GNEMIZ,RONCO DEL GNEMIZ,2001,BOTTLE,1,,,
SAUVIGNON,RONCO DEL GNEMIZ,2006,BOTTLE,1,,,
SAUVIGNON SOL,RONCO DEL GNEMIZ,2006,BOTTLE,1,,,
MERLOT SOL 2009 (MAGNUM),RONCO DEL GNEMIZ,2009,MAGNUM,2,,,
MERLOT,MIANI,2018,BOTTLE,1,,,
SAUVIGNON,MIANI,2023,BOTTLE,6,,,
FRIULANO,MIANI,2023,BOTTLE,6,,,
MERLOT BURI MG,MIANI,2021,BOTTLE,1,,,
MERLOT BURI,MIANI,2021,BOTTLE,6,,,
ROSSO,MIANI,2009,BOTTLE,7,,,
ROSSO,MIANI,2020,BOTTLE,6,,,
REFOSCO dal Peduncolo rosso,MIANI,2019,BOTTLE,6,,,
REFOSCO CALVARI,MIANI,2003,BOTTLE,1,,,
ROSSO MIANI,MIANI,1997,BOTTLE,1,,,
MERLOT GRAF DE LA TOUR,VILLA RUSSIZ,2007,BOTTLE,4,,,
MERLOT GRAF DE LA TOUR,VILLA RUSSIZ,2012,BOTTLE,3,,,
SAUVIGNON GRAF DE LA TOUR,VILLA RUSSIZ,2009,BOTTLE,2,,,
SOSSO',FELLUGA,2000,BOTTLE,2,,,
SOSSO' MAGNUM,FELLUGA,2009,MAGNUM,1,,,
MERLOT MAGNUM,TOROS,2011,MAGNUM,1,,,
MERLOT MAGNUM,RADIKON,1997,MAGNUM,2,,,
MERLOT,RADIKON,1997,BOTTLE,1,,,
ROSSO BREG,GRAVNER,2008,BOTTLE,4,,,
RIBOLLA MG,GRAVNER,2015,BOTTLE,1,,,
RIBOLLA GIALLA ,GRAVNER,2015,BOTTLE,2,,,
RIBOLLA GIALLA ,GRAVNER,2016,BOTTLE,1,,,
CHIANTI CLASSICO (MAGNUM),CASTELLO DI BROLIO,1997,MAGNUM,1,,,
MERLOT TOSCANA,AVIGNONESI,1997,BOTTLE,2,,,
SYRAH,CASE VIA FONTODI,1995,BOTTLE,2,,,
DUET,EDI SIMCIC,2001,BOTTLE,2,,,
PINOT NERO,CA' DEL BOSCO,1991,BOTTLE,1,,,
TREBBIANO D'ABRUZZO,VALENTINI,2002,BOTTLE,1,,,
BAROLO,BERSANO,1990,BOTTLE,1,,,
BRUNELLO,BIONDI SANTI,1983,BOTTLE,2,,,
ROSSO DI MONTALCINO,BIONDI SANTI,1989,BOTTLE,1,,,
,SASSICAIA,1984,BOTTLE,1,,,
BOLGHERI,SASSICAIA,1980,BOTTLE,1,,,
BAROLO ROCCHE,RATTI,2006,BOTTLE,6,,,
CONCA,RATTI,2006,BOTTLE,6,,,
CONCA (MAGNUM),RATTI,2006,BOTTLE,4,,,
BARBARESCO,GAJA,2004,BOTTLE,3,,,
BARBARESCO,GAJA,2005,BOTTLE,1,,,
SPERES,GAJA,2004,BOTTLE,1,,,
CREMES,GAJA,1997,BOTTLE,1,,,
BAROLO CIABOT MENTIN GINESTRA,DOMENICO CLERICO,2005,BOTTLE,2,,,
BAROLO CIABOT M. G. (MAGNUM),DOMENICO CLERICO,2005,MAGNUM,2,,,
PAJANA,DOMENICO CLERICO,2005,BOTTLE,5,,,
BARBARESCO,FALLETTO DI BRUNO GIACOSA,2005,BOTTLE,6,,,
BARBARESCO (MAGNUM),FALLETTO DI BRUNO GIACOSA,2005,BOTTLE,2,,,
BARBARESCO,FALLETTO DI BRUNO GIACOSA,2007,BOTTLE,6,,,
BAROLO riserva,FALLETTO DI BRUNO GIACOSA,2004,BOTTLE,2,,,
BAROLO,FALLETTO DI BRUNO GIACOSA,2005,BOTTLE,6,,,
BAROLO,G.CONTERNO- MONFORTINO,2015,BOTTLE,3,,,
BAROLO,G.CONTERNO- MONFORTINO,2000,BOTTLE,4,,,
BAROLO ,G.CONTERNO- MONFORTINO,2002,BOTTLE,6,,,
BAROLO (MAGNUM),G.CONTERNO- MONFORTINO,2002,BOTTLE,2,,,
BAROLO,G.CONTERNO- MONFORTINO,2005,BOTTLE,6,,,
BAROLO (MAGNUM),G.CONTERNO- MONFORTINO,2005,BOTTLE,1,,,
BAROLO ,G.CONTERNO-CASCINA FRANCIA,2017,BOTTLE,5,,,
BAROLO,G.CONTERNO-CASCINA FRANCIA,2008,BOTTLE,6,,,
BAROLO,G.CONTERNO-CASCINA FRANCIA,2007,BOTTLE,4,,,
BAROLO,G.CONTERNO-CASCINA FRANCIA,2006,BOTTLE,3,,,
BAROLO,G.CONTERNO-CASCINA FRANCIA,2005,BOTTLE,4,,,
BAROLO,G.CONTERNO-CASCINA FRANCIA,2004,BOTTLE,7,,,
BAROLO,G.CONTERNO-CASCINA FRANCIA,2003,BOTTLE,3,,,
BAROLO ,G.CONTERNO-CASCINA FRANCIA,2017,BOTTLE,5,,,
BAROLO,G.CONTERNO-CASCINA FRANCIA,1997,BOTTLE,4,,,
BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,2009,MAGNUM,2,,,
BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,2005,MAGNUM,4,,,
BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,2006,MAGNUM,1,,,
BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,2007,MAGNUM,1,,,
BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,2008,MAGNUM,1,,,
BARBERA CASCINA FRANCIA,G.CONTERNO-CASCINA FRANCIA,2009,BOTTLE,1,,,
BARBERA CASCINA FRANCIA,G.CONTERNO-CASCINA FRANCIA,2022,BOTTLE,6,,,
GATTINARA,CONTERNO-NERVI,2018,BOTTLE,6,,,
GATTINARA vigna molsino,CONTERNO-NERVI,2018,BOTTLE,6,,,
GATTINARA,CONTERNO FANTINO,2021,BOTTLE,11,,,
GATTINARA vigna molsino,CONTERNO FANTINO,2020,BOTTLE,6,,,
NEBBIOLO,CONTERNO FANTINO,2020,BOTTLE,6,,,
BAROLO (MAGNUM),PIAN POLVERE SOPRANO,2000,MAGNUM,2,,,
BAROLO ,PIAN POLVERE SOPRANO,2001,BOTTLE,3,,,
BAROLO (MAGNUM),PIAN POLVERE SOPRANO,2001,MAGNUM,2,,,
BAROLO,PIAN POLVERE SOPRANO,2004,BOTTLE,6,,,
BAROLO (MAGNUM),PIAN POLVERE SOPRANO,2004,MAGNUM,1,,,
MADONNA ASSUNTA (3L),ROCCA DEI MANZONI,1999,JEROBOAM,1,,,
"MADONNA ASSUNTA (1,5L MG)",ROCCA DEI MANZONI,1999,MAGNUM,2,,,
BAROLO VIGNA ROCCHE,ROCCA DEI MANZONI,1993,BOTTLE,2,,,
VIGNA D'LA ROUL,ROCCA DEI MANZONI,1993,BOTTLE,1,,,
BAROLO CAPPELLA S. STEFANO,ROCCA DEI MANZONI,2001,BOTTLE,4,,,
BAROLO MADONNA ASS.-LA VILLA,ROCCA DEI MANZONI,1999,BOTTLE,4,,,
