external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,ROSSO RISERVA,BORGO DEL TIGLIO,,BOTTLE,1999,0,0,6,Cantinetta, ,True
,,ROSSO DELLA CENTA,BORGO DEL TIGLIO,,BOTTLE,2001,0,0,1,Cantinetta, ,True
,,SAUVIGNON,BORGO DEL TIGLIO,,BOTTLE,2009,0,0,2,Cantinetta, ,True
,,VERDUZZO,BORGO DEL TIGLIO,,BOTTLE,1998,0,0,5,Cantinetta, ,True
,,MALVASIA,BORGO DEL TIGLIO,,BOTTLE,2022,0,0,4,Cantinetta, ,True
,,MERLOT SOL,RONCO DEL GNEMIZ,,BOTTLE,2001,0,0,1,Cantinetta, ,True
,,MERLOT SOL,RONCO DEL GNEMIZ,,BOTTLE,2006,0,0,4,Cantinetta, ,True
,,CABERNET DOTT PALAZ,RONCO DEL GNEMIZ,,BOTTLE,2008,0,0,2,Cantinetta, ,True
,,SCHIOPPETTINO,RONCO DEL GNEMIZ,,BOTTLE,2006,0,0,6,Cantinetta, ,True
,,ROSSO DEL GNEMIZ,RONCO DEL GNEMIZ,,BOTTLE,2000,0,0,1,Cantinetta, ,True
,,ROSSO DEL GNEMIZ,RONCO DEL GNEMIZ,,BOTTLE,2001,0,0,1,Cantinetta, ,True
,,SAUVIGNON,RONCO DEL GNEMIZ,,BOTTLE,2006,0,0,1,Cantinetta, ,True
,,SAUVIGNON SOL,RONCO DEL GNEMIZ,,BOTTLE,2006,0,0,1,Cantinetta, ,True
,,MERLOT SOL 2009 (MAGNUM),RONCO DEL GNEMIZ,,MAGNUM,2009,0,0,2,Cantinetta, ,True
,,MERLOT,MIANI,,BOTTLE,2018,0,0,1,Cantinetta, ,True
,,SAUVIGNON,MIANI,,BOTTLE,2023,0,0,6,Cantinetta, ,True
,,FRIULANO,MIANI,,BOTTLE,2023,0,0,6,Cantinetta, ,True
,,MERLOT BURI MG,MIANI,,BOTTLE,2021,0,0,1,Cantinetta, ,True
,,MERLOT BURI,MIANI,,BOTTLE,2021,0,0,6,Cantinetta, ,True
,,ROSSO,MIANI,,BOTTLE,2009,0,0,7,Cantinetta, ,True
,,ROSSO,MIANI,,BOTTLE,2020,0,0,6,Cantinetta, ,True
,,REFOSCO dal Peduncolo rosso,MIANI,,BOTTLE,2019,0,0,6,Cantinetta, ,True
,,REFOSCO CALVARI,MIANI,,BOTTLE,2003,0,0,1,Cantinetta, ,True
,,ROSSO MIANI,MIANI,,BOTTLE,1997,0,0,1,Cantinetta, ,True
,,MERLOT GRAF DE LA TOUR,VILLA RUSSIZ,,BOTTLE,2007,0,0,4,Cantinetta, ,True
,,MERLOT GRAF DE LA TOUR,VILLA RUSSIZ,,BOTTLE,2012,0,0,3,Cantinetta, ,True
,,SAUVIGNON GRAF DE LA TOUR,VILLA RUSSIZ,,BOTTLE,2009,0,0,2,Cantinetta, ,True
,,SOSSO',FELLUGA,,BOTTLE,2000,0,0,2,Cantinetta, ,True
,,SOSSO' MAGNUM,FELLUGA,,MAGNUM,2009,0,0,1,Cantinetta, ,True
,,MERLOT MAGNUM,TOROS,,MAGNUM,2011,0,0,1,Cantinetta, ,True
,,MERLOT MAGNUM,RADIKON,,MAGNUM,1997,0,0,2,Cantinetta, ,True
,,MERLOT,RADIKON,,BOTTLE,1997,0,0,1,Cantinetta, ,True
,,ROSSO BREG,GRAVNER,,BOTTLE,2008,0,0,4,Cantinetta, ,True
,,RIBOLLA MG,GRAVNER,,BOTTLE,2015,0,0,1,Cantinetta, ,True
,,RIBOLLA GIALLA ,GRAVNER,,BOTTLE,2015,0,0,2,Cantinetta, ,True
,,RIBOLLA GIALLA ,GRAVNER,,BOTTLE,2016,0,0,1,Cantinetta, ,True
,,CHIANTI CLASSICO (MAGNUM),CASTELLO DI BROLIO,,MAGNUM,1997,0,0,1,Cantinetta, ,True
,,MERLOT TOSCANA,AVIGNONESI,,BOTTLE,1997,0,0,2,Cantinetta, ,True
,,SYRAH,CASE VIA FONTODI,,BOTTLE,1995,0,0,2,Cantinetta, ,True
,,DUET,EDI SIMCIC,,BOTTLE,2001,0,0,2,Cantinetta, ,True
,,PINOT NERO,CA' DEL BOSCO,,BOTTLE,1991,0,0,1,Cantinetta, ,True
,,TREBBIANO D'ABRUZZO,VALENTINI,,BOTTLE,2002,0,0,1,Cantinetta, ,True
,,BAROLO,BERSANO,,BOTTLE,1990,0,0,1,Cantinetta, ,True
,,BRUNELLO,BIONDI SANTI,,BOTTLE,1983,0,0,2,Cantinetta, ,True
,,ROSSO DI MONTALCINO,BIONDI SANTI,,BOTTLE,1989,0,0,1,Cantinetta, ,True
,,,SASSICAIA,,BOTTLE,1984,0,0,1,Cantinetta, ,True
,,BOLGHERI,SASSICAIA,,BOTTLE,1980,0,0,1,Cantinetta, ,True
,,BAROLO ROCCHE,RATTI,,BOTTLE,2006,0,0,6,Cantinetta, ,True
,,CONCA,RATTI,,BOTTLE,2006,0,0,6,Cantinetta, ,True
,,CONCA (MAGNUM),RATTI,,BOTTLE,2006,0,0,4,Cantinetta, ,True
,,BARBARESCO,GAJA,,BOTTLE,2004,0,0,3,Cantinetta, ,True
,,BARBARESCO,GAJA,,BOTTLE,2005,0,0,1,Cantinetta, ,True
,,SPERES,GAJA,,BOTTLE,2004,0,0,1,Cantinetta, ,True
,,CREMES,GAJA,,BOTTLE,1997,0,0,1,Cantinetta, ,True
,,BAROLO CIABOT MENTIN GINESTRA,DOMENICO CLERICO,,BOTTLE,2005,0,0,2,Cantinetta, ,True
,,BAROLO CIABOT M. G. (MAGNUM),DOMENICO CLERICO,,MAGNUM,2005,0,0,2,Cantinetta, ,True
,,PAJANA,DOMENICO CLERICO,,BOTTLE,2005,0,0,5,Cantinetta, ,True
,,BARBARESCO,FALLETTO DI BRUNO GIACOSA,,BOTTLE,2005,0,0,6,Cantinetta, ,True
,,BARBARESCO (MAGNUM),FALLETTO DI BRUNO GIACOSA,,BOTTLE,2005,0,0,2,Cantinetta, ,True
,,BARBARESCO,FALLETTO DI BRUNO GIACOSA,,BOTTLE,2007,0,0,6,Cantinetta, ,True
,,BAROLO riserva,FALLETTO DI BRUNO GIACOSA,,BOTTLE,2004,0,0,2,Cantinetta, ,True
,,BAROLO,FALLETTO DI BRUNO GIACOSA,,BOTTLE,2005,0,0,6,Cantinetta, ,True
,,BAROLO,G.CONTERNO- MONFORTINO,,BOTTLE,2015,0,0,3,Cantinetta, ,True
,,BAROLO,G.CONTERNO- MONFORTINO,,BOTTLE,2000,0,0,4,Cantinetta, ,True
,,BAROLO ,G.CONTERNO- MONFORTINO,,BOTTLE,2002,0,0,6,Cantinetta, ,True
,,BAROLO (MAGNUM),G.CONTERNO- MONFORTINO,,BOTTLE,2002,0,0,2,Cantinetta, ,True
,,BAROLO,G.CONTERNO- MONFORTINO,,BOTTLE,2005,0,0,6,Cantinetta, ,True
,,BAROLO (MAGNUM),G.CONTERNO- MONFORTINO,,BOTTLE,2005,0,0,1,Cantinetta, ,True
,,BAROLO ,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2017,0,0,5,Cantinetta, ,True
,,BAROLO,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2008,0,0,6,Cantinetta, ,True
,,BAROLO,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2007,0,0,4,Cantinetta, ,True
,,BAROLO,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2006,0,0,3,Cantinetta, ,True
,,BAROLO,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2005,0,0,4,Cantinetta, ,True
,,BAROLO,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2004,0,0,7,Cantinetta, ,True
,,BAROLO,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2003,0,0,3,Cantinetta, ,True
,,BAROLO ,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2017,0,0,5,Cantinetta, ,True
,,BAROLO,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,1997,0,0,4,Cantinetta, ,True
,,BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,,MAGNUM,2009,0,0,2,Cantinetta, ,True
,,BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,,MAGNUM,2005,0,0,4,Cantinetta, ,True
,,BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,,MAGNUM,2006,0,0,1,Cantinetta, ,True
,,BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,,MAGNUM,2007,0,0,1,Cantinetta, ,True
,,BAROLO (MAGNUM),G.CONTERNO-CASCINA FRANCIA,,MAGNUM,2008,0,0,1,Cantinetta, ,True
,,BARBERA CASCINA FRANCIA,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2009,0,0,1,Cantinetta, ,True
,,BARBERA CASCINA FRANCIA,G.CONTERNO-CASCINA FRANCIA,,BOTTLE,2022,0,0,6,Cantinetta, ,True
,,GATTINARA,CONTERNO-NERVI,,BOTTLE,2018,0,0,6,Cantinetta, ,True
,,GATTINARA vigna molsino,CONTERNO-NERVI,,BOTTLE,2018,0,0,6,Cantinetta, ,True
,,GATTINARA,CONTERNO FANTINO,,BOTTLE,2021,0,0,11,Cantinetta, ,True
,,GATTINARA vigna molsino,CONTERNO FANTINO,,BOTTLE,2020,0,0,6,Cantinetta, ,True
,,NEBBIOLO,CONTERNO FANTINO,,BOTTLE,2020,0,0,6,Cantinetta, ,True
,,BAROLO (MAGNUM),PIAN POLVERE SOPRANO,,MAGNUM,2000,0,0,2,Cantinetta, ,True
,,BAROLO ,PIAN POLVERE SOPRANO,,BOTTLE,2001,0,0,3,Cantinetta, ,True
,,BAROLO (MAGNUM),PIAN POLVERE SOPRANO,,MAGNUM,2001,0,0,2,Cantinetta, ,True
,,BAROLO,PIAN POLVERE SOPRANO,,BOTTLE,2004,0,0,6,Cantinetta, ,True
,,BAROLO (MAGNUM),PIAN POLVERE SOPRANO,,MAGNUM,2004,0,0,1,Cantinetta, ,True
,,MADONNA ASSUNTA (3L),ROCCA DEI MANZONI,,JEROBOAM,1999,0,0,1,Cantinetta, ,True
,,"MADONNA ASSUNTA (1,5L MG)",ROCCA DEI MANZONI,,MAGNUM,1999,0,0,2,Cantinetta, ,True
,,BAROLO VIGNA ROCCHE,ROCCA DEI MANZONI,,BOTTLE,1993,0,0,2,Cantinetta, ,True
,,VIGNA D'LA ROUL,ROCCA DEI MANZONI,,BOTTLE,1993,0,0,1,Cantinetta, ,True
,,BAROLO CAPPELLA S. STEFANO,ROCCA DEI MANZONI,,BOTTLE,2001,0,0,4,Cantinetta, ,True
,,BAROLO MADONNA ASS.-LA VILLA,ROCCA DEI MANZONI,,BOTTLE,1999,0,0,4,Cantinetta, ,True
,,BAROLO BRUNATE,FRANCESCO RINALDI,,BOTTLE,2019,0,0,6,Cantinetta, ,True
,,BAROLO,VIETTI,,BOTTLE,2020,0,0,6,Cantinetta, ,True
,,BARBARESCO BERNARDOT,CERETTO,,BOTTLE,2019,0,0,6,Cantinetta, ,True
,,BAROLO  PRAPÓ ,CERETTO,,BOTTLE,2020,0,0,2,Cantinetta, ,True
,,BAROLO BRUNATE,CERETTO,,BOTTLE,2020,0,0,2,Cantinetta, ,True
,,BAROLO BUSSIA,CERETTO,,BOTTLE,2020,0,0,2,Cantinetta, ,True
,,DELLA PIEVE,FLACCIANELLO,,BOTTLE,1995,0,0,5,Cantinetta, ,True
,,LA POJA,ALLEGRINI,,BOTTLE,1996,0,0,2,Cantinetta, ,True
,,PALAZZO DELLA TORRE,ALLEGRINI,,BOTTLE,1997,0,0,1,Cantinetta, ,True
,,CLOS DE LA COULEE DE SERRANT,JOLY,,BOTTLE,2004,0,13000,2,Cantinetta,€ 130 ,True
,,PULIGNY MONTRACHET LES FOLATIERES 1CRU,JOLY,,BOTTLE,2009,0,10000,1,Cantinetta,€ 100 Buona annata*** ,True
,,PULIGNY MONTRACHET LES COMBETTES 1CRU,JOLY,,BOTTLE,2009,0,11000,2,Cantinetta,€ 110 ***,True
,,PULIGNY MONTRACHET LES COMBETTES,JOLY,,BOTTLE,2007,0,9000,1,Cantinetta,€ 90 *,True
,,BORGOGNE ALIGOTE',JOLY,,BOTTLE,2009,0,5000,2,Cantinetta,€45/50 da vendere,True
,,LES QUARTZ,DOMAINE DU CAILLOU,,BOTTLE,2005,0,8000,5,Cantinetta,€ 80 Rosso,True
,,PURSANG BLANC FUME DE POILLY,DIDIER DAGUENEAU,,BOTTLE,2005,0,12000,2,Cantinetta,€ 120 ,True
,,PURSANG BLANC FUME DE POILLY MAGNUM,DIDIER DAGUENEAU,,BOTTLE,2005,0,25000,1,Cantinetta,€ 250 ,True
,,CORTON CHARLEMAGNE GRAND CRU,DOMAINE BONNEAU DU MARTRAY,,BOTTLE,2006,0,20000,1,Cantinetta,€ 200 Annata top****,True
,,BEAUNE CLOS DE LA FEGUINE 1CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2006,0,8000,1,Cantinetta,€ 80 ,True
,,BEAUNE CLOS DE LA FEGUINE 1CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2005,0,9000,1,Cantinetta,€ 90 ,True
,,BEAUNE CLOS DE LA FEGUINE 1CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2009,0,9000,2,Cantinetta,€ 90 ,True
,,CLOS VOUGEOT GRAND CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2005,0,30000,2,Cantinetta,€ 300 ,True
,,CLOS VOUGEOT GRAND CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2007,0,30000,1,Cantinetta,€ 300 ,True
,,MONTRACHET GRAND CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2009,0,130000,1,Cantinetta,€1300? ,True
,,MEURSAULT PERRIERES 1CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2009,0,26000,2,Cantinetta,€250/260 ,True
,,PULIGNY MONTRACHET LES COMBETTES 1CRU,DOMAINE JACQUES PRIEUR,,BOTTLE,2009,0,16000,2,Cantinetta,€150/160 ,True
,,CHEVALIER MONTRACHET GRAND CRU MAGNUM,DOMAINE JACQUES PRIEUR,,MAGNUM,2009,0,120000,1,Cantinetta,"€ 1,200 ",True
,,PULIGNY MONTRACHET 1CRU LE CAILLERT,YVES BOYER MARTENOT,,BOTTLE,2006,0,15000,2,Cantinetta,150 ,True
,,MEURSAULT PERRIERS 1CRU,YVES BOYER MARTENOT,,BOTTLE,2006,0,26000,2,Cantinetta,260 ,True
,,MACON PIERRECLOS,DOMAINE GUFFENS,,BOTTLE,2005,0,7000,2,Cantinetta,70 ,True
,,POULIGNY MONTRACHET 1CRU LES FOLATIERES,DOMAINE CHAVY CHOUET,,BOTTLE,2010,0,8000,1,Cantinetta,80 ,True
,,SAVENNIERES ROCHE AUX MOINES,DOMAINE AUX MOINES,,BOTTLE,2004,0,3000,4,Cantinetta,30 ,True
,,CHASSAGNE MONTRACHET 1CRU LES VERGERS,DOMAINE FONTAINE GAGNARD,,BOTTLE,2007,0,9000,1,Cantinetta,90 ,True
,,CHASSAGNE MONTRACHET 1CRU LA MATROIE,DOMAINE FONTAINE GAGNARD,,BOTTLE,2009,0,10000,1,Cantinetta,100 ,True
,,CRIOTES BATARD MONTRACHET GRAND CRU,DOMAINE FONTAINE GAGNARD,,BOTTLE,2009,0,50000,2,Cantinetta,500 ,True
,,CHASSAGNE MONTRACHET 1CRU LA MALTROIE,DOMAINE FONTAINE GAGNARD,,BOTTLE,2006,0,10000,3,Cantinetta,100 ,True
,,CHASSAGNE MONTRACHET 1CRU LA MALTROIE,DOMAINE FONTAINE GAGNARD,,BOTTLE,2005,0,9000,2,Cantinetta,90 ,True
,,BOUZERON,DOMAINE A.ET.P DE VILLAINE,,BOTTLE,2009,0,20000,1,Cantinetta,200 (non si trovano) ,True
,,CHASSAGNE MONTRACHET 1CRU LES CAILLERETS,DOMAINE A.ET.P DE VILLAINE,,BOTTLE,2009,0,10000,3,Cantinetta,100 ,True
,,CHASSAGNE MONTRACHET 1CR LES VERGERS,DOMAINE FONTAINE GAGNARD,,BOTTLE,2009,0,0,1,Cantinetta, ,True
,,BOURGOGNE CUVEE HALINARD,DUGAT PY - GEVREY CHAMBERTIN,,BOTTLE,2007,0,6000,1,Cantinetta,60 ,True
,,COEUR DE ROY,DUGAT PY - GEVREY CHAMBERTIN,,BOTTLE,2006,0,15000,1,Cantinetta,150 ,True
,,1CRU CHAMPEAUX,DUGAT PY - GEVREY CHAMBERTIN,,BOTTLE,2007,0,20000,2,Cantinetta,200 ,True
,,CHARMES CHAMBERTIN GRAND CRU,DUGAT PY - GEVREY CHAMBERTIN,,BOTTLE,2007,0,80000,3,Cantinetta,800 ,True
,,MAZOYERS CHAMBERTEN GRAND CRU,DUGAT PY - GEVREY CHAMBERTIN,,BOTTLE,2007,0,40000,4,Cantinetta,400 ,True
,,MAZIS CHAMBERTEN GRAND CRU,DUGAT PY - GEVREY CHAMBERTIN,,BOTTLE,2007,0,40000,3,Cantinetta,400 ,True
,,GEVREY CHAMBERTIN VIEILLES VIGNES,DUGAT PY - GEVREY CHAMBERTIN,,BOTTLE,2007,0,10000,2,Cantinetta,100 ,True
,,SILEX BLANC FUME' DE POUILLY,DIDIER DAGUENAU,,BOTTLE,2005,0,15000,3,Cantinetta,150 ,True
,,SILEX BLANC FUME' DE POUILLY,DIDIER DAGUENAU,,BOTTLE,2007,0,15000,3,Cantinetta,150 ,True
,,EDMOND SANCERRE,ALOPHONSE MELLOT,,BOTTLE,2004,0,3500,3,Cantinetta,35 (è un base) ,True
,,MONT SANCERRE MAGNUM ,ALOPHONSE MELLOT,,MAGNUM,2002,0,8000,1,Cantinetta,80 ,True
,,NUITS SAINT GEORGES 1CRU,DOMAINE PRIEURE ROCH,,BOTTLE,2005,0,0,2,Cantinetta, ,True
,,POMMARD GRANDS EPENOTS,DOMAINE PRIEURE ROCH,,BOTTLE,2002,0,5000,3,Cantinetta,50 ,True
,,ECHEZEAUX GRAND CRU,DOMAINE DES PERDRIX,,BOTTLE,2006,0,25000,3,Cantinetta,250 ,True
,,NUITS SAINT GEORGES 1CRU,DOMAINE DES PERDRIX,,BOTTLE,2006,0,15000,1,Cantinetta,150 ,True
,,CHAMBOLLE MUSIGNY,DOMAINE DI GIOIA ROYER,,BOTTLE,2009,0,7000,1,Cantinetta,70 ,True
,,CHOREY LES BEAUNE,DOMINIQUE LAURENT,,BOTTLE,2005,0,4000,10,Cantinetta,40 ,True
,,CHATEAUNEUF DU PAPE,DOMAINE DE VILLENEUVE,,BOTTLE,2001,0,6000,3,Cantinetta,60 ,True
,,VOSNE ROMANEE,FAIVELEY,,BOTTLE,2005,0,9000,2,Cantinetta,90 ,True
,,LA GUIRAUDE CROZES HERMITAGE,ALAIN GRAILLOT,,BOTTLE,2005,0,0,1,Cantinetta, ,True
,,VOSNE ROMANEE ,ALAIN HUDELOT NOELLAT,,BOTTLE,2005,0,10000,1,Cantinetta,100 ,True
,,VOSNE ROMANEE 1CRU  LES SUCHOTS,ALAIN HUDELOT NOELLAT,,BOTTLE,2006,0,18000,3,Cantinetta,180 ,True
,,CLOS DE VOUGEOT GRAND CRU,ALAIN HUDELOT NOELLAT,,BOTTLE,2006,0,25000,3,Cantinetta,250 ,True
,,HERMITAGE,DOMAINE DES MARTINELLES,,BOTTLE,2005,0,15000,3,Cantinetta,150 ,True
,,ALOXE CORTON,DOMAINE TOLLOT BEAUT,,BOTTLE,2007,0,0,2,Cantinetta,60 (da vendere) ,True
,,CORNAS ,DOMAINE CLAPE,,BOTTLE,2005,0,8000,3,Cantinetta,80 ,True
,,CHAMBOLLE MUSIGNY 1CRU,PHILIPPE PACALET,,BOTTLE,2010,0,25000,6,Cantinetta,200/250 ,True
,,VOLNAY LES CHAMPANS 1CRU,DOMANE DE MONTILLE,,BOTTLE,2000,0,20000,2,Cantinetta,200 ,True
,,VOLNAY LES CHAMPANS 1CRU,DOMANE DE MONTILLE,,BOTTLE,2001,0,18000,1,Cantinetta,150/180 ,True
,,POMMARD GRANDS EPENOTS 1CRU,DOMANE DE MONTILLE,,BOTTLE,2001,0,18000,1,Cantinetta,150/180 ,True
,,GEVREY CHAMBERTIN,CLAUDE DU GAT,,BOTTLE,2005,0,15000,2,Cantinetta,150 ,True
,,GEVREY CHAMBERTIN VIEILES VIGNES,DOMAINE DENIS MORTET,,BOTTLE,2007,0,10000,2,Cantinetta,100 ,True
,,GEVREY CHAMBERTIN VIEILES VIGNES,DOMAINE DENIS MORTET,,BOTTLE,2006,0,9000,2,Cantinetta,80/90 ,True
,,GEVREY CHAMBERTIN,DOMAINE DENIS MORTET,,BOTTLE,2007,0,9000,1,Cantinetta,80/90 ,True
,,CLOS DE VOUGEOT GRAND CRU,DOMAINE DENIS MORTET,,BOTTLE,2007,0,25000,1,Cantinetta,250 ,True
,,SAINT ESTEPHE,CHATEAU HAUT BEAUSEJOUR,,BOTTLE,2009,0,4200,4,Cantinetta,42 (è longevo) ,True
,,VOSNE ROMANEE 1CRU LES CHAUMES,DOMAINE GROS,,BOTTLE,2006,0,20000,2,Cantinetta,200 ,True
,,ECHEZEAUX GRAND CRU,DOMAINE GROS,,BOTTLE,2006,0,6500,1,Cantinetta,"350 da vendere, l ho pagata 65 ",True
