wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01hbtdrmck82qfy3gwnss13q7q,,BOTTLE,1999,0,0,,Cantinetta,6,,True
wine_01h4pmmgp7x9epz1q4bf8jz1mp,,BOTTLE,2006,0,25000,,Cantinetta,3,250,True
wine_01gzr4ksppd270rmhp05yw7cnd,,BOTTLE,1997,0,0,,Cantinetta,1,,True
wine_01gzr4ksjeyk8t0fcd4ysbz0yr,,BOTTLE,2005,0,0,,Cantinetta,2,,True
wine_01gzr4kt7rksxs5tbbk6rk88q4,,BOTTLE,2020,0,0,,Cantinetta,6,,True
wine_01gzr4kt6ehmbxr0sw4wbs86bm,,BOTTLE,2020,0,0,,Cantinetta,2,,True
wine_01gzr4kt6eyea97wmmagbfda3y,,BOTTLE,2020,0,0,,Cantinetta,2,,True
wine_01gzr4kt1k9nn59ds3pr5ma5en,,BOTTLE,1996,0,0,,Cantinetta,2,,True
wine_01h0my5sa02ad24d2x408hzb0v,,BOTTLE,1997,0,0,,Cantinetta,1,,True
wine_01havwef3fzcj1xk83rb8ny3wn,,BOTTLE,2005,0,30000,,Cantinetta,2,€ 300 ,True
wine_01havwef3fzcj1xk83rb8ny3wn,,BOTTLE,2007,0,30000,,Cantinetta,1,€ 300 ,True
wine_01hawwcxhz1ptbz9nxygn5khxd,,BOTTLE,2009,0,130000,,Cantinetta,1,€1300? ,True
wine_01h0r2pq69mwhh4zm1rhmn7rf6,,BOTTLE,2004,0,3000,,Cantinetta,4,30,True
wine_01gzr4ktm0z5tf2sn186m710hx,,BOTTLE,2005,0,4000,,Cantinetta,10,40,True
wine_01h0my5svsrdjazkdmh0b1qkb1,,BOTTLE,1998,0,0,,Cantinetta,5,,True
wine_01gzr4ktwds8a8aqrv75537n1q,,BOTTLE,2005,0,0,,Cantinetta,1,,True
wine_01h0r2ppp8tjwmbd62kezmbqze,,BOTTLE,2005,0,15000,,Cantinetta,3,150,True
wine_01h0qsxnrhzbkebe517b10yq3m,,BOTTLE,2007,0,0,,Cantinetta,2,60 (da vendere) ,True
wine_01gzr4ktm1xy0bhtkdbabpswv5,,BOTTLE,2007,0,9000,,Cantinetta,1,80/90 ,True
wine_01gzr4ktm1ykjzgn3gh2byt2pe,,BOTTLE,2007,0,25000,,Cantinetta,1,250,True
wine_01h0my5sm051gq8gaj1qqnrq3g,,BOTTLE,2009,0,4200,,Cantinetta,4,42 (è longevo) ,True
wine_01gzr4kswqpz4zgt18hfjwnv81,,BOTTLE,2004,0,0,,Cantinetta,2,,True
wine_01hcw4dga2amsthaysqgywbxqd,,BOTTLE,2019,0,10200,,Cantinetta,2,Pagata io 102€ ,True
wine_01gzr4ksd3m8y62ggabzd1kdmg,,BOTTLE,2005,0,0,,Cantinetta,1,,True
wine_01gzr4ksd3m8y62ggabzd1kdmg,,BOTTLE,2004,0,0,,Cantinetta,3,,True
