Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,Inventar Wein,Abgänge ,,,,,,,,Aufschlag bis 15 Euro,25,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Aufschlag über 15 Euro,30,,,,, € 6.00 ,,,,,,Abgänge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Passito,2018,Le Petit,Weingut Manincor,Überetsch,WD, 37.40 € , 35.00 € , 7.24 € , 79.64 € , 80.00 € , 80.00 € , 75.29 € ,0.00 €, € 13.33 ,3,7,4,6 ,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
,2,Passito,2017,"Gewürztraminer Passito ""Cresta""",Weingut Hans Rottensteiner,Bozen,WD, 20.90 € , 30.00 € , 5.09 € , 55.99 € , 56.00 € , 57.00 € , 42.07 € ,1.00 €, € 9.50 ,3,6,0,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Passito,2020,Rosenmuskateller Rosis,Kellerei Bozen,Bozen,FW, 18.00 € , 30.00 € , 4.80 € , 52.80 € , 53.00 € , 53.00 € , 36.23 € ,0.00 €, € 8.83 ,4,6,1,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,4,Passito,2017,Sweet Claire ,Weingut Lieselehof,Überetsch,Liesele, 39.90 € , 30.00 € , 6.99 € , 76.89 € , 77.00 € , 77.00 € , 80.32 € ,0.00 €, € 12.83 ,3,3,1,5 ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Passito,2015,Sweet Claire Quintessenz,Weingut Lieselehof,Überetsch,Liesele, 94.73 € , 70.00 € , 16.47 € , 181.20 € , 181.00 € , 199.00 € , 190.69 € ,18.00 €, € 33.17 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Passito,"19,07","Merlino 19,07",Pojer & Sandri,Trentino,FW, 19.85 € , 30.00 € , 4.99 € , 54.84 € , 55.00 € , 55.00 € , 39.96 € ,0.00 €, € 9.17 ,1,7,2,6 ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,7,Passito,2019,Moscato D´Asti Santo Stefano,Ceretto,Piemonte,FW, 10.20 € , 25.00 € , 3.52 € , 38.72 € , 39.00 € , 39.00 € , 20.53 € ,0.00 €, € 6.50 ,6,18,6,18 ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,1,1,,,,,,,,,,,,
,8,Passito,2020,Ben Rye Passito di Pantelleria,Donnafugata,Sicilia,WD, 24.90 € , 30.00 € , 5.49 € , 60.39 € , 60.00 € , 66.00 € , 50.12 € ,6.00 €, € 11.00 ,4,3,3,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
