external_id,size,name,winery_name,vintage,supplier,purchase_price,price,retail_price,glass_price,quantity
1,BOTTLE,Le Petit,Weingut Manincor,2018,WD, 37.40 € , 80.00 € , 75.29 € , € 13.33 ,6
2,BOTTLE,"Gewürztraminer Passito ""Cresta""",Weingut Hans Rottensteiner,2017,WD, 20.90 € , 57.00 € , 42.07 € , € 9.50 ,9
3,BOTTLE,Rosenmuskateller Rosis,Kellerei Bozen,2020,FW, 18.00 € , 53.00 € , 36.23 € , € 8.83 ,9
4,BOTTLE,Sweet Claire ,Weingut Lieselehof,2017,Liesele, 39.90 € , 77.00 € , 80.32 € , € 12.83 ,5
5,BOTTLE,Sweet Claire Quintessenz,Weingut Lieselehof,2015,Liesele, 94.73 € , 199.00 € , 190.69 € , € 33.17 ,2
6,BOTTLE,"Merlino 19,07 (missing vintage)",Pojer & Sandri,,FW, 19.85 € , 55.00 € , 39.96 € , € 9.17 ,6
7,BOTTLE,Moscato D´Asti Santo Stefano,Ceretto,2019,FW, 10.20 € , 39.00 € , 20.53 € , € 6.50 ,18
8,BOTTLE,Ben Rye Passito di Pantelleria,Donnafugata,2020,WD, 24.90 € , 66.00 € , 50.12 € , € 11.00 ,4
9,BOTTLE,Kracher Beerenauslese Non vintage,Kracher,0,WD, 15.90 € , 49.00 € , 32.01 € , € 8.17 ,2
10,BOTTLE,Palladius Pfösl Prosecco Millesimato  (inkl. Etikett) ,Palladius,2021,FW, 5.50 € , 25.00 € , 11.07 € , € 4.17 ,576
11,BOTTLE,Valdobbiadene Superiore,Canella,,ob, 7.86 € , 29.00 € , 15.82 € , € 4.83 ,76
11,BOTTLE,Lieselehof Brut - Bio I SG,Weingut Lieselehof,2017,Liesele, 34.50 € , 75.00 € , 69.45 € , € 12.50 ,6
12,BOTTLE,Arunda Cuvée Marianne Extra Brut I PN,Arunda,,FW, 20.00 € , 53.00 € , 40.26 € , € 8.83 ,3
13,BOTTLE,"Arunda Rosè Brut I PB, PN",Arunda,,WD, 20.00 € , 55.00 € , 40.26 € , € 9.17 ,22
14,BOTTLE,"Arunda 0,375 Brut sekt (minibar)",Arunda,,WD, 8.60 € , 29.00 € , 17.31 € , € 4.83 ,5
14.4,BOTTLE,Brut Nature,Stocker,2017,WD, 24.00 € , 59.00 € , 48.31 € , € 9.83 ,9
15,BOTTLE,"Miau, Methodo Ancestrale",Pranzegg,,WD, 12.17 € , 40.00 € , 24.50 € , € 6.67 ,2
16,BOTTLE,Kettmeir Riserva Extra Brut 1919,Kettmeir,2016,WD, 36.80 € , 73.00 € , 74.08 € , € 12.17 ,4
17,BOTTLE,Haderburg brut,haderburg,,WD, 18.90 € , 51.00 € , 38.05 € , € 8.50 ,14
18,BOTTLE,Blanc de Blanc 600 Pas Dose,Kellerei Kurtatsch,2017,FW, 23.00 € , 58.00 € , 46.30 € , € 9.67 ,16
19,BOTTLE,Quirinus Brut,Weingut St. Quirinus,,WD, 19.90 € , 55.00 € , 40.06 € , € 9.17 ,8
19,BOTTLE,Nature Trento DOC,Corvée,,Akos, 14.90 € , 44.00 € , 29.99 € , € 7.33 ,83
20,BOTTLE,Brut Perlè - Ferrari I CH,Ferrari,2017,O, 34.46 € , 71.00 € , 69.37 € , € 11.83 ,7
21,BOTTLE,Riserva Lunelli  - Ferrari,Ferrari,2015,Karner, 51.23 € , 99.00 € , 103.13 € , € 16.50 ,4
22,BOTTLE,Blauwal Riserva ,Cesconi,2014,WD, 33.90 € , 70.00 € , 68.24 € , € 11.67 ,8
23,BOTTLE,"Ferrari Riserva (2007 -79,00€)",Giulio Ferrari,2009,Karner, 135.00 € , 248.00 € , 271.76 € , € 41.33 ,2
24,MAGNUM,Ferrari Riserva 2009 Magnum,Giulio Ferrari,2009,WD, 210.00 € , 450.00 € , 422.73 € , € 75.00 ,1
25,BOTTLE,Franciacorta Nature Blanc de Blanc,Cavalleri,,O, 23.56 € , 59.00 € , 47.43 € , € 9.83 ,4
26,BOTTLE,Farfalla Collection noir,Ballabio,,WD, 18.70 € , 55.00 € , 37.64 € , € 9.17 ,5
27,BOTTLE,Barbalonga Saten,Barbalonga,,WD, 16.50 € , 46.00 € , 33.21 € , € 7.67 ,10
28,BOTTLE,Cuvee 60 Blanc de blancs,Casa Caterina,,WD, 21.90 € , 57.00 € , 44.08 € , € 9.50 ,4
29,BOTTLE,Bellavista Alma Gran Cuvee Brut,Bellavista,,WD, 23.66 € , 59.00 € , 47.63 € , € 9.83 ,1
30,BOTTLE,Rose ,Contadi Castaldi,,O, 17.19 € , 52.00 € , 34.60 € , € 8.67 ,13
33,BOTTLE,A Lorenzo 180 Millesimato 2°Edizione DOC,L. Bellani,,Karner, 26.00 € , 62.00 € , 52.34 € , € 10.33 ,7
34,BOTTLE,"Champagner Premier Cru - Guy Larmandier I CH, PN",Guy Larmandier,,FW, 25.50 € , 61.00 € , 51.33 € , € 10.17 ,5
35,BOTTLE,"Champagne rose  majeur Ayala I CH, PN, PM",Ayala,,WS, 48.50 € , 97.00 € , 97.63 € , € 16.17 ,3
36,BOTTLE,Champagner Brut Rose,Billecart Salmon,,WS, 63.50 € , 127.00 € , 127.83 € , € 21.17 ,2
37,BOTTLE,"Champagne Ruinart Brut I PN, CH, PM",Ruinart,,O, 56.25 € , 106.00 € , 113.23 € , € 17.67 ,2
39,BOTTLE,Coup de Coer Extra Brut,Monmarthe,,Cuzziol, 34.80 € , 72.00 € , 70.05 € , € 12.00 ,11
40,BOTTLE,Champagne Cristal,Louis Roederer,2013,WD, 199.00 € , 368.00 € , 400.59 € , € 61.33 ,2
41,BOTTLE,Champagne Dom Ruinart Blanc de Blanc,Ruinart,2009,WD, 189.00 € , 320.00 € , 380.46 € , € 53.33 ,2
42,BOTTLE,Champagne Coutier,Coutier,2011,Michl, 39.15 € , 87.00 € , 78.81 € , € 14.50 ,7
44,BOTTLE,"Champagne 1er Cru Tradtion I PN, CH, PM",Gosset-Brabant,,Karner, 31.20 € , 67.00 € , 62.81 € , € 11.17 ,8
45,BOTTLE,"Champagne Carte Blanche 1er Cru I PN, CH, PM",L. Bénard-Pituois,,Karner, 23.40 € , 56.00 € , 47.10 € , € 9.33 ,3
46,BOTTLE,Champagne Origin.al I PN,Henri Dosnon,,Karner, 32.00 € , 68.00 € , 64.42 € , € 11.33 ,4
47,BOTTLE,"Champagne Memoire Extra Brut I PN, PM, CH",Huré Frères,,Karner, 62.00 € , 132.00 € , 124.81 € , € 22.00 ,5
48,BOTTLE,Champagne  Tradition,Michel Laval,,WD, 26.90 € , 63.00 € , 54.15 € , € 10.50 ,18
49,BOTTLE,Champagne Legras Haas Extra Brut Chouilly grand cru,Legras Haas,,WD, 42.00 € , 89.00 € , 84.55 € , € 14.83 ,6
50,BOTTLE,Cremant de Loire non dosè / CB,Chateau Pierre-Bise,2018,WD, 18.00 € , 53.00 € , 36.23 € , € 8.83 ,3
51,BOTTLE,Premiere Cuvee Extra brut,Bruno Paillard,,Cuzziol, 41.50 € , 92.00 € , 83.54 € , € 15.33 ,8
52,BOTTLE,Premiere Cuvee Rose Extra brut,Bruno Paillard,,Cuzziol, 48.90 € , 98.00 € , 98.44 € , € 16.33 ,2
53,BOTTLE,Assemblage Millesime,Bruno Paillard,2012,Cuzziol, 63.00 € , 127.00 € , 126.82 € , € 21.17 ,2
54,BOTTLE,Kalkspitz,Christoph Hoch,,Cuzziol, 10.50 € , 39.00 € , 21.14 € , € 6.50 ,10
54.5,BOTTLE,Zero Infinito,Pojer & Sandri,,FW, 13.00 € , 40.00 € , 26.17 € , € 6.67 ,20
54.6,BOTTLE,Marsili Rosato,Tenuta di castellare,,Akos, 13.90 € , 43.00 € , 27.98 € , € 7.17 ,7
55,BOTTLE,L´Incantatrice,Cantina Lunae,,Akos, 10.70 € , 40.00 € , 21.54 € , € 6.67 ,11
56,BOTTLE,Pure and Naked,Weingut am Stein,,WD, 18.60 € , 48.00 € , 37.44 € , € 8.00 ,9
56.4,BOTTLE,Brut Reserve ,Bründelmayer,,Akos, 22.95 € , 58.00 € , 46.20 € , € 9.67 ,3
57,BOTTLE,Fantasie der Schieferterassen,Heymann-Löwenstein,2008,Cuzziol, 48.00 € , 97.00 € , 96.62 € , € 16.17 ,2
58,BOTTLE,Weissburgunder Sirmian,Kellerei Nals Margreid,2021,FW, 17.00 € , 42.00 € , 34.22 € , € 7.00 ,81
58,BOTTLE,Weissburgunder ,Romen,2022,Romen, 10.00 € , 40.00 € , 20.13 € , € 6.67 ,18
59,MAGNUM,Weißburgunder Tecum (Magnum),Weingut Castelfeder,2015,Castelfeder, 33.00 € , 79.00 € , 66.43 € , € 13.17 ,1
60,BOTTLE,Weissburgunder Vorberg Riserva,Kellerei Terlan ,2020,O, 20.00 € , 55.00 € , 40.26 € , € 9.17 ,16
60.5,MAGNUM,Weissburgunder Vorberg Magnum,Kellerei Terlan ,2016,Karner, 49.85 € , 120.00 € , 100.35 € , € 20.00 ,4
61,BOTTLE,Weissburgunder Rarity,Kellerei Terlan ,2007,Karner, 86.85 € , 169.00 € , 174.83 € , € 28.17 ,1
61.2,BOTTLE,Weissburgunder Rarity,Kellerei Terlan ,2010,OBK, 107.50 € , 217.00 € , 216.40 € , € 36.17 ,1
62,BOTTLE,Weißburgunder Riserva St. Sebastian,Schloss Englar,2019,FW, 14.95 € , 44.00 € , 30.09 € , € 7.33 ,3
63,BOTTLE,Weißburgunder ,Weingut Wassererhof,2019,O, 11.80 € , 39.00 € , 23.75 € , € 6.50 ,19
64,BOTTLE,Weißburgunder Art,Weingut Abraham,2019,WD, 31.00 € , 90.00 € , 62.40 € , € 15.00 ,-1
65,BOTTLE,Weißburgunder Renaissance,Gumphof,2019,WD, 26.50 € , 62.00 € , 53.34 € , € 10.33 ,1
