wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01gzr4ksk9pkd3v8xn0y8j9vbw,1.0,BOTTLE,2018,8000,,,6,"purchase_price: 37.40 € , supplier: WD, retail_price: 75.29 € , glass_price: € 13.33"
wine_01h0my5t3ds5xpghf10yab9q86,2.0,BOTTLE,2017,5700,,,9,"purchase_price: 20.90 € , supplier: WD, retail_price: 42.07 € , glass_price: € 9.50"
wine_01h0my5tb96m7ex095naqnnz3w,3.0,BOTTLE,2020,5300,,,9,"purchase_price: 18.00 € , supplier: FW, retail_price: 36.23 € , glass_price: € 8.83"
wine_01h0r2pp8yft1cvgmsyrrfv6tz,4.0,BOTTLE,2017,7700,,,5,"purchase_price: 39.90 € , supplier: Liesele, retail_price: 80.32 € , glass_price: € 12.83"
wine_01h0r2pp90ngnyghk87w8db6sm,5.0,BOTTLE,2015,19900,,,2,"purchase_price: 94.73 € , supplier: Liesele, retail_price: 190.69 € , glass_price: € 33.17"
wine_01gzr4ktfg94yr4a3qs46j1p4r,8.0,BOTTLE,2020,6600,,,4,"purchase_price: 24.90 € , supplier: WD, retail_price: 50.12 € , glass_price: € 11.00"
wine_01gzr4ktr8jmk609gewew7w2fq,9.0,BOTTLE,0,4900,,,2,"purchase_price: 15.90 € , supplier: WD, retail_price: 32.01 € , glass_price: € 8.17"
wine_01h0my5t8j514q1k1kne95p6tw,11.0,BOTTLE,0,2900,,,76,"purchase_price: 7.86 € , supplier: ob, retail_price: 15.82 € , glass_price: € 4.83"
wine_01h0r2pp8yp1zj0n5n64v4e073,11.0,BOTTLE,2017,7500,,,6,"purchase_price: 34.50 € , supplier: Liesele, retail_price: 69.45 € , glass_price: € 12.50"
wine_01h0my5rqp4re1r7j537tvhbys,12.0,BOTTLE,0,5300,,,3,"purchase_price: 20.00 € , supplier: FW, retail_price: 40.26 € , glass_price: € 8.83"
wine_01h0my5rqpe521fsdwks0g3yfq,13.0,BOTTLE,0,5500,,,22,"purchase_price: 20.00 € , supplier: WD, retail_price: 40.26 € , glass_price: € 9.17"
wine_01h0my5rqpw4pabakp9gcwa13k,14.0,HALF_BOTTLE,0,2900,,,5,"purchase_price: 8.60 € , supplier: WD, retail_price: 17.31 € , glass_price: € 4.83"
wine_01h0qzm23saw4dnhp09jsgxv7q,16.0,BOTTLE,2016,7300,,,4,"purchase_price: 36.80 € , supplier: WD, retail_price: 74.08 € , glass_price: € 12.17"
wine_01h0qzm1tsmx0p7drhda7fcn87,17.0,BOTTLE,0,5100,,,14,"purchase_price: 18.90 € , supplier: WD, retail_price: 38.05 € , glass_price: € 8.50"
wine_01h0f3cmbvcfa539vh935hpr4q,18.0,BOTTLE,2017,5800,,,16,"purchase_price: 23.00 € , supplier: FW, retail_price: 46.30 € , glass_price: € 9.67"
wine_01gzr4ksccj35519kgnp4kw2ym,20.0,BOTTLE,2017,7100,,,7,"purchase_price: 34.46 € , supplier: O, retail_price: 69.37 € , glass_price: € 11.83"
wine_01gzr4ksccy7w7sgfv1g5hhygr,21.0,BOTTLE,2015,9900,,,4,"purchase_price: 51.23 € , supplier: Karner, retail_price: 103.13 € , glass_price: € 16.50"
wine_01h0qsxn5kd4pqt43n22kdt6cw,22.0,BOTTLE,2014,7000,,,8,"purchase_price: 33.90 € , supplier: WD, retail_price: 68.24 € , glass_price: € 11.67"
wine_01gzr4kscc3eq3g9mgs0f5ns3f,24.0,MAGNUM,2009,45000,,,1,"purchase_price: 210.00 € , supplier: WD, retail_price: 422.73 € , glass_price: € 75.00"
wine_01h0my5sazp3a04czxqtrbvgtz,26.0,BOTTLE,0,5500,,,5,"purchase_price: 18.70 € , supplier: WD, retail_price: 37.64 € , glass_price: € 9.17"
wine_01h0my5schkq9d4wyg03qxfnh2,27.0,BOTTLE,0,4600,,,10,"purchase_price: 16.50 € , supplier: WD, retail_price: 33.21 € , glass_price: € 7.67"
wine_01h0my5vrgwwxac1xgpgyr9ndn,28.0,BOTTLE,0,5700,,,4,"purchase_price: 21.90 € , supplier: WD, retail_price: 44.08 € , glass_price: € 9.50"
wine_01gzr4ktfzzysgtwyv6g5c66c4,29.0,BOTTLE,0,5900,,,1,"purchase_price: 23.66 € , supplier: WD, retail_price: 47.63 € , glass_price: € 9.83"
wine_01h0r2ppcs1gjafc7g5eam89g0,33.0,BOTTLE,0,6200,2°Edizione,,7,"purchase_price: 26.00 € , supplier: Karner, retail_price: 52.34 € , glass_price: € 10.33"
wine_01h0qzm2vdb5wxdwrspf4nygdk,34.0,BOTTLE,0,6100,,,5,"purchase_price: 25.50 € , supplier: FW, retail_price: 51.33 € , glass_price: € 10.17"
wine_01h4pmmfcxane4zrraq4k4ykk6,39.0,BOTTLE,0,7200,,,11,"purchase_price: 34.80 € , supplier: Cuzziol, retail_price: 70.05 € , glass_price: € 12.00"
wine_01gzr4ks5tqthh4jv8natgmek8,40.0,BOTTLE,2013,36800,,,2,"purchase_price: 199.00 € , supplier: WD, retail_price: 400.59 € , glass_price: € 61.33"
wine_01gzr4ksd4nsbgy7pt1nwzq7k8,41.0,BOTTLE,2009,32000,,,2,"purchase_price: 189.00 € , supplier: WD, retail_price: 380.46 € , glass_price: € 53.33"
wine_01h4pmmfg2hyd3dr54axyex7rp,44.0,BOTTLE,0,6700,,,8,"purchase_price: 31.20 € , supplier: Karner, retail_price: 62.81 € , glass_price: € 11.17"
wine_01h4pmmgg5xx8bm62v2934yv1h,45.0,BOTTLE,0,5600,,,3,"purchase_price: 23.40 € , supplier: Karner, retail_price: 47.10 € , glass_price: € 9.33"
wine_01gzr4ksmqedj022j5j6ghbckh,47.0,BOTTLE,0,13200,,,5,"purchase_price: 62.00 € , supplier: Karner, retail_price: 124.81 € , glass_price: € 22.00"
wine_01h4pmmgfvrbjfnjsh52ph6t12,48.0,BOTTLE,0,6300,,,18,"purchase_price: 26.90 € , supplier: WD, retail_price: 54.15 € , glass_price: € 10.50"
wine_01h0my5srbwc6763t21mwzgf0s,50.0,BOTTLE,2018,5300,,,3,"purchase_price: 18.00 € , supplier: WD, retail_price: 36.23 € , glass_price: € 8.83"
wine_01gzr4ks5h4zp749zmdayb3sac,51.0,BOTTLE,0,9200,,,8,"purchase_price: 41.50 € , supplier: Cuzziol, retail_price: 83.54 € , glass_price: € 15.33"
wine_01gzr4ks5h35qv70a07kdtd8tw,53.0,BOTTLE,2012,12700,,,2,"purchase_price: 63.00 € , supplier: Cuzziol, retail_price: 126.82 € , glass_price: € 21.17"
wine_01hfvetce1bgr5y3qjygv4jn2d,54.0,BOTTLE,0,3900,,,10,"purchase_price: 10.50 € , supplier: Cuzziol, retail_price: 21.14 € , glass_price: € 6.50"
wine_01gzr4ksehy4wftxc3709gvxsk,54.5,BOTTLE,0,4000,,,20,"purchase_price: 13.00 € , supplier: FW, retail_price: 26.17 € , glass_price: € 6.67"
