external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,Prosecco DOCG Extra Dry,La Tordera,,BOTTLE,0,2800,696,156,,,True
,,Prosecco DOCG Extra Dry Magnum,La Tordera,,BOTTLE,0,5800,1550,13,,,True
,,Prosecco DOCG Extra Dry  3L,La Tordera,,JEROBOAM,0,12000,4995,3,,,True
,,Lamm 12 Extra Brut - Südt. Sekt,Winkler Sektmanifaktur,,BOTTLE,0,5400,2850,15,,,True
,,Haderburg Pas Dosè Millesimato – Südt. Sekt,Haderburg,,BOTTLE,0,6200,2550,3,,,True
,,Comitissa pas dosè Riserva– Südtirol Sekt,Lorenz Martini,,BOTTLE,0,5700,2320,15,,,True
,,Athesis - Brut Rosè Classico,Kettmeir,,BOTTLE,0,5200,2050,20,,,True
,,KK Spumante Dosaggio Zero,Kante,,BOTTLE,0,4300,1800,4,,,True
,,Montris Blanc de blancs Brut nature,Martin Ramoser,,BOTTLE,0,6000,2600,11,,,True
,,Zero Infinito (vino bianco frizzante fermentato in bott.),Pojer & Sandri,,BOTTLE,0,3500,1410,11,,,True
,,Trento Doc Brut 1223 kg ,Cantine Micheli,,BOTTLE,0,4500,1650,22,,,True
,,Franciacorta Cuvè Prestige,Ca' Del Bosco,,BOTTLE,0,7600,3340,7,,,True
,,Franciacorta Satèn – Millesimato,Contadi Castaldi,,BOTTLE,0,5200,2090,19,,,True
,,Franciacorta Satèn – Millesimato MAG,Contadi Castaldi,,MAGNUM,0,10400,4160,2,,,True
,,Ferrari Perlè,Ferrari,,BOTTLE,0,6900,2990,7,,,True
,,Ferrari Perlè Zero,Ferrari,,BOTTLE,0,10500,5480,10,,,True
,,Blanc De Blancs,Ruinart,,BOTTLE,0,16900,8490,7,,,True
,,Blanc De Blancs - MAG,Ruinart,,MAGNUM,0,32000,20500,3,,,True
,,Cuvée Brut,Beaumet,,BOTTLE,0,5400,1995,11,,,True
,WHITE,La Contessa - biodyn,Manincor,,BOTTLE,2023,3900,1290,72,,,True
,WHITE,Reserve della Contessa  MAG - biodyn,Manincor,,MAGNUM,2023,7800,2780,4,,,True
,WHITE,Manna Cru,Franz Haas,,BOTTLE,2023,5400,2140,18,,,True
,WHITE,Mann Cru MAG,Franz Haas,,MAGNUM,2022,10800,4420,3,,,True
,WHITE,Nova Domus,Terlan,,BOTTLE,2021,7200,3110,4,,,True
,WHITE,Nova Domus MAG,Terlan,,MAGNUM,2020,14400,6580,2,,,True
,WHITE,Stoan,Tramin,,BOTTLE,2022,5300,2080,17,,,True
,WHITE,Stoan MAG,Tramin,,MAGNUM,2020,10600,4480,5,,,True
,WHITE,Stoan 3L,Tramin,,JEROBOAM,2023,21200,9990,1,,,True
,WHITE,Beyond the clouds,Elena Walch,,BOTTLE,2020,11000,5900,5,,,True
,WHITE,Pulsar Blanc – Natural wine in Anfora,Roberto Ferrari,,BOTTLE,2017,6900,3329,12,,,True
,WHITE,Abendrot – Natural wine   Wein.Werk,Thomas Niedermayr,,BOTTLE,2018,6200,2600,7,,,True
,WHITE,Johanniter   Wein.werk,Burgerhof,,BOTTLE,2020,3800,1250,18,,,True
,WHITE,Johanniter   Wein.werk MAG,Burgerhof,,MAGNUM,2018,7600,2880,1,,,True
,WHITE,"Chardonnay ""Doss""",Castelfeder,,BOTTLE,2024,3200,950,78,,,True
,WHITE,Chardonnay Cardellino,Elena Walch,,BOTTLE,2023,3900,1305,13,,,True
,WHITE,Chardonnay Cardellino MAG,Elena Walch,,MAGNUM,2023,7800,3354,4,,,True
,WHITE,Chardonnay „Löwengang“ - biodyn,Alois Lageder,,BOTTLE,2021,0,4650,12,,,True
,WHITE,Chardonnay „La Foa“,Schreckbichl,,BOTTLE,2022,5200,2039,12,,,True
,WHITE,Chardonnay „La Foa“ Mag,Schreckbichl,,MAGNUM,2022,10400,4480,3,,,True
,WHITE,Chardonnay St.Valentin,St.Michael Eppan,,BOTTLE,2022,5100,2000,9,,,True
,WHITE,Terlaner Weissburgunder Berg,Niedrist,,BOTTLE,2022,4400,1580,12,,,True
,WHITE,Weissburgunder „Schulthauser“,St.Michael Eppan,,BOTTLE,2023,3400,1050,18,,,True
,WHITE,Weissburgunder „Strahler“,Stroblhof,,BOTTLE,2022,3600,1150,18,,,True
,WHITE,Weissburgunder Doc ,Klaus Lentsch,,BOTTLE,2022,3300,950,29,,,True
,WHITE,Pinot Grigio Punggl,Nals Magreid,,BOTTLE,2022,4000,1340,18,,,True
,WHITE,Pinot Grigio Aristos,Eisacktaler,,BOTTLE,2022,4100,1410,12,,,True
,WHITE,Sauvignon,Wassererhof,,BOTTLE,2021,3600,1180,39,,,True
,WHITE,Sauvignon Porphyr & Kalk,Niedrist,,BOTTLE,2022,4400,1610,13,,,True
,WHITE,Sauvignon Lafòa,Schreckbichl,,BOTTLE,2022,5200,2039,12,,,True
,WHITE,Sauvignon Lafòa – MAG,Schreckbichl,,MAGNUM,2022,10400,4480,2,,,True
,WHITE,Sauvignon Quarz,Terlan,,BOTTLE,2022,7800,3729,6,,,True
,WHITE,Sauvignon Quarz – MAG,Terlan,,MAGNUM,2020,15600,7830,2,,,True
,WHITE,Sauvignon TWC (The Wine Collection),St. Michael Eppan,,BOTTLE,2017,14100,8109,4,,,True
,WHITE,Sauvignon DOC,Bergkellerei Passeier,,BOTTLE,2019,5400,2170,16,,,True
,WHITE,Kerner,Köfererhof,,BOTTLE,2023,3600,1320,30,,,True
,WHITE,Kerner – MAG,Köfererhof,,MAGNUM,2022,7200,3360,3,,,True
,WHITE,Kerner   wein.werk,Griesser Hof,,BOTTLE,2023,3800,1270,25,,,True
,WHITE,Kerner MAG   wein.werk,Griesser Hof,,MAGNUM,2023,7600,3670,1,,,True
,WHITE,Kerner Kontour - Natural wine,Rielinger,,BOTTLE,2021,6000,2500,10,,,True
,WHITE,Kerner Praepositus,Neustift,,BOTTLE,2022,4500,1620,10,,,True
,WHITE,Sylvaner Praepositus,Neustift,,BOTTLE,2021,4300,1520,12,,,True
,WHITE,Sylvaner,Thomas Dorfmann,,BOTTLE,2022,4500,1600,6,,,True
,WHITE,Riesling Praepositus,Neustift,,BOTTLE,2021,4300,2230,10,,,True
,WHITE,Riesling Kaiton,Kuenhof,,BOTTLE,2023,4500,1710,16,,,True
,WHITE,Gewürztraminer Campaner,Kaltern,,BOTTLE,2022,3400,1130,7,,,True
,WHITE,Gewürztraminer “Am Sand” - biodyn,Alois Lageder,,BOTTLE,2022,4600,1730,10,,,True
,WHITE,Gewürztraminer Flora,Girlan,,BOTTLE,2022,4600,1680,22,,,True
,WHITE,Gewürztraminer Nussbaumer,Tramin,,BOTTLE,2022,5500,2210,17,,,True
,WHITE,Gewürztraminer - Selezione,Elena Walch,,BOTTLE,2023,3400,1045,26,,,True
,WHITE,Vitovska – Natural wine,Zidarich,,BOTTLE,2018,5700,2090,9,,,True
,WHITE,Vitovska Kamen – Natural wine in Pietra,Zidarich,,BOTTLE,2018,7500,4650,8,,,True
,WHITE,Malvasia “Damijan”,Damijan Podversic,,BOTTLE,2016,5900,2300,6,,,True
,WHITE,Friulano “San Zuan”,Ronco del Gnemiz,,BOTTLE,2022,4700,2350,7,,,True
,WHITE,Ribolla Gialla Collio DOC - Natural wine,La Castellada,,BOTTLE,2017,4900,2080,14,,,True
,WHITE,Pinot Grigio - Fuoripista - Natural vine,Foradori,,BOTTLE,2022,5900,2450,16,,,True
,WHITE,Lugana,Allegrini,,BOTTLE,2023,3300,990,17,,,True
