wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01h0qsxmwgvxfn86xx7bhnjw5k,,BOTTLE,2024,3200,950,,,78,,True
wine_01gzr4kt162g2560ph7dkwcsmw,,BOTTLE,2023,3900,1305,,,13,,True
wine_01gzr4ksd6tm16eae9c8tj0thw,,BOTTLE,2021,8700,4150,,,9,,True
wine_01gzr4kt80gr2hbm2wyr5cv06y,,BOTTLE,2016,4000,1140,,,4,,True
wine_01h0my5sc8rpe79ntnd0gcq2ns,,BOTTLE,2021,11900,6000,,,6,,True
wine_01h0my5sc9qrrx4931rvsz0x7a,,BOTTLE,2018,6400,2700,,,5,,True
wine_01h0my5rn5w7vxrd8p226fx75z,,BOTTLE,2022,4100,1450,,,18,,True
wine_01h0my5t5n3e2mh01y7c5wej7d,,BOTTLE,2020,3800,1100,,,4,,True
wine_01h0f3cmc1e4heq1r0qz3p7j0v,,BOTTLE,2021,3300,990,,,74,,True
wine_01h0sq48w88zbb02v51sw6nj1p,,BOTTLE,2020,3000,790,,,9,,True
wine_01h0my5rm9s048vhn3xe8t9z8b,,BOTTLE,2019,5700,2420,,,2,,True
wine_01gzr4ksd17ecsm6py4s6fhjwr,,BOTTLE,2022,4700,1750,,,16,,True
wine_01gzr4kt853ehafk26j3my2hfe,,BOTTLE,2011,7700,3945,,,1,,True
wine_01gzr4kt85xrm36kfr5qb0r92w,,BOTTLE,2020,3600,1160,,,23,,True
wine_01gzr4ksd7kj5wb0kgzygg4y9h,,BOTTLE,2016,6700,3100,,,2,,True
wine_01h0f3cmcrvbqhx452kfyg08kk,,BOTTLE,2017,7100,2600,,,8,,True
wine_01h0r2pq8pgr4rpt2bn5jb5e2z,,BOTTLE,2022,5400,2110,,,17,,True
wine_01h0f3cmb28y93b6cy3582km5s,,BOTTLE,2022,3500,1120,,,36,,True
wine_01h0b4rjh1khjmds11bfzrg70s,,BOTTLE,2019,3600,910,,,12,,True
wine_01h0sq4751djer8s6d0sjekgjv,,BOTTLE,2023,3300,1010,,,110,,True
wine_01jtr1q249t3zs94fj43a852rb,,BOTTLE,2018,7600,3329,,,12,,True
wine_01hczek28dhdfsg6vyc55k31tm,,BOTTLE,2021,3300,1050,,,139,,True
wine_01gzr4ksn3n8r40k0037vrje2g,,BOTTLE,2023,3500,1110,,,13,,True
wine_01hawwcxawrrdyf1jjpxdwvmpz,,BOTTLE,2021,6300,2670,,,4,,True
wine_01harvcm4dnexejfcjtxja4ep4,,BOTTLE,2022,4100,1460,,,8,,True
wine_01h0sq48y23z9gmb6bcteqppsx,,BOTTLE,2022,4700,2350,,,7,,True
wine_01h0qzm1pm1320vnh0dt6vd19v,,BOTTLE,2022,4600,1680,,,22,,True
wine_01h0my5tyamv8bq6thfvdrdte4,,BOTTLE,2022,4500,1600,,,6,,True
wine_01h0qzm2436ek6qyh1x0vdg86k,,BOTTLE,2023,3600,1320,,,30,,True
wine_01h0my5smt5adr77cskhfgknp4,,BOTTLE,2021,3600,1180,,,39,,True
wine_01h4pmmfh9zcbd142pyytvym8j,,BOTTLE,2022,3600,1150,,,18,,True
wine_01h0my5t9y4dan58wv3ps8xqvs,,BOTTLE,2016,10500,5000,,,9,,True
wine_01jfvrsnpar2gwvcgj4b8e1z0d,,BOTTLE,2023,3900,1290,,,72,,True
wine_01gzr4ksk759grydaffac4m90n,,MAGNUM,2023,7800,2780,,,4,,True
wine_01h0my5rjcmap9n1dhfr7akpc4,,BOTTLE,2023,5400,2140,,,18,,True
wine_01h0my5rjcmap9n1dhfr7akpc4,,MAGNUM,2022,10800,4420,,,3,,True
wine_01h0sq47xgny3zdnmy8t6fhvyr,,BOTTLE,2022,5300,2080,,,17,,True
wine_01h0sq47xgny3zdnmy8t6fhvyr,,MAGNUM,2020,10600,4480,,,5,,True
wine_01h0sq47xgny3zdnmy8t6fhvyr,,JEROBOAM,2023,21200,9990,,,1,,True
wine_01gzr4kt16x7xf11p195ys5yks,,BOTTLE,2020,11000,5900,,,5,,True
wine_01gzr4ksce2yfda4fwpe5zvjgr,,BOTTLE,2017,6900,3329,,,12,,True
wine_01gzr4kt162g2560ph7dkwcsmw,,MAGNUM,2023,7800,3354,,,4,,True
wine_01h0my5rfekbv4h2ygebwkm1hn,,BOTTLE,2021,0,4650,,,12,,True
wine_01gzr4ksmv69qe8d1n72sn0x7d,,BOTTLE,2022,5100,2000,,,9,,True
wine_01gzr4ksn5brtfmc7f9fe7zqrx,,BOTTLE,2022,4400,1580,,,12,,True
wine_01gzr4kskqhvbre4ann8ryaw6c,,BOTTLE,2023,3400,1050,,,18,,True
wine_01gzr4kspd0bp2fctnk2bf86eg,,BOTTLE,2022,4000,1340,,,18,,True
wine_01gzr4ksnhjgdxnm7093gd422q,,BOTTLE,2022,4400,1610,,,13,,True
wine_01gzr4ksd91kx6d5rhyzts8a62,,BOTTLE,2022,5200,2039,,,12,,True
wine_01gzr4ksd91kx6d5rhyzts8a62,,MAGNUM,2022,10400,4480,,,2,,True
wine_01gzr4ksn55kqa21f0wdpx6t3r,,BOTTLE,2022,7800,3729,,,6,,True
wine_01gzr4ksn55kqa21f0wdpx6t3r,,MAGNUM,2020,15600,7830,,,2,,True
wine_01gzr4ksn2hjp0ptj1mn4wbnh0,,BOTTLE,2017,14100,8109,,,4,,True
wine_01h0sq494wtv4j9mbxqj46g1mf,,BOTTLE,2019,5400,2170,,,16,,True
wine_01h0qzm2436ek6qyh1x0vdg86k,,MAGNUM,2022,7200,3360,,,3,,True
wine_01havwedqpx5yyx58k47se3wet,,BOTTLE,2021,6000,2500,,,10,,True
wine_01h0my5rbqpkdt1kxf4qvpa0ev,,BOTTLE,2022,4500,1620,,,10,,True
wine_01h0my5rbq4tyhyes4vcm6w3c3,,BOTTLE,2021,4300,1520,,,12,,True
wine_01h0my5rbqxy7znx9ckcz7p9vn,,BOTTLE,2021,4300,2230,,,10,,True
wine_01gzr4ksdgdqz08t30v9h7213x,,BOTTLE,2022,3400,1130,,,7,,True
wine_01h0my5rfeq68dk5596455bga6,,BOTTLE,2022,4600,1730,,,10,,True
