type,name,size,qty,eur_sales_price
SPARKLING,Prosecco Superiore Extra Dry Sui Nui ,BOTTLE,19,27.00 €
SPARKLING,Südtiroler Sekt  600 Blanc de Blances Kellerei Kurtatsch ,BOTTLE,7,56.00 €
SPARKLING,Südtiroler Sekt  Pinot Noir 2016 Pfitscher Montan,BOTTLE,5,65.00 €
SPARKLING,Südtiroler Sekt Versé Rosé Pitzner Kardaun,BOTTLE,18,38.00 €
SPARKLING,Trentodoc Brut Nature Opera ,BOTTLE,14,55.00 €
SPARKLING,Trentodoc Riserva Graal Brut 2013 Altemasi,BOTTLE,1,85.00 €
SPARKLING,Trentodoc Riserva Graal Brut 2011 Altemasi ,BOTTLE,1,85.00 €
SPARKLING,Trentodoc Riserva Graal Brut 2009 Altemasi ,BOTTLE,1,85.00 €
SPARKLING,Trentodoc Riserva del Fondatore Extra Brut 2009 Giulio Ferrari MAGNUM,MAGNUM,1,430.00 €
SPARKLING,Schaumwein A Lorenzo Extra Brut Pinot Noir Luca Bellani Lombardei ,BOTTLE,4,60.00 €
SPARKLING,Pinot Noir Sekt Blanc de Noirs 2017 Heymann-Löwenstein Mosel,BOTTLE,1,64.00 €
SPARKLING,Comtes de Champagne Prestige Cuveé 2012 Brut Taittinger ,BOTTLE,1,240.00 €
SPARKLING,Initial Grand Cru Brut Jacques Selosse ,BOTTLE,4,290.00 €
SPARKLING,Fleur de Craie Brut Nature Barrat-Masson,BOTTLE,1,90.00 €
SPARKLING,Latitude Extra Brut Larmandier-Bernier,BOTTLE,9,105.00 €
SPARKLING,Terre de Vetrus 2016 Brut Nature Larmandier-Bernier ,BOTTLE,6,136.00 €
SPARKLING,Terre de Vetrus 2015 Brut Nature Larmandier-Bernier ,BOTTLE,2,136.00 €
SPARKLING,Vieille Vigne du Levant 2013 Grand Cru Brut Nature Larmandier-Bernier,BOTTLE,5,185.00 €
SPARKLING,Ozanne Grand Cru Brut Michel Fallon ,BOTTLE,4,360.00 €
SPARKLING,Cramant Grand Cru 2018 Pertois-Moriset,BOTTLE,2,135.00 €
SPARKLING,Les Quatre Terroirs Grand Cru Extra Brut Pertois Moriset,BOTTLE,6,93.00 €
SPARKLING,Substance Grand Cru Extra Brut Jacques Selosse,BOTTLE,2,750.00 €
SPARKLING,Mi-Pentes Premier Cru Extra Brut Lacourte-Godbillon,BOTTLE,6,118.00 €
SPARKLING,Eugene (M/PN) Extra Brut Moussé Fils,BOTTLE,3,69.00 €
SPARKLING,La Vigne D'Or Blanc de Meuniers Brut Nature Tarlant,BOTTLE,2,175.00 €
SPARKLING,Montchenot 2019 Extra Brut Nicolas Maillart ,BOTTLE,6,118.00 €
SPARKLING,Zero (PN/CH/M) Brut Nature Tarlant,BOTTLE,7,95.00 €
SPARKLING,Les Petites Vignes Grand Cru (PN) Brut non dosé Aurore Casanova,BOTTLE,3,152.00 €
SPARKLING,Dans un Premier Temps (CH/ PN/M) Extra Brut Dhondt-Grellet,BOTTLE,5,115.00 €
SPARKLING,Millesime 2013 (CH/PN/M) Brut Nature Philippe Gamet,BOTTLE,1,95.00 €
SPARKLING,Grand Réserve (CH/PN/M) Brut Gosset,BOTTLE,3,99.00 €
SPARKLING,Sainte Anne (M/CH/PN) Brut Chartogne-Taillet,BOTTLE,4,94.00 €
SPARKLING,Royal Réserve (PN/CH/M) Brut Philipponnat,BOTTLE,5,85.00 €
SPARKLING,Les Premices (CH/M/PN) Brut Egly-Ouriet,BOTTLE,1,105.00 €
SPARKLING,Grand Cru 2018 (PN/CH) Extra Brut Egly-Ouriet,BOTTLE,1,160.00 €
SPARKLING,Reliance (M/PN/CH) Brut Nature Franck Pascal,BOTTLE,2,95.00 €
SPARKLING,Libérance 2015 (M/PN/CH) Franck Pascal,BOTTLE,1,115.00 €
SPARKLING,Pacifiance (M/PN/CH) Brut Nature Franck Pascal,BOTTLE,3,175.00 €
SPARKLING,Quinte-Essence 2013 (M/CH) Extra Brut Franck Pascal,BOTTLE,1,115.00 €
SPARKLING,Quinte-Essence 2010 (M/CH) Extra Brut Franck Pascal,BOTTLE,1,120.00 €
SPARKLING,Quinte-Essence 2008 (M/CH) Extra Brut Franck Pascal,BOTTLE,1,160.00 €
SPARKLING,Quinte-Essence 2007 (M/CH) Extra Brut Franck Pascal,BOTTLE,3,125.00 €
SPARKLING,Les jeunes pousses (CH/PN/M) Brut Copin Cautel,BOTTLE,1,65.00 €
SPARKLING,Influence (PN/M/CH) Brut Miniere F&R,BOTTLE,7,115.00 €
SPARKLING,Chemin des Rois (PN/CH) Brut Nature Vincent Cuillier,BOTTLE,1,79.00 €
