external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,SPARKLING,Prosecco Superiore Extra Dry Sui Nui ,,,BOTTLE,0,2700,0,19,,,True
,SPARKLING,Südtiroler Sekt  600 Blanc de Blances Kellerei Kurtatsch ,,,BOTTLE,0,5600,0,7,,,True
,SPARKLING,Südtiroler Sekt  Pinot Noir 2016 Pfitscher Montan,,,BOTTLE,2016,6500,0,5,,,True
,SPARKLING,Südtiroler Sekt Versé Rosé Pitzner Kardaun,,,BOTTLE,0,3800,0,18,,,True
,SPARKLING,Trentodoc Brut Nature Opera ,,,BOTTLE,0,5500,0,14,,,True
,SPARKLING,Trentodoc Riserva Graal Brut 2013 Altemasi,,,BOTTLE,2013,8500,0,1,,,True
,SPARKLING,Trentodoc Riserva Graal Brut 2011 Altemasi ,,,BOTTLE,2011,8500,0,1,,,True
,SPARKLING,Trentodoc Riserva Graal Brut 2009 Altemasi ,,,BOTTLE,2009,8500,0,1,,,True
,SPARKLING,Trentodoc Riserva del Fondatore Extra Brut 2009 Giulio Ferrari MAGNUM,,,MAGNUM,2009,43000,0,1,,,True
,SPARKLING,Schaumwein A Lorenzo Extra Brut Pinot Noir Luca Bellani Lombardei ,,,BOTTLE,0,6000,0,4,,,True
,SPARKLING,Pinot Noir Sekt Blanc de Noirs 2017 Heymann-Löwenstein Mosel,,,BOTTLE,2017,6400,0,1,,,True
,SPARKLING,Comtes de Champagne Prestige Cuveé 2012 Brut Taittinger ,,,BOTTLE,2012,24000,0,1,,,True
,SPARKLING,Initial Grand Cru Brut Jacques Selosse ,,,BOTTLE,0,29000,0,4,,,True
,SPARKLING,Fleur de Craie Brut Nature Barrat-Masson,,,BOTTLE,0,9000,0,1,,,True
,SPARKLING,Latitude Extra Brut Larmandier-Bernier,,,BOTTLE,0,10500,0,9,,,True
,SPARKLING,Terre de Vetrus 2016 Brut Nature Larmandier-Bernier ,,,BOTTLE,2016,13600,0,6,,,True
,SPARKLING,Terre de Vetrus 2015 Brut Nature Larmandier-Bernier ,,,BOTTLE,2015,13600,0,2,,,True
,SPARKLING,Vieille Vigne du Levant 2013 Grand Cru Brut Nature Larmandier-Bernier,,,BOTTLE,2013,18500,0,5,,,True
,SPARKLING,Ozanne Grand Cru Brut Michel Fallon ,,,BOTTLE,0,36000,0,4,,,True
,SPARKLING,Cramant Grand Cru 2018 Pertois-Moriset,,,BOTTLE,2018,13500,0,2,,,True
,SPARKLING,Les Quatre Terroirs Grand Cru Extra Brut Pertois Moriset,,,BOTTLE,0,9300,0,6,,,True
