wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4ksdb6rh6nc323sr1hdpn,,BOTTLE,2013,8500,0,,,1,,True
wine_01gzr4ksdb6rh6nc323sr1hdpn,,BOTTLE,2011,8500,0,,,1,,True
wine_01gzr4ksdb6rh6nc323sr1hdpn,,BOTTLE,2009,8500,0,,,1,,True
wine_01gzr4kscc3eq3g9mgs0f5ns3f,,MAGNUM,2009,43000,0,,,1,,True
wine_01gzr4kszdcwznfp8c28jqwcp4,,BOTTLE,2017,6400,0,,,1,,True
wine_01gzr4kszz1tbmd7vy0qtsys35,,BOTTLE,2016,13600,0,,,6,,True
wine_01gzr4kszz1tbmd7vy0qtsys35,,BOTTLE,2015,13600,0,,,2,,True
wine_01gzr4ktj547r5jgaazkcs17d7,,BOTTLE,2013,18500,0,,,5,,True
wine_01hbxfd29jjq9gbe8y0hj34tvd,,BOTTLE,2019,11800,0,,,6,,True
wine_01h4pmmgk7kbbrc1f2pxggp8fs,,BOTTLE,2013,9500,0,,,1,,True
wine_01h4pmmff782ryqv710jecfqq4,,BOTTLE,2018,16000,0,,,1,,True
wine_01h4pmmgk1wgvaagav68sqpd59,,BOTTLE,2015,11500,0,,,1,,True
wine_01h4pmmfcx5fa8rsb1f0k2n037,,BOTTLE,2013,11500,0,,,1,,True
wine_01h4pmmfcx5fa8rsb1f0k2n037,,BOTTLE,2010,12000,0,,,1,,True
wine_01h4pmmfcx5fa8rsb1f0k2n037,,BOTTLE,2008,16000,0,,,1,,True
wine_01h4pmmfcx5fa8rsb1f0k2n037,,BOTTLE,2007,12500,0,,,3,,True
wine_01gzr4kt7qcec8s05bsyar462v,,BOTTLE,2013,9500,0,,,2,,True
wine_01gzr4ksn6e8ppqwee5bpaq7bz,,BOTTLE,2004,15800,0,,,2,,True
wine_01h4pmmgn6dqewz4hp9sxsd21y,,BOTTLE,2015,11000,0,,,2,,True
