type,name,winery,info,vintage,size,price,EK
SPARKLING,Haderburg Brut ,Haderburg ,,,0.75,"49,00 €",19.5
SPARKLING,Haderburg Pas Dose` ,Haderburg ,,,0.75,"52,00 €",26
SPARKLING,Franciacorta Cuvée Brut ,Bellavista ,,,0.75,"51,00 €",27.5
SPARKLING,Franciacorta Satin ,Bellavista ,,,0.75,"63,00 €",39.9
,Prosecco Brut Zero 26° Primo ,Andreola ,,,0.75,"34,00 €",8.8
SPARKLING,Prosecco Brut Col del Forno ,Andreola ,,,0.75,"34,00 €",8.8
SPARKLING,Prosecco Extra Dry Mas de Fer ,Andreola ,,,0.75,"34,00 €",8.8
SPARKLING,Ferrari Maximum Brut ( Trento doc ) ,Ferrari,,,0.75,"60,00 €",20.9
,Trento Doc Blauwal Rose`,Cesconi,,,0.75,50.00€,26.9
,Trento Doc Blauwal Extra Brut,Cesconi,,,0.75,49.00€,19.5
SPARKLING,Ruinart Brut ,Ruinart,,,0.75,"98,00 €",33.9
SPARKLING,Ruinart Rose`,Ruinart,,,0.75," 140,00 €",49.9
SPARKLING,Bollinger Brut ,Bollinger,,,0.75,"105,00 €",57.9
SPARKLING,Dom Perignon Brut ,Dom Perignon,,,0.75,"270,00 €",215
SPARKLING,Krug Gran Cuvée Brut ,Krug,,,0.75,"258,00 €",209
SPARKLING,Moet & Chandon Ice Imperial ,Moet & Chandom,,,0.75,"105,00 €",59
WHITE,Chardonnay Turmhof,Tiefenbrunner,,,0.75,"41,00 €",14
WHITE,Chardonnay Lafoa,Schreckbichl,,,0.75,"46,00 €",19.9
WHITE,Chardonnay St. Valentin,St. Michael,,,0.75,"46,00 €",19.4
WHITE,Chardonnay Cardellino,Elena Walch,,,0.75,"39,00 €",14.4
WHITE,Chardonnay Riserva,Happacherhof,,,0.75,"41,00 €",16.9
WHITE,Chardonnay,Lageder,,,0.75,"34,00 €",9.45
WHITE,Gewürztraminer Kolbenhofer,Hofstätter,,,0.75,"53,00 €",24.9
WHITE,Gewürztraminer Lafoa,Schreckbichl,,,0.75,"46,00 €",18.9
WHITE,Gewürtztraminer St. Valentin,St. Michael,,,0.75,"46,00 €",19.4
WHITE,Gewürztraminer Campaner,Kellerei Kaltern,,,0.75,"37,00 €",11.3
WHITE,Gewürztraminer Nussbaumer,Kellerei Tramin,,,0.75,"48,00 €",21.5
WHITE,Gewürztraminer Gumphof,Gumphof,,,0.75,"39,00 €",14.5
WHITE,Terlaner Sauvignon,Messnerhof,,,0.75,"38,00 €",13.5
WHITE,Sauvignon Lafoa,Schreckbichl,,,0.75,"45,00 €",18.9
WHITE,Sauvignon St. Valentin,St. Michael,,,0.75,"46,00 €",19.4
WHITE,Sauvignon Graf von Meran,Kellerei Meran,,,0.75,"36,00 €",11
WHITE,Sauvignon Oberberg,Kornellhof,,,0.75,"48,00 €",21
WHITE,Sauvignon riserva Renaissance,Gumphof,,,0.75,"58,00 €",30.9
,Sauvignon Quarz,Terlan,,,0.75,"64,00 €",36.3
WHITE,Kerner Praepusitus,Neustift,,,0.75,"42,00 €",15.9
WHITE,Kerner Riserva Aurona,Laimburg,,,0.75,"46,00 €",16.9
WHITE,Kerner,Taschlerhof,,,0.75,"39,00 €",11.9
WHITE,Sylvaner,Pacherhof,,,0.75,"39,00 €",13.5
,Sylvaner Alte Reben,Pacherhof,,,0.75,"47,00 €",21
WHITE,Veltliner,Garlieder,,,0.75,"38,00 €",12.5
WHITE,Riesling,Laimburg,,,0.75,"37,00 €",16.2
WHITE,Riesling,Pacherhof,,,0.75,"43,00 €",15
WHITE,Pinot grigio Porer,Lageder,,,0.75,"43,00 €",15
WHITE,Pinot grigio,Koblerhof,,,0.75,"36,00 €",10.3
WHITE,Pinot grigio St. Valentin,St. Michael,,,0.75,"49,00 €",19.4
WHITE,Pinot grigio Unterebner,Kellerei Tramin,,,0.75,"46,00 €",19.8
WHITE,Pinot bianco Vorberg,Kellerei Terlan,,,0.75,"49,00 €",22.9
WHITE,Pinot bianco Versalto,Alois Lageder,,,0.75,"41,00 €",14.45
WHITE,Pinot bianco Schulthauser,St. Michael,,,0.75,"35,00 €",10
WHITE,Pinot bianco Strahler,Stroblhof,,,0.75,"38,00 €",12.5
WHITE,Pinot bianco Verena,Nicolussi Leck,,,0.75,"36,00 €",10.2
WHITE,Weissburgunder riserva Renaissance,Gumphof,,,0.75,"55,00 €",29.9
WHITE,Weissburgunder,Lieselehof,,,0.75,"43,00 €",16.9
WHITE,Müller Thurgau Feldmarschall,Tiefenbrunner,,,0.75,"62,00 €",39.9
WHITE,Müller Thurgau,Pacherhof,,,0.75,"37,00 €",14.4
WHITE,Weiss Private,Pacherhof,,,0.75,"55,00 €",27.9
WHITE,Reserve della Contessa,Manincor,,,0.75,"40,00 €",14.3
WHITE,Amistar Bianco Cuveè,Peter Sölva,,,0.75,"52,00 €",20.3
WHITE,Grand Cuvee` I°,Kellerei Terlan,,,0.75,"215,00 €",140
WHITE,Appius,St. Michael,,,0.75,"140,00 €",99
WHITE,Pfefferer,Schreckbichl,,,0.75,"33,00 €",7.6
WHITE,Lugana S. Christina,Zenato,,,0.75,"37,00 €",11.3
WHITE,Nosiola Fontanasanta,Foradori,,,0.75,"50,00 €",24
,Lagrein Rose` Lageder,Lageder,,,0.75,"35,00 €",9.95
,La Rose de Manincor,Manincor,,,0.75,"42,00 €",15.5
,Merlot rose`,Koblerhof,,,0.75,"37,00 €",11.9
,"Flaschenpost 0,5 lt",Sölva & Kofler,,,0.5,"29,00 €",7.7
,Perrose`,Peter Sölva,,,0.75,"40,00 €",11.2
,Rosa dei Masi ,Masi ,,,0.75,"34,00 €",9.8
,Bolgheri rosato Cassiopea,Poggio al Tesoro,,,0.75,"42,00 €",10.4
