wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4ktwcp5fb4jqaz1epampm,,HALF_BOTTLE,2000,45000,0,,,50,,True
wine_01gzr4ktfzk1e79z65vsz8rfe4,,BOTTLE,0,5100,2750,,,50,,True
wine_01gzr4kt5ecvskr4debpczwvbs,,BOTTLE,0,4200,1370,,,50,,True
wine_01gzr4kt5xwn0938js30zqnvse,,BOTTLE,0,8200,4790,,,50,,True
wine_01h0qzm03hsc3eddz9gjeye772,,BOTTLE,0,5300,2690,,,50,,True
wine_01gzr4ktfg0ccfyk9pna69wmz2,,BOTTLE,0,5200,2090,,,50,,True
wine_01gzr4ksd3m8y62ggabzd1kdmg,,BOTTLE,0,32000,21000,,,50,,True
wine_01gzr4kspp7qb0nmb3p3cs0zz4,,BOTTLE,0,31000,19000,,,50,,True
wine_01gzr4ksd40fyqcc0945rr0se7,,BOTTLE,0,8000,4750,,,50,,True
wine_01h0my5scd5fdej59s20baf41j,,BOTTLE,0,6800,3500,,,50,,True
wine_01h0sq47v1sfp6aatfcers04xn,,BOTTLE,0,4100,1400,,,50,,True
wine_01gzr4ksg1bzkkbtawsys1e0qp,,BOTTLE,0,109,4500,,,50,,True
wine_01gzr4ksppt0jb18tnmca890vq,,BOTTLE,0,10800,7290,,,50,,True
wine_01gzr4ktg96g16anb9vmm2j4yd,,BOTTLE,0,150,9300,,,50,,True
wine_01gzr4ksd4w7rv0b8sbp7yr3b7,,BOTTLE,0,72,3800,,,50,,True
wine_01h0my5sexve5dez66keysg16r,,BOTTLE,0,58,2460,,,50,,True
wine_01j52tf6846f0w722wxdzvfs9w,,BOTTLE,0,204,13600,,,50,,True
wine_01gzr4kssa58jce5zypbmdfkxy,,BOTTLE,0,3500,910,,,50,,True
wine_01h0qzm023mh9s9jjd32spm5nn,,BOTTLE,0,4600,1920,,,50,,True
wine_01h0my5rh4696kz0ytbwtarqyc,,HALF_BOTTLE,0,3100,1500,,,50,,True
wine_01gzr4kt16820wjbdg9fbdw024,,HALF_BOTTLE,0,2600,1080,,,50,,True
wine_01gzr4ksppt0jb18tnmca890vq,,HALF_BOTTLE,0,5800,3600,,,50,,True
wine_01gzr4kspp5ck3gwm5w4617e7m,,HALF_BOTTLE,0,3800,2030,,,50,,True
wine_01h0qzm23td27tjz7dt25a6wpm,,HALF_BOTTLE,0,4500,2750,,,50,,True
wine_01h4pmmg360rq694drk6zcqk77,,MAGNUM,0,95,4000,,,50,,True
wine_01h0my5rjsjmc5trft3fn3tf0d,,MAGNUM,0,130,7200,,,50,,True
wine_01gzr4ksnckgxjmhc2znqdfmm7,,MAGNUM,0,110,4200,,,50,,True
wine_01gzr4kt1x4x3kdp4ntz34pcps,,MAGNUM,0,90,2800,,,50,,True
wine_01gzr4kt80aqyvxbtdggywpefb,,MAGNUM,0,250,13300,,,50,,True
wine_01gzr4kt84p32acb7v4yb1s1mc,,MAGNUM,0,195,11500,,,50,,True
wine_01gzr4ksd960sygzpm3fmahghh,,MAGNUM,0,530,36000,,,50,,True
wine_01gzr4kt5xwn0938js30zqnvse,,MAGNUM,0,170,9800,,,50,,True
