type,winery,name,size,internal_notes,eur_price
SPARKLING,AGRAPART,,,,
SPARKLING,,Champagne Venus Brut Grand Cru 2017,,Chardonnay 100%,390
SPARKLING,,Champagne Avizoise Extra Brut Granc Cru,,Chardonnay 100%,260
SPARKLING,,Champagne Terroirs Extra Brut Grand Cru,,Chardonnay 100%,150
SPARKLING,,Champagne 7 Crus Extra Brut,,"Chardonnay 90%, Pinot Noir 10%",110
SPARKLING,,Champagne Mineral Extra Brut Blanc de Blancs,,Chardonnay 100%,210
SPARKLING,BRIGANDAT,,,,
SPARKLING,,Champagne Blanc de Noirs Brut,,Pinot Noir 100%,65
SPARKLING,DE VILMONT,,,,
SPARKLING,,Champagne Blanc de Blancs Brut,,Chardonnay 100%,55
SPARKLING,,Champagne Brut Premier Cru,,"Chardonnay 50%, Pinot Noir 25%, Pinot Meunier 25% ",60
SPARKLING,DIEBOLT VALLOIS,,,,
SPARKLING,,Champagne Blanc de BLancs Prestige Extra Brut,,Chardonnay 100%,80
SPARKLING,,Champagne Fleur de Passion,,,
SPARKLING,JACQUESSON,,,,
SPARKLING,,Couvé 747,,"Chardonnay 61%, Pinot Meunier 21%, Pinot Noir 18%",150
SPARKLING,,Couvé 742,,"Chardonnay 47%, Pinot Noir 33%, Pinot Meunier 20%",270
SPARKLING,JEAN VESSELLE,,,,
SPARKLING,,Champagne Oeil de Perdrix Brut,,Pinot Noir 100%,80
SPARKLING,LOUIS BROCHET,,,,
SPARKLING,,Champagne Premier Cru Brut Heritage,,"Pinot Noir 80%, Chardonnay 15%, Pinot Meunier 5%",120
SPARKLING,MARIE LE BRUN,,,,
SPARKLING,,Champagne Blan de Blancs,,Chardonnay 100%,90
SPARKLING,MAURICE VESSELLE ,,,,
SPARKLING,,Champagne Grand Cru 2007,,"Pinot Noir 80%, Chardonnay 20% ",70
SPARKLING,MICHEL GONET,,,,
SPARKLING,,Champagne Extra Brut Mill.,,Chardonnay 100%,60
SPARKLING,PETIT-CAMUSAT,,,,
SPARKLING,,Champagne Blanc de Blancs Brut,,Pinot Blanc 100%,70
SPARKLING,ROBERT AILLAT,,,,
SPARKLING,,Champagne ,,Pinot Meunier 100%,90
SPARKLING,SADI MALOT,,,,
SPARKLING,,Champagne L'Equilibre Grand Cru,,"Chardonnay 50%, Pinot Noir 50%",70
SPARKLING,SEBASTIEN LEFEVRE,,,,
SPARKLING,,Champagne Blanc de Blancs Brut,,Chardonnay 100%,50
SPARKLING,,Champagne Millésime 2014,,"Chardonnay 50%, Pinot Noir 41%, Pinot Meunier 9%",60
SPARKLING,VAZART,,,,
SPARKLING,,Champagne Blanc de Blancs Brut Reserve Grand Cru,,Chardonnay 100%,80
SPARKLING,,,,,
SPARKLING,,,,,
SPARKLING,LA GALINIERE,,,,
SPARKLING,,Vouvray,,,36
SPARKLING,,,,,
SPARKLING,GRAMONA,,,,
SPARKLING,,Imperial Brut,,,60
SPARKLING,,La Cuvee Brut,,,40
SPARKLING,,,,,
SPARKLING,ALTA LANGA,,,,
SPARKLING,,Airali Pas Dosè,,,36
SPARKLING,,,,,
SPARKLING,FARFALLA,,,,
SPARKLING,,Extra Brut Noir Collection,,,45
SPARKLING,,,,,
SPARKLING,ALTILIA,,,,
SPARKLING,,Extra Brut Milesimato ,,,36
SPARKLING,CESARINI SFORZA,,,,
SPARKLING,,Noire Nature,,,45
SPARKLING,,Extra Brut,,,45
SPARKLING,,Aquila Reale,,,90
SPARKLING,MONFORT,,,,
SPARKLING,,Couvee '85,,,35
SPARKLING,,Le General Blanc,,,55
SPARKLING,,Le General Dallemagne,,,55
SPARKLING,,Rosé ,,,39
SPARKLING,ROTARI,,,,
SPARKLING,,Couvee '28,,,35
SPARKLING,,,,,
SPARKLING,VEVEY,,,,
SPARKLING,,Brut Nature,,,35
SPARKLING,,,,,
SPARKLING,BELLAVISTA,,,,
SPARKLING,,"Franciacorta Granc Cuvée Brut 0,375",HALF_BOTTLE,,28
SPARKLING,LOVERA ,,,,
SPARKLING,,Franciacorta Brut,,,35
SPARKLING,MARCHESINE,,,,
SPARKLING,,Brut Nitens,,,35
SPARKLING,,Dos. Zero Audiens,,,35
SPARKLING,,Saten,,,35
SPARKLING,,,,,
SPARKLING,,,,,
SPARKLING,BENOTTO,,,,
SPARKLING,,Brut Prosecco,,,15
SPARKLING,,Extra Dry,,,15
WHITE,,,,,
WHITE,,,,,
WHITE,ALBERT BESOMES,,,,
WHITE,,Muscadet Tete de Linotte,,,20
WHITE,ALBERT DE CONTI,,,,
WHITE,,Sauvignon Couvee des Conti Bergerac,,,25
WHITE,CHAUME-ARNAUD,,,,
WHITE,,Cotes du Rhone Blanc,,,30
WHITE,CHEVAU ,,,,
WHITE,,Pouilly Fume La Charmette,,,45
WHITE,COTEAUX DU GIENNOIS,,,,
WHITE,,Calcaire 22,,,35
WHITE,,Champ Gibault,,,30
WHITE,DOMAINE D'ELISE,,,,
WHITE,,Chablis 22,,,30
WHITE,DOMAINE LAGUERRE,,,,
WHITE,,Blange Ciste Lauger 21,,Cotes de Roussillon,40
WHITE,LA TOUR DE L'EVEQUE,,,,
WHITE,,Pètale de Rose,,,25
WHITE,MICHEL REDDE,,,,
WHITE,,Pouilly Fume La Moynerie,,,40
WHITE,,Petit F...,,,40
WHITE,WILLM,,,,
WHITE,,Gewurztraminer,,,25
WHITE,,,,,
WHITE,QUINTA DE GOMARIZ,,,,
WHITE,,Loureiro,,,20
WHITE,,,,,
WHITE,CLOUDY BAY,,,,
WHITE,,Chardonnay,,,55
WHITE,,Sauvignon Blanc,,,55
WHITE,,,,,
WHITE,,,,,
WHITE,,,,,
WHITE,,,,,
WHITE,GRADIS'CIUTTA,,,,
WHITE,,Friulano,,,24
WHITE,,Malvasia,,,24
WHITE,,Ribolla Gialla,,,24
WHITE,,Sauvignon,,,24
