external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,SPARKLING,Champagne Venus Brut Grand Cru,AGRAPART,,BOTTLE,2017,39000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Avizoise Extra Brut Granc Cru,AGRAPART,,BOTTLE,0,26000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Terroirs Extra Brut Grand Cru,AGRAPART,,BOTTLE,0,15000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne 7 Crus Extra Brut,AGRAPART,,BOTTLE,0,11000,0,0,,"Chardonnay 90%, Pinot Noir 10%",True
,SPARKLING,Champagne Mineral Extra Brut Blanc de Blancs,AGRAPART,,BOTTLE,0,21000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Blanc de Noirs Brut,BRIGANDAT,,BOTTLE,0,6500,0,0,,Pinot Noir 100%,True
,SPARKLING,Champagne Blanc de Blancs Brut,DE VILMONT,,BOTTLE,0,5500,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Brut Premier Cru,DE VILMONT,,BOTTLE,0,6000,0,0,,"Chardonnay 50%, Pinot Noir 25%, Pinot Meunier 25% ",True
,SPARKLING,Champagne Blanc de BLancs Prestige Extra Brut,DIEBOLT VALLOIS,,BOTTLE,0,8000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Fleur de Passion,DIEBOLT VALLOIS,,BOTTLE,0,0,0,0,,,True
,SPARKLING,Couvé 747,JACQUESSON,,BOTTLE,0,15000,0,0,,"Chardonnay 61%, Pinot Meunier 21%, Pinot Noir 18%",True
,SPARKLING,Couvé 742,JACQUESSON,,BOTTLE,0,27000,0,0,,"Chardonnay 47%, Pinot Noir 33%, Pinot Meunier 20%",True
,SPARKLING,Champagne Oeil de Perdrix Brut,JEAN VESSELLE,,BOTTLE,0,8000,0,0,,Pinot Noir 100%,True
,SPARKLING,Champagne Premier Cru Brut Heritage,LOUIS BROCHET,,BOTTLE,0,12000,0,0,,"Pinot Noir 80%, Chardonnay 15%, Pinot Meunier 5%",True
,SPARKLING,Champagne Blan de Blancs,MARIE LE BRUN,,BOTTLE,0,9000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Grand Cru,MAURICE VESSELLE ,,BOTTLE,2007,7000,0,0,,"Pinot Noir 80%, Chardonnay 20% ",True
,SPARKLING,Champagne Extra Brut Mill.,MICHEL GONET,,BOTTLE,0,6000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Blanc de Blancs Brut,PETIT-CAMUSAT,,BOTTLE,0,7000,0,0,,Pinot Blanc 100%,True
,SPARKLING,Champagne,ROBERT AILLAT,,BOTTLE,0,9000,0,0,,Pinot Meunier 100%,True
,SPARKLING,Champagne L'Equilibre Grand Cru,SADI MALOT,,BOTTLE,0,7000,0,0,,"Chardonnay 50%, Pinot Noir 50%",True
,SPARKLING,Champagne Blanc de Blancs Brut,SEBASTIEN LEFEVRE,,BOTTLE,0,5000,0,0,,Chardonnay 100%,True
,SPARKLING,Champagne Millésime,SEBASTIEN LEFEVRE,,BOTTLE,2014,6000,0,0,,"Chardonnay 50%, Pinot Noir 41%, Pinot Meunier 9%",True
,SPARKLING,Champagne Blanc de Blancs Brut Reserve Grand Cru,VAZART,,BOTTLE,0,8000,0,0,,Chardonnay 100%,True
,SPARKLING,Vouvray,LA GALINIERE,,BOTTLE,0,3600,0,0,,,True
,SPARKLING,Imperial Brut,GRAMONA,,BOTTLE,0,6000,0,0,,,True
,SPARKLING,La Cuvee Brut,GRAMONA,,BOTTLE,0,4000,0,0,,,True
,SPARKLING,Airali Pas Dosè,ALTA LANGA,,BOTTLE,0,3600,0,0,,,True
,SPARKLING,Extra Brut Noir Collection,FARFALLA,,BOTTLE,0,4500,0,0,,,True
,SPARKLING,Extra Brut Milesimato,ALTILIA,,BOTTLE,0,3600,0,0,,,True
,SPARKLING,Noire Nature,CESARINI SFORZA,,BOTTLE,0,4500,0,0,,,True
,SPARKLING,Extra Brut,CESARINI SFORZA,,BOTTLE,0,4500,0,0,,,True
,SPARKLING,Aquila Reale,CESARINI SFORZA,,BOTTLE,0,9000,0,0,,,True
,SPARKLING,Couvee '85,MONFORT,,BOTTLE,0,3500,0,0,,,True
,SPARKLING,Le General Blanc,MONFORT,,BOTTLE,0,5500,0,0,,,True
,SPARKLING,Le General Dallemagne,MONFORT,,BOTTLE,0,5500,0,0,,,True
,SPARKLING,Rosé,MONFORT,,BOTTLE,0,3900,0,0,,,True
,SPARKLING,Couvee '28,ROTARI,,BOTTLE,0,3500,0,0,,,True
,SPARKLING,Brut Nature,VEVEY,,BOTTLE,0,3500,0,0,,,True
,SPARKLING,"Franciacorta Granc Cuvée Brut 0,375",BELLAVISTA,,HALF_BOTTLE,0,2800,0,0,,,True
,SPARKLING,Franciacorta Brut,LOVERA ,,BOTTLE,0,3500,0,0,,,True
,SPARKLING,Brut Nitens,MARCHESINE,,BOTTLE,0,3500,0,0,,,True
,SPARKLING,Dos. Zero Audiens,MARCHESINE,,BOTTLE,0,3500,0,0,,,True
,SPARKLING,Saten,MARCHESINE,,BOTTLE,0,3500,0,0,,,True
,SPARKLING,Brut Prosecco,BENOTTO,,BOTTLE,0,1500,0,0,,,True
,SPARKLING,Extra Dry,BENOTTO,,BOTTLE,0,1500,0,0,,,True
,WHITE,Muscadet Tete de Linotte,ALBERT BESOMES,,BOTTLE,0,2000,0,0,,,True
,WHITE,Sauvignon Couvee des Conti Bergerac,ALBERT DE CONTI,,BOTTLE,0,2500,0,0,,,True
,WHITE,Cotes du Rhone Blanc,CHAUME-ARNAUD,,BOTTLE,0,3000,0,0,,,True
,WHITE,Pouilly Fume La Charmette,CHEVAU ,,BOTTLE,0,4500,0,0,,,True
,WHITE,Calcaire 22,COTEAUX DU GIENNOIS,,BOTTLE,0,3500,0,0,,,True
,WHITE,Champ Gibault,COTEAUX DU GIENNOIS,,BOTTLE,0,3000,0,0,,,True
,WHITE,Chablis 22,DOMAINE D'ELISE,,BOTTLE,0,3000,0,0,,,True
,WHITE,Blange Ciste Lauger 21,DOMAINE LAGUERRE,,BOTTLE,0,4000,0,0,,Cotes de Roussillon,True
,WHITE,Pètale de Rose,LA TOUR DE L'EVEQUE,,BOTTLE,0,2500,0,0,,,True
