wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4kt019n26wtvhza9bemxx,,BOTTLE,2017,39000,0,,,0,Chardonnay 100%,True
wine_01j52tf2yppwzt3memb2qhq5ee,,BOTTLE,2007,7000,0,,,0,"Pinot Noir 80%, Chardonnay 20% ",True
wine_01jn0t42bqjx5026dbz7cncf3m,,BOTTLE,2014,6000,0,,,0,"Chardonnay 50%, Pinot Noir 41%, Pinot Meunier 9%",True
wine_01h4pmmgj0b5pwzaebseq9js7y,,BOTTLE,0,5500,0,,,0,Chardonnay 100%,True
wine_01h4pmmfqed1f64hb1y7nqk7c3,,BOTTLE,0,1800,0,,,0,,True
wine_01j52ter6vjxz4b189440vc37y,,BOTTLE,0,2200,0,,,0,,True
wine_01h0qzm02r20nvyv1f7r0dbw2y,,BOTTLE,0,1900,0,,,0,,True
wine_01gzr4kt3p167ktz09r4rbbqan,,BOTTLE,0,3000,0,,,0,,True
wine_01gzr4kt3p51dwskzfjn7fwcdj,,BOTTLE,0,3000,0,,,0,,True
wine_01h0qsxnxd14pdkc65jychryve,,BOTTLE,0,3000,0,,,0,,True
wine_01h0qsxnxax40zav3whgkdcbfk,,BOTTLE,0,3000,0,,,0,,True
wine_01h0qsxnxe9khc7rv9kmzfj5ca,,BOTTLE,0,3000,0,,,0,,True
wine_01h0qsxnx9yqgmy2fyzhrjxzze,,BOTTLE,0,3000,0,,,0,,True
wine_01hawwcyqtkgfnzavcr7cxkvfg,,BOTTLE,0,3500,0,,,0,,True
wine_01gzr4ksd134gff46dt7jeatpx,,BOTTLE,0,5500,0,,,0,,True
wine_01h0my5vm4zb0a76j3p0xf414h,,BOTTLE,0,7000,0,,,0,Pinot Blanc 100%,True
wine_01gzr4kszed7tq4r8psdssyze9,,BOTTLE,0,5500,0,,,0,,True
wine_01h0qsxnsrvyrf6p01d0kc9hnc,,BOTTLE,0,2000,0,,,0,,True
wine_01hcwsykk13azzgmd05m7g21dw,,BOTTLE,0,2500,0,,,0,,True
wine_01harvckxxpwpafy3zbeyfd426,,BOTTLE,0,4000,0,,,0,,True
wine_01gzr4kt1pf352tg6hpwma7qj8,,BOTTLE,0,4000,0,,,0,,True
wine_01hcwsykcn978c0q5f1dywmwfy,,BOTTLE,0,3000,0,,,0,,True
wine_01h4pmmfcfkagqaschx2a4fdhj,,BOTTLE,0,3500,0,,,0,,True
wine_01gzr4ktg85053yv75qkwxnfq1,,BOTTLE,0,9000,0,,,0,,True
wine_01h0f3cmbnjecjzpt4m0s46jvh,,BOTTLE,0,6000,0,,,0,,True
wine_01j52texssr63c21jn7vwgjaw5,,BOTTLE,0,3000,0,,,0,,True
wine_01gzr4ksxjfy1w36vx2rk1e8n3,,BOTTLE,0,26000,0,,,0,Chardonnay 100%,True
wine_01gzr4ksxcp5vqmkyny41cw9z9,,BOTTLE,0,15000,0,,,0,Chardonnay 100%,True
wine_01h0my5rrw52crdjem8kksb2wg,,BOTTLE,0,11000,0,,,0,"Chardonnay 90%, Pinot Noir 10%",True
wine_01gzr4ksxex5ag9tcckh1vt9n0,,BOTTLE,0,21000,0,,,0,Chardonnay 100%,True
