name,winery,vintage,size,price
Arunda Riserva Extra Brut | CH,"""Sektkellerei Arunda, Mölten""",,,"""50,00 €"""
"""Arunda Phineas IV | CH, WB, A""","""Sektkellerei Arunda, Mölten""",,,"""85,00 €"""
Praeclarus Brut | CH,"""Kellerei St. Pauls, Eppan""",,,"""48,00 €"""
Blanc de Blancs Brut Nature 2018 | CH,"""Montris, Kaltern""",2018,,"""60,00 €"""
"""Brut Riserva 36 2019 | CH, PB, PN""",Kellerei Meran,2019,,"""47,00 €"""
600 Blanc de Blancs Pas Dosé 2017,Kellerei Kurtatsch,2017,,"""53,00 €"""
"""InSekt Pet Nat 2021 | SOL, MC""","""Burgerhof Meßner, Brixen""",2021,,"""39,00 €"""
"""Athesis Brut Rosé 2019 | PN, CH""","""Kellerei Kettmeir, Kaltern""",2019,,"""49,00 €"""
"""Methius Riserva Brut 2018 | CH, PN""",Dorigati Mezzocorona,2018,,"""59,00 €"""
"""Lamm No 12 Extra Brut | CH, PN, PB""",Sektmanufaktur Winkler,,,"""58,00 €"""
Honey GourMET Honig Brut,Imkerei Innerhofen,,,"""38,00 €"""
"""Masnen-Vignal Millesimato Riserva 2018 | CH, PB ""","""Klinger Pilati, Trient""",2018,,"""49,00 €"""
Ferrari Perlé 2017 | CH,"""Kellerei Ferrari, Trient""",2017,,"""63,00 €"""
Ferrari Perlé Rosé Riserva 2016,"""Kellerei Ferrari, Trient""",2016,,"""79,00 €"""
Blauwal Vintage Riserva 2014,Cesconi,2014,,"""72,00 €"""
SomVita Prosecco Extra Brut,"""Kellerei Sacchetto, Venetien""",,,"""29,00 €"""
Santa Margherita 52 Brut 2021,"""Santa Margherita, Venetien""",2021,,"""32,00 €"""
"""Corvezzo Diamas Blanc de Blancs Extra Brut | Glera, CH, PB ""","""Agrargesellschaft Corvezzo, Venetien""",,,"""34,00 €"""
Lele Rosé Millesimato Brut 2021,"""Vineyards V8+, Venetien""",2021,,"""33,00 €"""
Ruinart Blanc de Blancs Brut | CH,Montagne de Reims,,,"""129,00 €"""
"""Champagne Ruinart,  Rosé Brut | PN, CH""",Montagne de Reims,,,"""135,00 €"""
Champagne Grand Cru | CH  Les Jardins d’Elise Extra Brut,"""Champagne J. Vignier, Cramant""",,,"""125,00 €"""
Moët & Chandon Ice Impérial Brut,"""Champagne Moët & Chandon,""",,,"""110,00 €"""
Insouciance Rosé Brut,"""Champagne Huré Frères, Ludes""",,,"""75,00 €"""
Perrier-Jouët Grand Brut,"""Perrier-Jouët, Côte des Blancs""",,,"""115,00 €"""
Perrier-Jouët Blason Rosé Brut,"""Perrier-Jouët, Côte des Blancs""",,,"""135,00 €"""
Roederer Rosé Vintage Brut 2015,"""Champagne Louis Roederer,""",2015,,"""155,00 €"""
"""Laurent-Perrier La Cuvée Brut | CH, PN, PM""","""Champagne Laurent-Perrier,""",,,"""75,00 €"""
"""Legras & Haas Intuition Brut | CH, PN, PM""","""Champagne Legras & Haas,""",,,"""73,00 €"""
Legras & Haas Blanc de Blancs Millésime Brut 2015 | CH,"""Champagne Legras & Haas,""",2015,,"""120,00 €"""
"""Face Nord Grand Cru Rosé Brut | PN, CH""","""Champagne Pehu Simonet,""",,,"""71,00 €"""
"""Millésime 2010 | PM, CH, PN""","""Champagne A. Robert, Côte des Blancs""",2010,,"""112,00 €"""
"""Alliance Rosé | PM, CH, PN""","""Champagne A. Robert, Côte des Blancs""",,,"""79,00 €"""
"""Dom Pérignon Brut | PN, CH""","""Champagne Moët & Chandon,""",,,"""350,00 € (2012) | 320,00 (2013)"""
"""Charles le Bel Inspiration 1818 | CH, PN, PM""",Champagne Billecart&Salmon,1818,,"""68,00 €"""
"""Ca’ del Bosco Cuvée Prestige Edizione 46 Extra Brut | CH, PN, PB ""","""Ca’ del Bosco, Franciacorta, Lombardei""",,,"""59,00 €"""
Ca’ del Bosco Cuvée Prestige Rosé Brut,"""Ca’ del Bosco, Franciacorta, Lombardei""",,,"""86,00 €"""
"""Ca’ del Bosco Cuvée Annamaria Clementi Extra Brut | CH, PN, PB ""","""Ca’ del Bosco, Franciacorta, Lombardei""",,,"""179,00 € (2009) | 159,00 (2014)"""
Bellavista Satèn Brut 2017 | CH Kellerei,"""Bellavista, Franciacorta, Lombardei""",2017,,"""72,00 €"""
Ca’ del Bosco Rosé Annamaria Clementi Vintage 2012 Extra Brut | PN,"""Ca’ del Bosco, Franciacorta, Lombardei""",2012,,"""345,00 € Magnum"""
"""Rosé Bellavista Brut 2018 | CH, PN""","""Kellerei Bellavista, Franciacorta,""",2018,,"""82,00 €"""
"""Marchese Antinori Contessa Maggi Brut 2016 | CH, PN ""","""Weingut Montenisa, Franciacorta,""",2016,,"""69,00 €"""
Sessanta Dosage Zéro | PN,"""Luca Bellani, Oltrepò Pavese, Lombardei""",,,"""40,00 €"""
