"name","winery","vintage","size","price"
"Arunda Riserva Extra Brut | CH","""Sektkellerei Arunda, Mölten""",,"BOTTLE","""50,00 €"""
"""Arunda Phineas IV | CH, WB, A""","""Sektkellerei Arunda, Mölten""",,"BOTTLE","""85,00 €"""
"Praeclarus Brut | CH","""Kellerei St. Pauls, Eppan""",,"BOTTLE","""48,00 €"""
"Blanc de Blancs Brut Nature 2018 | CH","""Montris, Kaltern""",2018,"BOTTLE","""60,00 €"""
"""Brut Riserva 36 2019 | CH, PB, PN""","Kellerei Meran",2019,"BOTTLE","""47,00 €"""
"600 Blanc de Blancs Pas Dosé 2017","Kellerei Kurtatsch",2017,"BOTTLE","""53,00 €"""
"""InSekt Pet Nat 2021 | SOL, MC""","""Burgerhof Meßner, Brixen""",2021,"BOTTLE","""39,00 €"""
"""Athesis Brut Rosé 2019 | PN, CH""","""Kellerei Kettmeir, Kaltern""",2019,"BOTTLE","""49,00 €"""
"""Methius Riserva Brut 2018 | CH, PN""","Dorigati Mezzocorona",2018,"BOTTLE","""59,00 €"""
"""Lamm No 12 Extra Brut | CH, PN, PB""","Sektmanufaktur Winkler",,"BOTTLE","""58,00 €"""
"Honey GourMET Honig Brut","Imkerei Innerhofen",,"BOTTLE","""38,00 €"""
"""Masnen-Vignal Millesimato Riserva 2018 | CH, PB ""","""Klinger Pilati, Trient""",2018,"BOTTLE","""49,00 €"""
"Ferrari Perlé 2017 | CH","""Kellerei Ferrari, Trient""",2017,"BOTTLE","""63,00 €"""
"Ferrari Perlé Rosé Riserva 2016","""Kellerei Ferrari, Trient""",2016,"BOTTLE","""79,00 €"""
"Blauwal Vintage Riserva 2014","Cesconi",2014,"BOTTLE","""72,00 €"""
"SomVita Prosecco Extra Brut","""Kellerei Sacchetto, Venetien""",,"BOTTLE","""29,00 €"""
"Santa Margherita 52 Brut 2021","""Santa Margherita, Venetien""",2021,"BOTTLE","""32,00 €"""
"""Corvezzo Diamas Blanc de Blancs Extra Brut | Glera, CH, PB ""","""Agrargesellschaft Corvezzo, Venetien""",,"BOTTLE","""34,00 €"""
"Lele Rosé Millesimato Brut 2021","""Vineyards V8+, Venetien""",2021,"BOTTLE","""33,00 €"""
"Ruinart Blanc de Blancs Brut | CH","Montagne de Reims",,"BOTTLE","""129,00 €"""
"""Champagne Ruinart,  Rosé Brut | PN, CH""","Montagne de Reims",,"BOTTLE","""135,00 €"""
"Champagne Grand Cru | CH  Les Jardins d’Elise Extra Brut","""Champagne J. Vignier, Cramant""",,"BOTTLE","""125,00 €"""
"Moët & Chandon Ice Impérial Brut","""Champagne Moët & Chandon,""",,"BOTTLE","""110,00 €"""
"Insouciance Rosé Brut","""Champagne Huré Frères, Ludes""",,"BOTTLE","""75,00 €"""
"Perrier-Jouët Grand Brut","""Perrier-Jouët, Côte des Blancs""",,"BOTTLE","""115,00 €"""
