external_id,name,winery,vintage,size,eur_sales_price,qty
1,Arunda Riserva Extra Brut ,Sektkellerei Arunda,,BOTTLE,50,7
2,Arunda Phineas IV ,Sektkellerei Arunda,,BOTTLE,85,4
3,Praeclarus Brut ,Kellerei St. Pauls,,BOTTLE,48,4
4,Blanc de Blancs Brut Nature 2018 ,Montris,2018,BOTTLE,60,6
5,Brut Riserva 36 2019 ,Kellerei Meran,2019,BOTTLE,47,6
6,600 Blanc de Blancs Pas Dosé 2017,Kellerei Kurtatsch,2017,BOTTLE,53,7
7,InSekt Pet Nat 2021 ,Burgerhof Meßner,2021,BOTTLE,39,3
8,Athesis Brut Rosé 2019 ,Kellerei Kettmeir,2019,BOTTLE,49,5
9,Methius Riserva Brut 2018 ,Dorigati Mezzocorona,2018,BOTTLE,59,2
10,Lamm No 12 Extra Brut ,Sektmanufaktur Winkler,,BOTTLE,58,13
11,Honey GourMET Honig Brut,Imkerei Innerhofen,,BOTTLE,38,11
12,Masnen-Vignal Millesimato Riserva 2018 ,Klinger Pilati,2018,BOTTLE,49,4
13,Ferrari Perlé 2017 ,Kellerei Ferrari,2017,BOTTLE,63,9
14,Ferrari Perlé Rosé Riserva 2016,Kellerei Ferrari,2016,BOTTLE,79,4
15,Blauwal Vintage Riserva 2014,Cesconi,2014,BOTTLE,72,7
16,SomVita Prosecco Extra Brut,Kellerei Sacchetto,,BOTTLE,29,200
17,Santa Margherita 52 Brut 2021,Santa Margherita,2021,BOTTLE,32,5
18,Lele Rosé Millesimato Brut 2021,Vineyards V8+,2021,BOTTLE,33,0
19,Ruinart Blanc de Blancs Brut ,Montagne de Reims,,BOTTLE,129,4
20,"Champagne Ruinart,  Rosé Brut ",Montagne de Reims,,BOTTLE,135,5
21,Champagne Grand Cru ,Champagne J. Vignier,,BOTTLE,125,4
22,Moët & Chandon Ice Impérial Brut,Champagne Moët & Chandon,,BOTTLE,110,2
23,Insouciance Rosé Brut,Champagne Huré Frères,,BOTTLE,75,4
24,Perrier-Jouët Grand Brut,Perrier-Jouët,,BOTTLE,115,4
25,Perrier-Jouët Blason Rosé Brut,Perrier-Jouët,,BOTTLE,135,4
26,Roederer Rosé Vintage Brut 2015,Champagne Louis Roederer,2015,BOTTLE,155,3
27,Laurent-Perrier La Cuvée Brut ,Champagne Laurent-Perrier,,BOTTLE,75,4
28,Legras & Haas Intuition Brut ,Champagne Legras & Haas,,BOTTLE,73,6
29,Legras & Haas Blanc de Blancs Millésime Brut 2015 ,Champagne Legras & Haas,2015,BOTTLE,120,2
30,Face Nord Grand Cru Rosé Brut ,Champagne Pehu Simonet,,BOTTLE,71,2
31,Millésime 2010 ,Champagne A. Robert,2010,BOTTLE,112,4
32,Alliance Rosé ,Champagne A. Robert,,BOTTLE,79,2
33,Dom Pérignon Brut ,Champagne Moët & Chandon,2012,BOTTLE,350,2
34,Dom Pérignon Brut ,Champagne Moët & Chandon,2013,BOTTLE,320,2
35,Charles le Bel Inspiration 1818 ,Champagne Billecart&Salmon,,BOTTLE,68,1
36,Ca’ del Bosco Cuvée Prestige Edizione 46 Extra Brut ,Ca’ del Bosco,,BOTTLE,59,24
37,Ca’ del Bosco Cuvée Prestige Rosé Brut,Ca’ del Bosco,,BOTTLE,86,6
38,Ca’ del Bosco Cuvée Annamaria Clementi Extra Brut ,Ca’ del Bosco,2009,BOTTLE,179,1
39,Ca’ del Bosco Cuvée Annamaria Clementi Extra Brut ,Ca’ del Bosco,2014,BOTTLE,159,2
