external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
1,,Arunda Riserva Extra Brut ,Sektkellerei Arunda,,BOTTLE,0,5000,0,7,,,True
2,,Arunda Phineas IV ,Sektkellerei Arunda,,BOTTLE,0,8500,0,4,,,True
3,,Praeclarus Brut ,Kellerei St. Pauls,,BOTTLE,0,4800,0,4,,,True
4,,Blanc de Blancs Brut Nature 2018 ,Montris,,BOTTLE,2018,6000,0,6,,,True
5,,Brut Riserva 36 2019 ,Kellerei Meran,,BOTTLE,2019,4700,0,6,,,True
6,,600 Blanc de Blancs Pas Dosé 2017,Kellerei Kurtatsch,,BOTTLE,2017,5300,0,7,,,True
7,,InSekt Pet Nat 2021 ,Burgerhof Meßner,,BOTTLE,2021,3900,0,3,,,True
8,,Athesis Brut Rosé 2019 ,Kellerei Kettmeir,,BOTTLE,2019,4900,0,5,,,True
9,,Methius Riserva Brut 2018 ,Dorigati Mezzocorona,,BOTTLE,2018,5900,0,2,,,True
10,,Lamm No 12 Extra Brut ,Sektmanufaktur Winkler,,BOTTLE,0,5800,0,13,,,True
11,,Honey GourMET Honig Brut,Imkerei Innerhofen,,BOTTLE,0,3800,0,11,,,True
12,,Masnen-Vignal Millesimato Riserva 2018 ,Klinger Pilati,,BOTTLE,2018,4900,0,4,,,True
13,,Ferrari Perlé 2017 ,Kellerei Ferrari,,BOTTLE,2017,6300,0,9,,,True
14,,Ferrari Perlé Rosé Riserva 2016,Kellerei Ferrari,,BOTTLE,2016,7900,0,4,,,True
15,,Blauwal Vintage Riserva 2014,Cesconi,,BOTTLE,2014,7200,0,7,,,True
16,,SomVita Prosecco Extra Brut,Kellerei Sacchetto,,BOTTLE,0,2900,0,200,,,True
17,,Santa Margherita 52 Brut 2021,Santa Margherita,,BOTTLE,2021,3200,0,5,,,True
18,,Lele Rosé Millesimato Brut 2021,Vineyards V8+,,BOTTLE,2021,3300,0,0,,,True
19,,Ruinart Blanc de Blancs Brut ,Montagne de Reims,,BOTTLE,0,12900,0,4,,,True
20,,"Champagne Ruinart,  Rosé Brut ",Montagne de Reims,,BOTTLE,0,13500,0,5,,,True
21,,Champagne Grand Cru ,Champagne J. Vignier,,BOTTLE,0,12500,0,4,,,True
22,,Moët & Chandon Ice Impérial Brut,Champagne Moët & Chandon,,BOTTLE,0,11000,0,2,,,True
23,,Insouciance Rosé Brut,Champagne Huré Frères,,BOTTLE,0,7500,0,4,,,True
24,,Perrier-Jouët Grand Brut,Perrier-Jouët,,BOTTLE,0,11500,0,4,,,True
25,,Perrier-Jouët Blason Rosé Brut,Perrier-Jouët,,BOTTLE,0,13500,0,4,,,True
26,,Roederer Rosé Vintage Brut 2015,Champagne Louis Roederer,,BOTTLE,2015,15500,0,3,,,True
27,,Laurent-Perrier La Cuvée Brut ,Champagne Laurent-Perrier,,BOTTLE,0,7500,0,4,,,True
28,,Legras & Haas Intuition Brut ,Champagne Legras & Haas,,BOTTLE,0,7300,0,6,,,True
29,,Legras & Haas Blanc de Blancs Millésime Brut 2015 ,Champagne Legras & Haas,,BOTTLE,2015,12000,0,2,,,True
30,,Face Nord Grand Cru Rosé Brut ,Champagne Pehu Simonet,,BOTTLE,0,7100,0,2,,,True
31,,Millésime 2010 ,Champagne A. Robert,,BOTTLE,2010,11200,0,4,,,True
32,,Alliance Rosé ,Champagne A. Robert,,BOTTLE,0,7900,0,2,,,True
33,,Dom Pérignon Brut ,Champagne Moët & Chandon,,BOTTLE,2012,35000,0,2,,,True
34,,Dom Pérignon Brut ,Champagne Moët & Chandon,,BOTTLE,2013,32000,0,2,,,True
35,,Charles le Bel Inspiration 1818 ,Champagne Billecart&Salmon,,BOTTLE,0,6800,0,1,,,True
36,,Ca’ del Bosco Cuvée Prestige Edizione 46 Extra Brut ,Ca’ del Bosco,,BOTTLE,0,5900,0,24,,,True
37,,Ca’ del Bosco Cuvée Prestige Rosé Brut,Ca’ del Bosco,,BOTTLE,0,8600,0,6,,,True
38,,Ca’ del Bosco Cuvée Annamaria Clementi Extra Brut ,Ca’ del Bosco,,BOTTLE,2009,17900,0,1,,,True
39,,Ca’ del Bosco Cuvée Annamaria Clementi Extra Brut ,Ca’ del Bosco,,BOTTLE,2014,15900,0,2,,,True
40,,Bellavista Satèn Brut 2017 ,Bellavista,,BOTTLE,2017,7200,0,5,,,True
41,,Ca’ del Bosco Rosé Annamaria Clementi Vintage 2012 Extra Brut ,Ca’ del Bosco,,MAGNUM,2012,34500,0,1,,,True
42,,Rosé Bellavista Brut 2018 ,Kellerei Bellavista,,BOTTLE,2018,8200,0,10,,,True
43,,Marchese Antinori Contessa Maggi Brut 2016 ,Weingut Montenisa,,BOTTLE,2016,6900,0,2,,,True
44,,Sessanta Dosage Zéro ,Luca Bellani,,BOTTLE,0,4000,0,5,,,True
45,,Centoventi Rosé Dosage Zéro ,Luca Bellani,,BOTTLE,0,4800,0,5,,,True
46,,For England Rosé Pas Dosé Blanc de Noir 2018 ,Kellerei G. Contratto,,BOTTLE,2018,5500,0,5,,,True
47,,Cuvée Novecento Pas Dosé 2012 ,Kellerei G. Contratto,,BOTTLE,2012,6400,0,3,,,True
48,,"Sparkling Rocco Apple (0,2 l)",Rocco,,BOTTLE,0,500,0,20,,,True
49,,Bella Glamour ,Iris Vigneti,,BOTTLE,0,2900,0,3,,,True
50,,Allegro ,Vinuci Monteverde Saggio,,BOTTLE,0,3500,0,20,,,True
51,,Floreale Rosé,Vinuci Monteverde Saggio,,BOTTLE,0,3600,0,2,,,True
52,,Sirmian 2021,Kellerei Nals Margreid,,BOTTLE,2021,4300,0,6,,,True
53,,Eichhorn,Weingut Manincor,,BOTTLE,2022,4700,0,2,,,True
54,,Eichhorn,Weingut Manincor,,BOTTLE,2019,5200,0,2,,,True
55,,Eichhorn,Weingut Manincor,,BOTTLE,2018,5900,0,1,,,True
56,,Sanct Valentin 2021,Kellerei St. Michael/Eppan,,BOTTLE,2021,4300,0,8,,,True
57,,Tyrol Riserva,Kellerei Meran,,BOTTLE,2021,4300,0,32,,,True
58,,Tyrol Riserva,Kellerei Meran,,BOTTLE,2013,5300,0,2,,,True
59,,Vorberg Riserva,Kellerei Terlan,,BOTTLE,2021,4900,0,6,,,True
60,,Vorberg Riserva,Kellerei Terlan,,BOTTLE,2014,6100,0,4,,,True
61,,„Wir mußten Künstler sein“ 2022,Weingut Andi Sölva,,BOTTLE,2022,4000,0,8,,,True
62,,"Sonnenberg, Vinschgau 2014",Kellerei Meran,,BOTTLE,2014,4900,0,3,,,True
63,,Pfaffenegg 2023,Weingut Josmoarhof,,BOTTLE,2023,4000,0,8,,,True
64,,Chardonnay 2023,Alois Lageder,,BOTTLE,2023,3600,0,2,,,True
65,,First Lady,Papstlhof,,BOTTLE,0,4300,0,24,,,True
66,,Burgum Novum,Weingut Castelfeder,,BOTTLE,2019,4800,0,18,,,True
67,,Burgum Novum,Weingut Castelfeder,,BOTTLE,2015,5800,0,4,,,True
