wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4ksf4xq13x0rp8k2h2zt2,196,BOTTLE,2019,4400,0,,,24,,True
wine_01gzr4ksf4xq13x0rp8k2h2zt2,197,BOTTLE,2010,6900,0,,,3,,True
wine_01h4pmmfe6jgk2wxq21yh9hwjt,4,BOTTLE,2018,6000,0,,,6,,True
wine_01h0r2pq1mddt3an3mny3988dd,5,BOTTLE,2019,4700,0,,,6,,True
wine_01h0f3cmbvcfa539vh935hpr4q,6,BOTTLE,2017,5300,0,,,7,,True
wine_01h0qzm23rfbn28p1fvmrjz72h,8,BOTTLE,2019,4900,0,,,5,,True
wine_01gzr4ksfym3zqqwsg24nbg79e,9,BOTTLE,2018,5900,0,,,2,,True
wine_01gzr4ksfrwe4zz6f5y79y0qf2,12,BOTTLE,2018,4900,0,,,4,,True
wine_01h4pmmfdy0mzq3f9b6zsncpkn,18,BOTTLE,2021,3300,0,,,0,,True
wine_01gzr4ks5ttr3cmdtk3q0s15c8,26,BOTTLE,2015,15500,0,,,3,,True
wine_01gzr4ksccr3vp26k7752yh5yp,38,BOTTLE,2009,17900,0,,,1,,True
wine_01gzr4ksccr3vp26k7752yh5yp,39,BOTTLE,2014,15900,0,,,2,,True
wine_01gzr4ktfzevznqx93s31tmnkz,40,BOTTLE,2017,7200,0,,,5,,True
wine_01gzr4ktfzcgrff12qdpgex4k7,42,BOTTLE,2018,8200,0,,,10,,True
wine_01gzr4ksg9knk5hqmjtq2nazwv,46,BOTTLE,2018,5500,0,,,5,,True
wine_01gzr4ksg96wdddj6rc7adpsbn,47,BOTTLE,2012,6400,0,,,3,,True
wine_01gzr4kspdtf36964px55qxyer,52,BOTTLE,2021,4300,0,,,6,,True
wine_01gzr4ksk74ky4hsnkr6sztp9x,53,BOTTLE,2022,4700,0,,,2,,True
wine_01gzr4ksk74ky4hsnkr6sztp9x,54,BOTTLE,2019,5200,0,,,2,,True
wine_01gzr4ksk74ky4hsnkr6sztp9x,55,BOTTLE,2018,5900,0,,,1,,True
wine_01h0r2pq1n4yvdz9m5yzhnqm1s,57,BOTTLE,2021,4300,0,,,32,,True
wine_01h0r2pq1n4yvdz9m5yzhnqm1s,58,BOTTLE,2013,5300,0,,,2,,True
wine_01gzr4kskpz3t6pte1cfyvzpzv,59,BOTTLE,2021,4900,0,,,6,,True
wine_01gzr4kskpz3t6pte1cfyvzpzv,60,BOTTLE,2014,6100,0,,,4,,True
wine_01gzr4ksyp3mfmcten5adb8txs,61,BOTTLE,2022,4000,0,,,8,,True
wine_01h0my5rfen8c767ja0n7vt9n3,64,BOTTLE,2023,3600,0,,,2,,True
wine_01j52tf834xxpv16m5mznp1bnb,69,BOTTLE,2022,3800,0,,,3,,True
wine_01h0qsxnqzdghhbbx1ckeepvmr,70,BOTTLE,2019,4900,0,,,3,,True
