external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
300001.0,,rose NV,Bollinger,,HALF_BOTTLE,0,5500,2990,1,,,True
300002.0,,"Grande Cuvée (PN, CH, PM) NV",Krug,,HALF_BOTTLE,0,19000,9990,2,,,True
300500.0,,Special Cuvee NV,Bollinger,,BOTTLE,0,9500,3525,24,,,True
300501.0,,Special Cuvee NV,Bollinger,,MAGNUM,0,19000,8250,18,,,True
300502.0,,Special Cuvee NV rote Holzbox,Bollinger,,JEROBOAM,0,39500,18750,1,,,True
300503.0,,B 13 Blanc de Noir,Bollinger,,BOTTLE,0,16000,8500,4,,,True
300504.0,,La Grande Année 2014,Bollinger,,BOTTLE,2014,18500,10000,12,,,True
300505.0,,la Grande Année 2015,Bollinger,,BOTTLE,2015,18500,10000,11,,,True
300506.0,,la Grande Année 2015,Bollinger,,MAGNUM,2015,39500,19000,2,,,True
300507.0,,PN Cuvee TX 16 Limited Edition,Bollinger,R,BOTTLE,0,13500,6500,5,,,True
300508.0,,PN Cuvee TX 17 Limited Edition,Bollinger,R,BOTTLE,0,13500,6700,10,,,True
300509.0,,PN Cuvee TX 17 Limited Edition,Bollinger,,MAGNUM,0,28000,15000,4,,,True
300510.0,,PN Cuvee AYC 18 Limited Edition,Bollinger,,BOTTLE,0,13500,7000,12,,,True
300511.0,,PN Cuvee AYC 18 Limited Edition,Bollinger,,MAGNUM,0,27000,15900,6,,,True
300512.0,,PN Cuvee VZ 19 Limited Edition,Bollinger,,BOTTLE,0,13500,8000,13,,,True
300513.0,,PN Cuvee VZ 19 Limited Edition,Bollinger,,MAGNUM,0,27000,16000,6,,,True
300514.0,,R.D.2007,Bollinger,R,BOTTLE,2007,29000,15810,5,,,True
300515.0,,R.D.2008,Bollinger,,BOTTLE,2008,29000,15600,5,,,True
300516.0,,R.D.2008,Bollinger,,MAGNUM,2008,58000,30000,3,,,True
300517.0,,Vieilles Vignes Francaises 2013,Bollinger,R,BOTTLE,2013,150000,95000,2,,,True
300518.0,,rose NV,Bollinger,,BOTTLE,0,10500,4500,24,,,True
300519.0,,La Grande Année rose 2012,Bollinger,,BOTTLE,2012,19500,12400,7,,,True
300520.0,,La Grande Année rose 2014,Bollinger,,BOTTLE,2014,19500,12500,7,,,True
300521.0,,La Grande Année rose 2015,Bollinger,,BOTTLE,2015,19500,13000,10,,,True
301000.0,,Les 7 Crus Brut NV,Agrapart & Fils,,BOTTLE,0,7500,3510,18,,,True
301001.0,,Terroirs Extra brut NV,Agrapart & Fils,,BOTTLE,0,11000,4250,9,,,True
301002.0,,Terroirs Extra brut (2021),Agrapart & Fils,,BOTTLE,2021,11000,5400,12,,,True
301003.0,,Minéral Extra brut (BdB) 2008,Agrapart & Fils,,BOTTLE,2008,12000,6795,3,,,True
301004.0,,Minéral Extra brut (BdB) 2009,Agrapart & Fils,,BOTTLE,2009,12000,6795,14,,,True
301005.0,,Minéral Extra brut (BdB) 2018,Agrapart & Fils,,BOTTLE,2018,12000,8460,6,,,True
301006.0,,Venus brut nature (BdB) 2006,Agrapart & Fils,R,BOTTLE,2006,23000,15580,6,,,True
301200.0,,Mycorhize Grand Cru (BdB) NV,De Sousa,Bio,BOTTLE,0,10500,5420,14,,,True
301201.0,,Mycorhize Grand Cru (BdB) NV,De Sousa,,MAGNUM,0,21500,11345,3,,,True
301202.0,,Cuvee 3 A extra brut NV,De Sousa,Bio,BOTTLE,0,9500,4680,9,,,True
301203.0,,Cuvee de Caudalies Grand Cru (BdB) 2010,De Sousa,Bio,BOTTLE,2010,21000,13600,6,,,True
301204.0,,Cuvee de Caudalies Rose NV,De Sousa,Bio,BOTTLE,0,13000,7500,4,,,True
301400.0,,Les Marnes Blanches (BdB) NV,Jeaunaux Robin,Bio,BOTTLE,0,8500,4100,18,,,True
301401.0,,Eclats Meulière NV,Jeaunaux Robin,Bio,MAGNUM,0,15500,5990,2,,,True
301402.0,,Eclats Rose,Jeaunaux Robin,,BOTTLE,0,8500,3890,1,,,True
301403.0,,Heroine Grand Cru 2015,La Rogerie,,BOTTLE,2015,11500,5850,3,,,True
301404.0,,Grand Cru NV 2021,La Rogerie,,BOTTLE,2021,11500,6350,6,,,True
301405.0,,Champ Bouton 2019,La Rogerie,,BOTTLE,2019,18000,10000,3,,,True
301406.0,,Bourg Sud Grand Cru 2021,La Rogerie,,BOTTLE,2021,19500,12500,6,,,True
301600.0,,Les Maillons (2014),Ulysse Collin,R,BOTTLE,2014,22500,9850,3,,,True
301601.0,,Les Maillons (2018),Ulysse Collin,R,BOTTLE,2018,22500,9850,6,,,True
301602.0,,Les Maillons (2019),Ulysse Collin,,BOTTLE,2019,22500,10000,6,,,True
301603.0,,Les Maillons (2020),Ulysse Collin,R,BOTTLE,2020,22500,9850,0,,,True
301604.0,,Les Maillons (2021),Ulysse Collin,,BOTTLE,2021,22500,10100,3,,,True
301605.0,,Les Maillons (2022),Ulysse Collin,,BOTTLE,2022,23500,0,0,,,True
301606.0,,Les Pierrieres (2015),Ulysse Collin,R,BOTTLE,2015,23500,8400,1,,,True
301607.0,,Les Pierrieres (2017),Ulysse Collin,R,BOTTLE,2017,23500,8400,7,,,True
301608.0,,Les Pierrieres (2018),Ulysse Collin,R,BOTTLE,2018,23500,8400,6,,,True
301609.0,,Les Pierrieres (2019),Ulysse Collin,,BOTTLE,2019,23500,12000,6,,,True
301610.0,,Les Enfers (Degeg. 2017),Ulysse Collin,R,BOTTLE,2017,38000,18800,0,,,True
301611.0,,Les Roises (Degeg. 2017),Ulysse Collin,,BOTTLE,2017,38000,18800,0,,,True
301800.0,,Terre de Vertus (BdB) 2012,Larmandier-Bernier,,BOTTLE,2012,9500,3990,6,,,True
301801.0,,Vielle Vigne du Levant (BdB) 2009,Larmandier-Bernier,,BOTTLE,2009,12500,6990,8,,,True
302000.0,,Diapason Grand Cru (BdB) NV,Doquet,,BOTTLE,0,8000,4420,8,,,True
302200.0,,Avice 16 – 40 (BdB),Valentin Lafaive,R,BOTTLE,1640,8500,4560,8,,,True
302201.0,,Le Mesnil sur Oger 16 – 50 (BdB),Valentin Lafaive,R,BOTTLE,1650,8500,4560,11,,,True
302202.0,,CV 17 – 50 (BdB),Valentin Lafaive,R,BOTTLE,1750,8500,4560,10,,,True
302400.0,,Particules Crayeuses (BdB) NV,Waris - Larmandier,Bio,BOTTLE,0,8500,4045,25,,,True
302600.0,,L`extravertine GC 2019,Pertois – Lebrun,,BOTTLE,2019,7500,3390,12,,,True
302601.0,,Le Fond du Bateau GC 2015,Pertois – Lebrun,,BOTTLE,2015,11500,6000,6,,,True
302602.0,,Derriere le Mont Aigu GC 2014,Pertois – Lebrun,,BOTTLE,2014,10000,5307,7,,,True
302603.0,,Derriere le Mont Aigu GC 2017,Pertois – Lebrun,,BOTTLE,2017,11000,6000,6,,,True
302800.0,,Roc Solare 100% Sezannais (2021),Dhondt – Grellet,,BOTTLE,2021,10500,5300,6,,,True
302801.0,,Les Terres Fines (2019),Dhondt – Grellet,,BOTTLE,2019,12000,6848,3,,,True
302802.0,,Les Terres Fines (2020),Dhondt – Grellet,,BOTTLE,2020,12000,6848,3,,,True
302803.0,,Les Terres Fines (2021),Dhondt – Grellet,,BOTTLE,2021,12000,6848,3,,,True
302804.0,,Cramant GC (2019),Dhondt – Grellet,,BOTTLE,2019,13000,7800,3,,,True
302805.0,,Cramant GC (2020),Dhondt – Grellet,,BOTTLE,2020,13000,7800,3,,,True
302806.0,,Cramant GC (2021),Dhondt – Grellet,,BOTTLE,2021,13000,7800,3,,,True
302807.0,,Dans un Premier Temps (2019),Dhondt – Grellet,,BOTTLE,2019,19000,12000,6,,,True
302808.0,,Les Plantes d'Oger,Dhondt – Grellet,,BOTTLE,0,19000,12000,0,,,True
303000.0,,N° 741 Extra brut NV,Jaquesson,,BOTTLE,0,9500,4650,28,,,True
303001.0,,N° 743 Extra brut NV,Jaquesson,,BOTTLE,0,9500,4650,12,,,True
303002.0,,N° 744 Extra brut NV,Jaquesson,,BOTTLE,0,9500,4650,11,,,True
303003.0,,N° 738 Extra brut NV,Jaquesson,,MAGNUM,0,19000,10500,1,,,True
303004.0,,N° 737 Extra brut Degorgement Tardif NV,Jaquesson,R,BOTTLE,0,19000,10500,9,,,True
303005.0,,Millesime Degorgement Tardif 2002,Jaquesson,R,BOTTLE,2002,26000,16000,2,,,True
303006.0,,Avice Champ Cain (BdB) 2009,Jaquesson,,BOTTLE,2009,18500,12000,6,,,True
303007.0,,Dizy Corne Boutray (BdB) 2009,Jaquesson,,BOTTLE,2009,18500,12000,6,,,True
303200.0,,82/15 (BdB) Grand Cru NV,Vazart - Coquart,,BOTTLE,8215,9500,4990,11,,,True
303400.0,,Les 7 Solera (2005 - 2016),Laherte Freres,R,BOTTLE,2016,11500,6500,7,,,True
303401.0,,Les Empreintes 2014,Laherte Freres,R,BOTTLE,2014,9000,4550,10,,,True
303402.0,,Petit Meslir (deg. 2021),Laherte Freres,R,BOTTLE,2021,14500,8500,4,,,True
303600.0,,2005,Dom Pérignon,R,BOTTLE,2005,27000,15000,2,,,True
303601.0,,2006,Dom Pérignon,R,BOTTLE,2006,26000,15000,1,,,True
303602.0,,2008,Dom Pérignon,R,BOTTLE,2008,29000,13000,12,,,True
303603.0,,2012,Dom Pérignon,R,BOTTLE,2012,29500,16000,15,,,True
303604.0,,2013,Dom Pérignon,R,BOTTLE,2013,32000,19000,10,,,True
303605.0,,2010,Dom Pérignon,R,MAGNUM,2010,69000,43900,3,,,True
303606.0,,Lady Gaga Luminous rose 2012,Dom Pérignon,R,BOTTLE,2012,48000,29500,2,,,True
