"external_id","type","full_name",,"MAGNUM",,"BOTTLE","HALF_LITER","HALF_BOTTLE"
1,,"Pinot bianco DeSilva DOC ´23",,,,29,,
2,,"SAUVIGNON BLANC De Silva, Peter Sölva ´22",,,,31,,
3,,"PINOT GRIGIO De Silva, Peter Sölva ´23",,,,29,,
4,,"GEWÜRZTRAMINER De Silva, Peter Sölva ´23",,,,31,,
5,,"Il Secondo, cuvèe bianco WB-CH-SV ",,,,35,,
6,,"AMISTAR, cuvée bianco CH-SV, Peter Sölva ´22",,125,,,,
7,,"AMISTAR, cuvée bianco CH-SV, Peter Sölva ´22",,,,65,,
8,,"De Silva Perrosé, Peter Sölva ´22",,,,29,,
9,,"Vernatsch Kalterersee Peterleiten, Peter Sölva ´22",,,,28,,
10,,"Pinot Nero  De Silva,Peter Sölva `22",,,,38,,
11,,"Pinot Nero  De Silva Private Reserve 21",,,,55,,
12,,"LAGREIN De Silva, Peter Sölva ´22",,65,,,,
13,,"LAGREIN De Silva, Peter Sölva ´22",,,,31,,
14,,"Il Secondo, cuvèe rosso, ME-CF-LA, Peter Sölva ´22",,70,,,,
15,,"Il Secondo, cuvèe rosso, ME-CF-LA, Peter Sölva ´22",,,,35,,
16,,"AMISTAR, cuvèe rosso, CS-ME-LA, Peter Sölva ´22",,125,,,,
17,,"AMISTAR, cuvèe rosso, CS-ME-LA, Peter Sölva ´22",,,,65,,
18,,"AMISTAR Edizione, CS, Peter Sölva ´20",,170,,,,
19,,"AMISTAR Edizione, CS, Peter Sölva ´20",,,,90,,
20,"WHITE","COLLECTION, Pinot Bianco St.Valentin `09",,,,87,,
21,"WHITE","VORBERG, Weissburgunder Ris., Kellerei Terlan `17 ",,,,70,,
22,"WHITE","KRISTALLBERG, Pinot Bianco, Weingut Elena Walch `16",,,,70,,
23,"WHITE","SIRMIAN, Pinot Bianco, Kellerei Nals/Magreid `16",,,,60,,
24,"WHITE","UNTEREBNER, Pinot Grigio, Kellerei Tramin `15",,,,59,,
25,"WHITE","UNTEREBNER, Pinot Grigio, Kellerei Tramin `16 ",,,,55,,
26,"WHITE","VIGNA AU Chardonnay Ris. Kellerei Tiefenbrunner 15",,,,120,,
27,"WHITE","BARON SALVADORI, Chardonnay Ris., Kellerei Nals/Margeid ´15",,,,85,,
28,"WHITE","VIGNA Castel Ringberg, Chardonay Ris. Weingut Elena Walch `20",,,,110,,
29,"WHITE","LÖWENGANG, Chardonnay Ris. Weingut Alois Lageder `20",,,,110,,
30,"WHITE","LIEBENAICH, Sauvignon blanc, Kellerei Manincor BIO ´21",,,,110,,
31,"WHITE","RACHTL, Sauvignon blanc, Kellerei Tiefenbrunner ´15",,,,115,,
32,"RED","KRESSFELD Merlot Riserva, Weingut Kornell Florian Brigl `18",,,,90,,
33,"RED","DATUS Blauburgunder Riserva, Weingut Ritterhof `18",,,,140,,
34,"RED","BARTHENAU Blauburgunder Ris., Weingut Hofstätter `08",,,,130,,
35,"RED","BARTHENAU Blauburgunder Ris., Weingut Hofstätter `09",,,,125,,
36,"RED","BARTHENAU Blauburgunder Ris., Weingut Hofstätter `10",,,,120,,
37,"RED","BARTHENAU Blauburgunder Ris., Weingut Hofstätter `13",,,,105,,
38,"RED","Hausmannhof Riserva, Weingut Haderburg´17",,,,75,,
39,"RED","MANUS Lagrein Riserva, Weingut Ritterhof ´15",,,,85,,
40,"RED","TABER Lagrein Riserva, Kellerei Bozen `17",,,,75,,
41,"RED","TOREN Cabernet Souvignon, Ris. Kellerei Tiefenbrunner 15",,,,150,,
42,"RED","RAMUS Cabernet-Merlot Riserva, Weingut Ritterhof ´14",,,,75,,
43,"RED","PLANTIES Rot, Cabernet Cortis, Weingut St. Quirinus BIO´18",,,,66,,
44,,"Athesis Brut Rosé, Kellerei Kettmeir ´21",,84,,,,
45,,"Weissburgunder, LEOPOLDINE, Castel Sallegg ´22",,70,,,,
46,,"Chardonnay, Marei, Castel Sallegg ´22",,75,,,,
47,,"Kerner, Weingut Thomas Unterhofer, ´22",,60,,,,
48,,"Sauvignon blanc, Mirum, Weingut Thomas Unterhofer ´22",,60,,,,
49,,"Kalterer See, BISCHOFSLEITEN, Castel Sallegg ´20",,63,,,,
50,,"Kalterer See Kunststück Kellerei Kaltern `16 ",,80,,,,
51,,"Kalterer See Kunststück Kellerei Kaltern `23 ",,85,,,,
52,,"St. Magdalena, Artis, Weingut Thomas Unterhofer `22",,60,,,,
53,,"Blauburgunder, Ris. Schwarze Madonna Weingut Klosterhof `18",,120,,,,
54,,"Blauburgunder, Ris. Saltner Kellerei Kaltern `21",,75,,,,
55,,"Blauburgunder, Pigano Weingut Strobelhof `21",,85,,,,
56,,"Lagrein, Ris., Bos Taurus, Weingut Niklas ´20",,90,,,,
57,,"Lagrein, Morus Ris., H.Lentsch ´15",,125,,,,
58,,"Lagrein, Morus Ris., H.Lentsch ´16",,120,,,,
59,,"Lagrein, Morus Ris., H.Lentsch ´17",,115,,,,
60,,"Lagrein, Prestige, Ris. Kellerei Bozen ´21",,96,,,,
61,,"Merlot, NUSSBAUM Ris. Weingut Klosterhof 18",,110,,,,
62,,"Merlot, NUSSLEITEN Ris. Castel Sallegg ´18",,145,,,,
63,,"Merlot, NUSSLEITEN Ris. Castel Sallegg ´19",,138,,,,
64,,"Cabernet Sauv., Ris. Quintessenz, Kellerei Kaltern ´19",,105,,,,
65,,"Cabernet Sauv., Kunststück Ris., Kellerei Kaltern `15",,150,,,,
66,,"Cabernet Sauvignon, Ris. Castel Sallegg ´20",,125,,,,
67,,"Cabernet Sauv.-Merlot, Ris. Linticlarus, Kellerei Tiefenbrunner ´21",,130,,,,
68,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `16",,130,,,,
69,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `17",,125,,,,
70,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `18",,120,,,,
71,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `20",,115,,,,
72,,"Athesis Brut Rosé, Kellerei Kettmeir ´21",,,,45,,
73,,"Von Braunbach Brut DOC ´21",,,,37,,
74,,"CUVEE MARIANNA Sektkellerei Arunda Extra Brut`20",,,,50,,
75,,"EXCELLOR Brut Rose Metodo Classico Sektkellerei Arunda",,,,46,,
76,"WHITE","PINOT BIANCO Salamander, Riserva Weingut Niklas`20",,,,30,,
77,"WHITE","PINOT BIANCO Strahler, Weingut Stroblhof ´22",,,,30,,
78,"WHITE","PINOT BIANCO Athesis, Kellerei Kettmeir ´22",,,,37,,
79,"WHITE","PINOT BIANCO Vorberg Riserva, Kellerei Terlan, ´22",,,,48,,
80,"WHITE","PINOT BIANCO St Valentin, Kellerei St. Michael´21",,,,42,,
81,"WHITE","CHARDONNAY Feld, Steflhof Georg Andergassen ´23",,,,25,,
82,"WHITE","CHARDONNAY Marei, Castel Sallegg ´22",,,,37,,
83,"WHITE","CHARDONNAY Lafoa´, Kellerei Schreckbichl 21 ",,,,46,,
84,"WHITE","CHARDONNAY BARON SALVADORI, Riserva Kellerei Nals-Margreid ´21",,,,45,,
85,"WHITE","SAUVIGNON BLANC Stern, Kellerei Kaltern ´22",,,,30,,
86,"WHITE","SAUVIGNON BLANC Vom Kalk, Stefan Rohregger ´21",,,,39,,
87,"WHITE","SAUVIGNON BLANC preyda, Weingut Seppi BIO ´19",,,,40,,
88,"WHITE","Moscato Giallo, Castel Sallegg ´23",,,,28,,
89,"WHITE","Goldmuskateller, Weingut Dominikus ",,,,27,,
90,"WHITE","Riesling Mitterberg, Weingut Andi Sölva ´21",,,,33,,
91,"WHITE","Kerner, Weingut Thomas Unterhofer, ´23",,,,30,,
92,"WHITE","Kerner, Weingut Strasserhof, ´22",,,,31,,
93,"WHITE","Kerner Praepositus, Stiftskellerei Neustift ´22",,,,37,,
94,"WHITE","GEWÜRZTRAMINER STEPHANIE, Weingut Nicolussi Leck ´21",,,,33,,
95,"WHITE","GEWÜRZTRAMINER Selida, Kellerei Tramin ´22",,,,28,,
