external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
1,,Pinot bianco DeSilva DOC ´,,,BOTTLE,2023,2900,0,20,,,True
2,,"SAUVIGNON BLANC De Silva, Peter Sölva ´",,,BOTTLE,2022,3100,0,20,,,True
3,,"PINOT GRIGIO De Silva, Peter Sölva ´",,,BOTTLE,2023,2900,0,20,,,True
4,,"GEWÜRZTRAMINER De Silva, Peter Sölva ´",,,BOTTLE,2023,3100,0,20,,,True
5,,"Il Secondo, cuvèe bianco WB-CH-SV ",,,BOTTLE,0,3500,0,20,,,True
6,,"AMISTAR, cuvée bianco CH-SV, Peter Sölva ´",,,MAGNUM,2022,12500,0,20,,,True
7,,"AMISTAR, cuvée bianco CH-SV, Peter Sölva ´",,,BOTTLE,2022,6500,0,20,,,True
8,,"De Silva Perrosé, Peter Sölva ´",,,BOTTLE,2022,2900,0,20,,,True
9,,"Vernatsch Kalterersee Peterleiten, Peter Sölva ´",,,BOTTLE,2022,2800,0,20,,,True
10,,"Pinot Nero  De Silva,Peter Sölva `",,,BOTTLE,2022,3800,0,20,,,True
11,,Pinot Nero  De Silva Private Reserve ,,,BOTTLE,2021,5500,0,20,,,True
12,,"LAGREIN De Silva, Peter Sölva ´",,,MAGNUM,2022,6500,0,20,,,True
13,,"LAGREIN De Silva, Peter Sölva ´",,,BOTTLE,2022,3100,0,20,,,True
14,,"Il Secondo, cuvèe rosso, ME-CF-LA, Peter Sölva ´",,,MAGNUM,2022,7000,0,20,,,True
15,,"Il Secondo, cuvèe rosso, ME-CF-LA, Peter Sölva ´",,,BOTTLE,2022,3500,0,20,,,True
16,,"AMISTAR, cuvèe rosso, CS-ME-LA, Peter Sölva ´",,,MAGNUM,2022,12500,0,20,,,True
17,,"AMISTAR, cuvèe rosso, CS-ME-LA, Peter Sölva ´",,,BOTTLE,2022,6500,0,20,,,True
18,,"AMISTAR Edizione, CS, Peter Sölva ´",,,MAGNUM,2020,17000,0,20,,,True
19,,"AMISTAR Edizione, CS, Peter Sölva ´",,,BOTTLE,2020,9000,0,20,,,True
20,WHITE,"COLLECTION, Pinot Bianco St.Valentin `",,,BOTTLE,2009,8700,0,20,,,True
21,WHITE,"VORBERG, Weissburgunder Ris., Kellerei Terlan `",,,BOTTLE,2017,7000,0,20,,,True
22,WHITE,"KRISTALLBERG, Pinot Bianco, Weingut Elena Walch `",,,BOTTLE,2016,7000,0,20,,,True
23,WHITE,"SIRMIAN, Pinot Bianco, Kellerei Nals/Magreid `",,,BOTTLE,2016,6000,0,20,,,True
24,WHITE,"UNTEREBNER, Pinot Grigio, Kellerei Tramin `",,,BOTTLE,2015,5900,0,20,,,True
25,WHITE,"UNTEREBNER, Pinot Grigio, Kellerei Tramin `",,,BOTTLE,2016,5500,0,20,,,True
26,WHITE,VIGNA AU Chardonnay Ris. Kellerei Tiefenbrunner ,,,BOTTLE,2015,12000,0,20,,,True
27,WHITE,"BARON SALVADORI, Chardonnay Ris., Kellerei Nals/Margeid ´",,,BOTTLE,2015,8500,0,20,,,True
28,WHITE,"VIGNA Castel Ringberg, Chardonay Ris. Weingut Elena Walch `",,,BOTTLE,2020,11000,0,20,,,True
29,WHITE,"LÖWENGANG, Chardonnay Ris. Weingut Alois Lageder `",,,BOTTLE,2020,11000,0,20,,,True
30,WHITE,"LIEBENAICH, Sauvignon blanc, Kellerei Manincor BIO ´",,,BOTTLE,2021,11000,0,20,,,True
31,WHITE,"RACHTL, Sauvignon blanc, Kellerei Tiefenbrunner ´",,,BOTTLE,2015,11500,0,20,,,True
32,RED,"KRESSFELD Merlot Riserva, Weingut Kornell Florian Brigl `",,,BOTTLE,2018,9000,0,20,,,True
33,RED,"DATUS Blauburgunder Riserva, Weingut Ritterhof `",,,BOTTLE,2018,14000,0,20,,,True
34,RED,"BARTHENAU Blauburgunder Ris., Weingut Hofstätter `",,,BOTTLE,2008,13000,0,20,,,True
35,RED,"BARTHENAU Blauburgunder Ris., Weingut Hofstätter `",,,BOTTLE,2009,12500,0,20,,,True
36,RED,"BARTHENAU Blauburgunder Ris., Weingut Hofstätter `",,,BOTTLE,2010,12000,0,20,,,True
37,RED,"BARTHENAU Blauburgunder Ris., Weingut Hofstätter `",,,BOTTLE,2013,10500,0,20,,,True
38,RED,"Hausmannhof Riserva, Weingut Haderburg´",,,BOTTLE,2017,7500,0,20,,,True
39,RED,"MANUS Lagrein Riserva, Weingut Ritterhof ´",,,BOTTLE,2015,8500,0,20,,,True
40,RED,"TABER Lagrein Riserva, Kellerei Bozen `",,,BOTTLE,2017,7500,0,20,,,True
41,RED,"TOREN Cabernet Souvignon, Ris. Kellerei Tiefenbrunner ",,,BOTTLE,2015,15000,0,20,,,True
42,RED,"RAMUS Cabernet-Merlot Riserva, Weingut Ritterhof ´",,,BOTTLE,2014,7500,0,20,,,True
43,RED,"PLANTIES Rot, Cabernet Cortis, Weingut St. Quirinus BIO´",,,BOTTLE,2018,6600,0,20,,,True
44,,"Athesis Brut Rosé, Kellerei Kettmeir ´",,,MAGNUM,2021,8400,0,20,,,True
45,,"Weissburgunder, LEOPOLDINE, Castel Sallegg ´",,,MAGNUM,2022,7000,0,20,,,True
46,,"Chardonnay, Marei, Castel Sallegg ´",,,MAGNUM,2022,7500,0,20,,,True
47,,"Kerner, Weingut Thomas Unterhofer, ´",,,MAGNUM,2022,6000,0,20,,,True
48,,"Sauvignon blanc, Mirum, Weingut Thomas Unterhofer ´",,,MAGNUM,2022,6000,0,20,,,True
49,,"Kalterer See, BISCHOFSLEITEN, Castel Sallegg ´",,,MAGNUM,2020,6300,0,20,,,True
50,,Kalterer See Kunststück Kellerei Kaltern `,,,MAGNUM,2016,8000,0,20,,,True
51,,Kalterer See Kunststück Kellerei Kaltern `,,,MAGNUM,2023,8500,0,20,,,True
52,,"St. Magdalena, Artis, Weingut Thomas Unterhofer `",,,MAGNUM,2022,6000,0,20,,,True
53,,"Blauburgunder, Ris. Schwarze Madonna Weingut Klosterhof `",,,MAGNUM,2018,12000,0,20,,,True
54,,"Blauburgunder, Ris. Saltner Kellerei Kaltern `",,,MAGNUM,2021,7500,0,20,,,True
55,,"Blauburgunder, Pigano Weingut Strobelhof `",,,MAGNUM,2021,8500,0,20,,,True
56,,"Lagrein, Ris., Bos Taurus, Weingut Niklas ´",,,MAGNUM,2020,9000,0,20,,,True
57,,"Lagrein, Morus Ris., H.Lentsch ´",,,MAGNUM,2015,12500,0,20,,,True
58,,"Lagrein, Morus Ris., H.Lentsch ´",,,MAGNUM,2016,12000,0,20,,,True
59,,"Lagrein, Morus Ris., H.Lentsch ´",,,MAGNUM,2017,11500,0,20,,,True
60,,"Lagrein, Prestige, Ris. Kellerei Bozen ´",,,MAGNUM,2021,9600,0,20,,,True
61,,"Merlot, NUSSBAUM Ris. Weingut Klosterhof ",,,MAGNUM,2018,11000,0,20,,,True
62,,"Merlot, NUSSLEITEN Ris. Castel Sallegg ´",,,MAGNUM,2018,14500,0,20,,,True
63,,"Merlot, NUSSLEITEN Ris. Castel Sallegg ´",,,MAGNUM,2019,13800,0,20,,,True
64,,"Cabernet Sauv., Ris. Quintessenz, Kellerei Kaltern ´",,,MAGNUM,2019,10500,0,20,,,True
65,,"Cabernet Sauv., Kunststück Ris., Kellerei Kaltern `",,,MAGNUM,2015,15000,0,20,,,True
66,,"Cabernet Sauvignon, Ris. Castel Sallegg ´",,,MAGNUM,2020,12500,0,20,,,True
67,,"Cabernet Sauv.-Merlot, Ris. Linticlarus, Kellerei Tiefenbrunner ´",,,MAGNUM,2021,13000,0,20,,,True
68,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `",,,MAGNUM,2016,13000,0,20,,,True
69,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `",,,MAGNUM,2017,12500,0,20,,,True
70,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `",,,MAGNUM,2018,12000,0,20,,,True
71,,"Cabernet Sauv. -Merlot, Ris. Palestina, Weingut H.Lentsch `",,,MAGNUM,2020,11500,0,20,,,True
72,,"Athesis Brut Rosé, Kellerei Kettmeir ´",,,BOTTLE,2021,4500,0,20,,,True
