wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01harvcmjnhs9q6x3ejykschns,3,BOTTLE,2023,2900,0,,,20,,True
wine_01harvcmjmeq4rk64d4q5rmj10,4,BOTTLE,2023,3100,0,,,20,,True
wine_01harvcmjn9ntyd5d1xzmh6mb2,8,BOTTLE,2022,2900,0,,,20,,True
wine_01hawwcz7qzx0xve8akr43wcbr,10,BOTTLE,2022,3800,0,,,20,,True
wine_01h0qsxmw626g0p3vbsrwjfzk0,46,MAGNUM,2022,7500,0,,,20,,True
wine_01h0qsxmw626g0p3vbsrwjfzk0,82,BOTTLE,2022,3700,0,,,20,,True
wine_01gzr4ksdh42znm5gnfkm4tmfe,85,BOTTLE,2022,3000,0,,,20,,True
wine_01j52tf0w76t4mjaewaq4nm848,87,BOTTLE,2019,4000,0,,,20,,True
wine_01h0qsxmw6gh4qe73ayn02r1kx,88,BOTTLE,2023,2800,0,,,20,,True
wine_01h0sq48z4rg924as7mbgypgvr,90,BOTTLE,2021,3300,0,,,20,,True
wine_01havweffjzabaxgtatw5b23nv,96,BOTTLE,2020,5200,0,,,20,,True
wine_01js6daks89fe697v3z9y5y456,120,BOTTLE,2021,5500,0,,,20,,True
wine_01h0my5t0ww19e9b9jwz8pqsg2,137,BOTTLE,2020,3100,0,,,20,,True
wine_01h0qsxmw6zxt3qeqbx5yy28tx,143,BOTTLE,2020,4000,0,,,20,,True
wine_01h0qsxmw60741s5xf8a7g1yv2,146,BOTTLE,2020,7000,0,,,20,,True
wine_01harvcmjjcbyzhfx2cy2w2kwm,2,BOTTLE,2022,3100,0,,,20,,True
wine_01h0my5rh47dgb9bz5ey60rhfe,6,MAGNUM,2022,12500,0,,,20,,True
wine_01h0my5rh47dgb9bz5ey60rhfe,7,BOTTLE,2022,6500,0,,,20,,True
wine_01harvcmgn4dbb7bbpwgmpjp8s,9,BOTTLE,2022,2800,0,,,20,,True
wine_01harvcmjk4k6p8vh6fe5sfwps,12,MAGNUM,2022,6500,0,,,20,,True
wine_01harvcmjk4k6p8vh6fe5sfwps,13,BOTTLE,2022,3100,0,,,20,,True
wine_01h0qzm0ta42ypxsqegk43jj0w,14,MAGNUM,2022,7000,0,,,20,,True
wine_01h0qzm0ta42ypxsqegk43jj0w,15,BOTTLE,2022,3500,0,,,20,,True
wine_01h0my5rh4696kz0ytbwtarqyc,16,MAGNUM,2022,12500,0,,,20,,True
