"storage_area","type","size","name","information","dosage",,"winery_name","vintage","purchase_price","quantity","other_vintages","visible","unclear","sales_price","glass_price","internal_notes"
4,,,"RED MOON",,,,,,,5,,1,,,,
5,,,"Cuvée Marianna ",,"Extra Brut","80%chardonnay, 20%pinot noir","Arunda Vivaldi",,22.5,3,,1,,73,12,
6,,,"Arunda Riserva Millesimato",,"Extra Brut","60%chardonnay, 40%pinot noir","Arunda Vivaldi",2016,25,2,"2017-1",1,,81,13,
7,,,"Arunda Rosé ",,"Brut","50%pinot blanc, 50%pinot noir","Arunda Vivaldi",,20.5,,,1,,67,11,
8,,,"Comitissa Riserva",,"Pas Dosé","35%chardonnay, 50%pinot blanc, 15%pinot noir","Lorenz Martini",2018,22.5,2,"2019-2",1,,73,12,
9,,,"Haderburg ",,"Brut","85%chardonnay, 15%pinot noir","L. Ochsenreiter",,18.1,3,,1,,60,10,
10,,,"Haderburg Pas Dosé",,"Pas Dosé","85%chardonnay,15% pinot noir","L. Ochsenreiter",2019,24.5,3,,1,,79,13,
11,,,"Arunda Parlein ","BIO","Brut","chardonnay","Arunda Vivaldi",,21.5,,,1,,70,11,
12,,,"Haderburg Riserva Hausmannhof",,"Brut","chardonnay","L. Ochsenreiter",2013,42,1,"2009-2 ",1,,116,19,
13,,,"Praeclarus Cuvée St. Pauls ",,"Brut","chardonnay","St. Pauls",,16.5,3,,1,,56,9,
14,,,"Athesis ",,"Brut","chardonnay, pinot blanc, pinot nero","Kettmeir",2019,18.5,1,"2020-2 ",1,,62,10,
15,,,"Blanc de Rouge ",,"Extra Dry","vernatsch","Hartmann Donà",,15.75,3,,1,,56,9,
16,,,"Kettmeir ",,"Pas Dosé","chardonnay","Kettmeir",,22.65,5,,1,,74,12,
17,,,"1919 Riserva",,"Extra Brut","chardonnay, pinot noir","Kettmeir",2017,30.2,6,,1,,83,13,
23,,,"Ferrari Perlé",,"Brut","chardonnay","Cantine Ferrari",2017,28.5,1,"2016-1  2018-1",1,,87,14,
24,,,"Dorigati Methius Riserva",,"Brut","60%chardonnay, 40%pinot noir","Dorigati",2018,29.3,3,,1,,81,13,
25,,,"Giulio Ferrari Riserva del  Fondatore ",,"Extra Brut","chardonnay","Cantine Ferrari",2010,135,3,,1,,270,45,
26,,,"Ferrari Perlé Zero",,"Brut nature","chardonnay","Cantine Ferrari",2010,49.9,2,"2014-1",1,,110,18,
27,,,"Giulio Ferrari Rosé Riserva ",,"Extra Brut","pinot noir, chardonnay ",,2008,179,1,,1,,380,63,
28,,,"Art",,"Brut","chardonnay",,,15.1,7,,1,,56,9,
30,,,"Franciacorta Bellavista Alma Grande Cuvée",,"Brut","79%chardonnay, 20%pinot noir, 1%pinot blanc","Bellavista",,26.5,3,,1,,85,14,
31,,,"Bellavista Rose Grand Cuvee ",,"Pas Dosé","65%chardonnay,35% pinot noir","Bellavista",,38,2,"2016-1",1,,105,17,"43% in Holz, mind. 5 JahreReifung im Keller"
32,,,"Bellavista Vittorio Moretti ",,"Extra Brut","50%chardonnay, 50%pinot noir","Bellavista",2013,89.9,1,"2016-1 ",1,,198,32,
34,,,"Blanc de Blanc",,"Brut","chartonnay","Casa Caterina",,24.9,3,,1,,81,,
36,,,"Bellavista Gran Cuvee Satèn",,"Brut","chardonnay","Bellavista",2017,39,1,"2018-1",1,,107,17,
39,,,"Buvoli Tre Extra Brut",,"Extra Brut","pinot noir","Buvoli",,18.9,4,,1,,63,10,
40,,,"Bisol Crede Prosecco DOCG",,"Brut","prosecco","Bisol",,10.9,1,,1,,43,7,
