storage_area,TYPE,name,information,dosage,,winery_name,vintage,purchase_price,quantity,other vintages,Spalte12,sales_price,glass_price,internal_notes,,,,,,,
,,SCHAUMWEINE - VINI SPUMANTI - CHAMPAGNE,,,,,,,,,,,,,,,,,,,
,,Südtirol - Alto Adige,,,,,,,,,,,,,,,,,,,
4,,RED MOON,,,,,,,5,,,,,,,,,,,,
5,,Cuvée Marianna ,,Extra Brut,"80%chardonnay, 20%pinot noir",Arunda Vivaldi,,22.5,3,,,73,12,,,,,,,,
6,,Arunda Riserva Millesimato,,Extra Brut,"60%chardonnay, 40%pinot noir",Arunda Vivaldi,2016,25,2,2017-1,,81,13,,,,,,,,
7,,Arunda Rosé ,,Brut,"50%pinot blanc, 50%pinot noir",Arunda Vivaldi,,20.5,,,,67,11,,,,,,,,
8,,Comitissa Riserva,,Pas Dosé,"35%chardonnay, 50%pinot blanc, 15%pinot noir",Lorenz Martini,2018,22.5,2,2019-2,,73,12,,,,,,,,
9,,Haderburg ,,Brut,"85%chardonnay, 15%pinot noir",L. Ochsenreiter,,18.1,3,,,60,10,,,,,,,,
10,,Haderburg Pas Dosé,,Pas Dosé,"85%chardonnay,15% pinot noir",L. Ochsenreiter,2019,24.5,3,,,79,13,,,,,,,,
11,,Arunda Parlein ,BIO,Brut,chardonnay,Arunda Vivaldi,,21.5,,,,70,11,,,,,,,,
12,,Haderburg Riserva Hausmannhof,,Brut,chardonnay,L. Ochsenreiter,2013,42,1,2009-2 ,,116,19,,,,,,,,
13,,Praeclarus Cuvée St. Pauls ,,Brut,chardonnay,St. Pauls,,16.5,3,,,56,9,,,,,,,,
14,,Athesis ,,Brut,"chardonnay, pinot blanc, pinot nero",Kettmeir,2019,18.5,1,2020-2 ,,62,10,,,,,,,,
15,,Blanc de Rouge ,,Extra Dry,vernatsch,Hartmann Donà,,15.75,3,,,56,9,,,,,,,,
16,,Kettmeir ,,Pas Dosé,chardonnay,Kettmeir,,22.65,5,,,74,12,,,,,,,,
17,,1919 Riserva,,Extra Brut,"chardonnay, pinot noir",Kettmeir,2017,30.2,6,,,83,13,,,,,,,,
18,,,,,,,,,,,,7,1,,,,,,,,
19,,,,,,,,,,,,7,1,,,,,,,,
20,,,,,,,,,,,,7,1,,,,,,,,
21,,,,,,,,,,,,7,1,,,,,,,,
22,,Trentino,,,,,,,,,,7,1,,,,,,,,
23,,Ferrari Perlé,,Brut,chardonnay,Cantine Ferrari,2017,28.5,1,2016-1  2018-1,,87,14,,,,,,,,
24,,Dorigati Methius Riserva,,Brut,"60%chardonnay, 40%pinot noir",Dorigati,2018,29.3,3,,,81,13,,,,,,,,
