external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
1,SPARKLING,RUINART BLANC DE BLANCS,RUINART,,HALF_BOTTLE,S/A,90.0,,0,,Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd4nsbgy7pt1nwzq7k8,,45.08156
2,SPARKLING,RUINART ROSE',RUINART,,HALF_BOTTLE,S/A,90.0,,0,,Dom Ruinart Rosé Brut Champagne,Ruinart,wine_01h4pmmfdrsyc3d30fzdm74bn4,,40.24485
3,SPARKLING,EXTRA BRUT PREMIERE CUVEE,BRUNO PAILLARD,,HALF_BOTTLE,S/A,65.0,,0,,Première Cuvée Extra Brut Champagne,Bruno Paillard,wine_01gzr4ks5h4zp749zmdayb3sac,,41.519623
4,SPARKLING,BRUT CHAMPAGNE,SPECIAL CUVEE,,HALF_BOTTLE,S/A,75.0,,0,,Brut Rosé Champagne Premier Cru,Cuvée Carat,wine_01h4pmmgm3aj0feksaejnnv200,,23.526937
5,SPARKLING,BRUT CHAMP. GRAND CRU B&B QUATRE TERROIRS,PERTOIS MORISET,,HALF_BOTTLE,S/A,60.0,,0,,Les Quatre Terroirs Champagne Grand Cru 'Le Mesnil-sur-Oger',Pertois-Moriset,wine_01h0my5re6wyxf3xam9rd1yn4z,,50.9989
6,SPARKLING,BRUT ROEDERER COLLECTION 244,LOUIS ROEDERER,,HALF_BOTTLE,S/A,65.0,,0,,Collection 244 Champagne,Louis Roederer,wine_01gzr4ks5t3r3m2xqxvqrmzvgc,,46.183655
7,SPARKLING,EXTRA BRUT CUVEE' MARIANNA,ARUNDA,,HALF_BOTTLE,S/A,36.0,,0,,Cuvée Marianna Extra Brut,Arunda,wine_01h0my5rqp4re1r7j537tvhbys,,41.67991
8,WHITE,CORTON CHARLEMAGNE,BONNEAU DU MARTRAY,,BOTTLE,2020,0.0,,0,,Corton-Charlemagne Grand Cru,Bonneau du Martray,wine_01gzr4kstppr69je9jedmns1pd,,52.574455
9,WHITE,CHAMPAGNIS CHARDONNAY,VIE DE ROMANS,,BOTTLE,2021,30.0,,0,,Ciampagnis  Chardonnay,Vie di Romans,wine_01gzr4ksk56cadmzq03npfe2jz,,36.532097
10,WHITE,CERVARO DELLA SALA,ANTINORI,,BOTTLE,2021,65.0,,0,,Castello della Sala Cervaro della Sala,Antinori,wine_01gzr4ksd3b397szz15dat7s7b,,45.07706
10,WHITE,CERVARO DELLA SALA,ANTINORI,,BOTTLE,2022,65.0,,0,,Castello della Sala Cervaro della Sala,Antinori,wine_01gzr4ksd3b397szz15dat7s7b,,45.07706
