external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
20,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,BOTTLE,2020,180.0,,0,,,,,,
23,,ALTEMASI,CAVIT,,BOTTLE,2018,38.0,,0,,,,,,
121,,EXTRA BRUT CHAMPAGNE LA CLOSERIE,&,,BOTTLE,S/A,370.0,,0,,,,,,
148,,BRUT CHAMPAGNE OZANNE BLANC DE BLANC GRAND CRU,M.FALLON,,BOTTLE,S/A,430.0,,0,,,,,,
198,,UA D’ORO DORONA,BINIOLA,,BOTTLE,2022,70.0,,0,,,,,,
211,,CHARDONNAY,LOWENGANG,,BOTTLE,2019,65.0,,0,,,,,,
212,,CHARDONNAY,SOMERETO,,BOTTLE,2021,40.0,,0,,,,,,
241,,CHARDONNAY,CIAMPAGNIS,,BOTTLE,2021,50.0,,0,,,,,,
265,,TRAMINAK,BELLENDA,,BOTTLE,2021,38.0,,0,,,,,,
282,,UCCELLANDA,CA' DEL BOSCO,,BOTTLE,2007,130.0,,0,,,,,,
283,,UCCELLANDA,CA' DEL BOSCO,,BOTTLE,2018,75.0,,0,,,,,,
300,,CAPICHERA,CAPICHERA,,BOTTLE,2020,60.0,,0,,,,,,
303,,ABISSALE,VIGNETI DI MARE,,BOTTLE,2021,45.0,,0,,,,,,
395,,RIESLING,SCHIEFERTERRASSEN,,BOTTLE,2020,65.0,,0,,,,,,
396,,RIESLING,SCHWARZHOFBERGER QBA,,BOTTLE,2018,130.0,,0,,,,,,
398,,RIESLING,BLAUSCHIEFER,,BOTTLE,2021,50.0,,0,,,,,,
401,,RIESLING BERNKASTELER BADSTUBE KABINETT,J.J.PRUM,,BOTTLE,2021,92.0,,0,,,,,,
402,,RIESLING,WEHLENER SONNENUHR KABINETT,,BOTTLE,2014,100.0,,0,,,,,,
403,,RIESLING GRAACHER HIMMELREICH KABINETT,J.J.PRUM,,BOTTLE,2017,58.0,,0,,,,,,
422,,REBULA,SELECTION,,BOTTLE,2017,50.0,,0,,,,,,
438,,AMARONE,REIUS,,BOTTLE,2018,80.0,,0,,,,,,
449,,CAPO DI STATO,VENEGAZZU',,BOTTLE,2017,11000.0,,0,,,,,,
450,,ROSSO VECCHIO GRION,BALAN,,BOTTLE,2017,50.0,,0,,,,,,
451,,ROSSO VECCHIO GRION,BALAN,,BOTTLE,2007,70.0,,0,,,,,,
462,,MONTEVETRANO,SILVIA IMPARATO,,BOTTLE,2013,100.0,,0,,,,,,
476,,BARBACARLO,LINO MAGA,,BOTTLE,2014,100.0,,0,,,,,,
476,,BARBACARLO,LINO MAGA,,BOTTLE,2018,100.0,,0,,,,,,
483,,FORAVIA,Doppia Manum,,BOTTLE,2019,150.0,,0,,,,,,
584,,ARCHINERI,PIETRA DOLCE,,BOTTLE,2017,65.0,,0,,,,,,
589,,FARO PALARI,SALVATORE GERACI,,BOTTLE,2011,70.0,,0,,,,,,
589,,FARO PALARI,SALVATORE GERACI,,BOTTLE,2016,70.0,,0,,,,,,
598,,MORMORETO,FRESCOBALDI,,BOTTLE,2019,90.0,,0,,,,,,
658,,CA' MARCANDA,GAJA,,BOTTLE,2020,200.0,,0,,,,,,
666,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,BOTTLE,2016,440.0,,0,,,,,,
667,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,MAGNUM,2016,1100.0,,0,,,,,,
668,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,BOTTLE,2018,350.0,,0,,,,,,
668,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,BOTTLE,2019,350.0,,0,,,,,,
669,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,BOTTLE,2020,320.0,,0,,,,,,
670,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,MAGNUM,2020,780.0,,0,,,,,,
701,,MERLOT BRENNTAL,CORTACCIA,,BOTTLE,2019,80.0,,0,,,,,,
722,,ANSEILLAN,DOMAINE BARONS DE ROTHSCHILD,,BOTTLE,2019,140.0,,0,,,,,,
737,,PETRUS,PETRUS LACOSTE LOUBAT,,BOTTLE,2018,4800.0,,0,,,,,,
738,,PETRUS,PETRUS LACOSTE LOUBAT,,BOTTLE,2019,5000.0,,0,,,,,,
739,,PETRUS,PETRUS LACOSTE LOUBAT,,BOTTLE,2020,6000.0,,0,,,,,,
816,,HARLAN ESTATE,HARLAN,,BOTTLE,2016,2100.0,,0,,,,,,
833,,SAUTERNES CHAT. D'YQUEM,LUR SALUCES,,BOTTLE,2001,960.0,,0,,,,,,
