ok,matched_id,external_id,type,name,winery_name,area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,wine_01gzr4ks77wsdabt6vnn27vs4y,4,SPARKLING,BRUT CHAMPAGNE SPECIAL CUVEE,BOLLINGER,,HALF_BOTTLE,,75,7500,0,,,,,,,
FALSE,,12,RED,SAUVIGNON,CANTINA S. MICHELE APPIANO,,BOTTLE,2022,30,3000,0,,,,,,,
TRUE,wine_01h0my5sa34h23fs9v85bm5gda,16,RED,AMARONE,ALLEGRINI,,BOTTLE,2018,75,7500,0,,,,,,,
TRUE,wine_01gzr4kscc048n1dp9m162cgxe,29,SPARKLING,BRUT FERRARI PERLE' CUVEE ZERO,FERRARI,,BOTTLE,2014,100,10000,0,,,,,,,
TRUE,wine_01h0sq48by1cx5tjgbkkvtac93,36,SPARKLING,BLANC DE BLANC METODO CLASSICO EXTRA BRUT,VILLA PARENS,,BOTTLE,,40,4000,0,,,,,,,
FALSE,,37,SPARKLING,BRUT DURELLO,BELLAGUARDIA,,BOTTLE,2013,45,4500,0,,,,,,,
FALSE,,38,SPARKLING,BRUT ROSE',BELLAGUARDIA,,BOTTLE,2016,58,5800,0,,,,,,,
TRUE,wine_01gzr4ksccr3vp26k7752yh5yp,59,SPARKLING,BRUT CUVEE ANNAMARIA CLEMENTI,CA' DEL BOSCO,,BOTTLE,2011,180,18000,0,,,,,,,
TRUE,wine_01gzr4ksccr3vp26k7752yh5yp,59,SPARKLING,BRUT CUVEE ANNAMARIA CLEMENTI,CA' DEL BOSCO,,BOTTLE,2013,180,18000,0,,,,,,,
TRUE,wine_01gzr4kscceqkyp7md23h3wfqn,60,SPARKLING,BRUT CUVEE ANNAMARIA CLEMENTI ROSE',CA' DEL BOSCO,,BOTTLE,2013,250,25000,0,,,,,,,
TRUE,wine_01h4pmmgg36ppcppnjjh2chgjd,68,SPARKLING,EXTRA BRUT CHAMP. SABLE' ROSE,AUBRY,,BOTTLE,2014,150,15000,0,,,,,,,
TRUE,wine_01gzr4ks5hk5t3z48cjek6dfq2,71,SPARKLING,BRUT CHAMPAGNE PREMIERE CUVEE ROSE,BRUNO PAILLARD,,BOTTLE,,140,14000,0,,,,,,,
TRUE,wine_01h0f3cmbqng4amtz0kpnz4zte,74,SPARKLING,EXTRA BRUT CHAMPAGNE 1ER CRU LES VIGNES DE VRIGNY,EGLY OURIET,,BOTTLE,,140,14000,0,,,,,,,
TRUE,wine_01h4pmmgg6amg6jk2s9xs6fghe,80,SPARKLING,BRUT CHAMP. 1ER CRU ESPRIT DE VRIGNY,ROGER COULON,,BOTTLE,,0,0,0,,,,,,,
TRUE,wine_01gzr4ks5t7p7ng1aajb3qfwpn,89,SPARKLING,BRUT ROEDERER PREMIER VINTAGE,LOUIS ROEDERER,,BOTTLE,2012,160,16000,0,,,,,,,
TRUE,wine_01gzr4ks5ttr3cmdtk3q0s15c8,90,SPARKLING,BRUT ROEDERER PREMIER ROSE',LOUIS ROEDERER,,BOTTLE,2017,180,18000,0,,,,,,,
TRUE,wine_01gzr4ks5ttr3cmdtk3q0s15c8,95,SPARKLING,BRUT ROEDERER ROSE’,LOUIS ROEDERER,,MAGNUM,2013,350,35000,0,,,,,,,
TRUE,wine_01gzr4ks5tzq6wt9gh2h83w7za,99,SPARKLING,CRISTAL BRUT ROSE’,LOUIS ROEDERER,,BOTTLE,2013,880,88000,0,,,,,,,
TRUE,wine_01gzr4ks7h5x1nhhc1jnbgbg29,100,SPARKLING,BRUT KRUG GRANDE CUVEE,KRUG,,BOTTLE,,360,36000,0,,,,,,,
TRUE,wine_01gzr4ks7h5x1nhhc1jnbgbg29,101,SPARKLING,BRUT KRUG GRANDE CUVEE,KRUG,,MAGNUM,,1100,110000,0,,,,,,,
TRUE,wine_01gzr4ks7h14e4h6h1cx1pzz5p,104,SPARKLING,KRUG VINTAGE COLLECTION '88,KRUG,,BOTTLE,1988,1400,140000,0,,,,,,,
TRUE,wine_01j0ndyvdyh4apspafs9ha370s,110,SPARKLING,L'ATAVIQUE EXTRA BRUT CHAMP. GRAN CRU B&B,MOUZON LEROUX,,BOTTLE,,110,11000,0,,,,,,,
TRUE,wine_01h4pmmfdmcyp929xjhy80yasq,120,SPARKLING,BRUT NATURE CHAMP. B&B 1ER CRU CUVEE LES CHENES,G. LAVAL,,BOTTLE,2018,340,34000,0,,,,,,,
TRUE,wine_01h4pmmfdmcyp929xjhy80yasq,120,SPARKLING,BRUT NATURE CHAMP. B&B 1ER CRU CUVEE LES CHENES,G. LAVAL,,BOTTLE,2019,340,34000,0,,,,,,,
TRUE,wine_01h4pmmghf450gmej3xcj6c3vs,125,SPARKLING,BRUT CHAMPAGNE,PERTOIS MORISET,,BOTTLE,,100,10000,0,,,,,,,
TRUE,wine_01h4pmmgfe8cw6ye5dnyb95k91,128,SPARKLING,BRUT CHAMPAGNE GRAND CRU BLANC DE BLANC LES HAUTS AILLERANDS,PERTOIS MORISET,,BOTTLE,2015,160,16000,0,,,,,,,
TRUE,wine_01j0ne84rtgqehs5b5r9nar60a,129,SPARKLING,BRUT CHAMPAGNE BLANC DE NOIRS BARBONNE FAYEL,PERTOIS MORISET,,BOTTLE,2018,150,15000,0,,,,,,,
TRUE,wine_01harvcmcv02qbr8njpndet038,134,SPARKLING,BRUT CHAMP. GRAND CRU BLANC DE BLANC DIAPASON,PASCAL DOQUET,,BOTTLE,,120,12000,0,,,,,,,
TRUE,wine_01hfxsdc5gtv9hgzwy2zwxj6pp,136,SPARKLING,BRUT CHAMPAGNE,DELAMOTTE,,BOTTLE,,0,0,0,,,,,,,
TRUE,wine_01j0ned37q9gh90qy0s2j8ws7b,146,SPARKLING,CASSA EDIZIONE LIMITATA 6 LIEUX-DITS,JACQUES SELOSSE,,BOTTLE,,6000,600000,0,(cassetta di legno 6 bottiglie Edizione Limitata),,,,,,
FALSE,,147,RED,EXTRABRUT CHAMP. BLANC DE NOIRS LARGILLIER,GUILLAUME SELOSSE,,BOTTLE,,560,56000,0,,,,,,,
TRUE,wine_01h0my5rrnw0jv8nvnjt0mmgj6,150,SPARKLING,BRUT CHAMPAGNE GRAND CRU BLANC DE BLANC MALO,AURORE CASANOVA,,BOTTLE,2017,150,15000,0,,,,,,,
TRUE,wine_01gzr4kscbzga5159ds831sygw,155,SPARKLING,BRUT CHAMP. CUVEE WINSTON CHURCHILL,POL ROGER,,BOTTLE,2012,500,50000,0,,,,,,,
TRUE,wine_01gzr4kscbzga5159ds831sygw,155,SPARKLING,BRUT CHAMP. CUVEE WINSTON CHURCHILL,POL ROGER,,BOTTLE,2013,500,50000,0,,,,,,,
FALSE,,160,SPARKLING,EXTRA BRUT CHAMPAGNE HOMMAGE A CUISLES 100 ANS,FAMILLE MOUSEE’,,BOTTLE,,110,11000,0,,,,,,,
TRUE,wine_01h4pmmfcygbm3ccbkb7d2k852,162,SPARKLING,BRUT DOM PERIGNON P3,MOET CHANDON,,BOTTLE,1993,5900,590000,0,,,,,,,
TRUE,wine_01gzr4ksd7kxm1ztzqza3vfezb,163,SPARKLING,BRUT DOM PERIGNON P2,MOET CHANDON,,BOTTLE,2003,730,73000,0,,,,,,,
TRUE,wine_01gzr4ksd7kxm1ztzqza3vfezb,163,SPARKLING,BRUT DOM PERIGNON P2,MOET CHANDON,,BOTTLE,2004,730,73000,0,,,,,,,
TRUE,wine_01gzr4ksd5bcha6deg56c5pjb5,164,SPARKLING,BRUT DOM PERIGNON ROSE',MOET CHANDON,,BOTTLE,2008,680,68000,0,,,,,,,
TRUE,wine_01gzr4kt0receynm5697bm9hsq,165,SPARKLING,BRUT DOM PERIGNON ROSE' LIMITED EDITION LADY GAGA,MOET CHANDON,,BOTTLE,2008,730,73000,0,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,166,SPARKLING,BRUT DOM PERIGNON,MOET CHANDON,,BOTTLE,2006,420,42000,0,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,167,SPARKLING,BRUT DOM PERIGNON,MOET CHANDON,,BOTTLE,2008,440,44000,0,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,168,SPARKLING,BRUT DOM PERIGNON,MOET CHANDON,,BOTTLE,2009,360,36000,0,,,,,,,
TRUE,wine_01gzr4kt0qqabfnsanrs4hazep,169,SPARKLING,BRUT DOM PERIGNON LIMITED EDITION LADY GAGA,MOET CHANDON,,BOTTLE,2010,420,42000,0,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,170,SPARKLING,BRUT DOM PERIGNON,MOET CHANDON,,BOTTLE,2012,380,38000,0,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,171,SPARKLING,BRUT DOM PERIGNON,MOET CHANDON,,MAGNUM,2010,950,95000,0,,,,,,,
TRUE,wine_01gzr4ks77z0y7cq2wp8xbrtm4,178,SPARKLING,BOLLINGER ROSE',BOLLINGER,,BOTTLE,,180,18000,0,,,,,,,
TRUE,wine_01gzr4ks77z0y7cq2wp8xbrtm4,179,SPARKLING,BOLLINGER ROSE',BOLLINGER,,MAGNUM,,390,39000,0,,,,,,,
TRUE,wine_01gzr4ks77ynfxxqrnkg6ddmwp,185,SPARKLING,BOLLINGER R.D.,BOLLINGER,,BOTTLE,2007,370,37000,0,,,,,,,
TRUE,wine_01gzr4ks77ynfxxqrnkg6ddmwp,186,SPARKLING,BOLLINGER R.D.,BOLLINGER,,BOTTLE,2008,460,46000,0,,,,,,,
TRUE,wine_01h4pmmgk04zbjrsjxcgnrgcqv,189,SPARKLING,BRUT NATURE CHAMPAGNE FLUENCE,FRANK PASCAL,,BOTTLE,,110,11000,0,,,,,,,
FALSE,,196,SPARKLING,BRUT CHAMPAGNE PAS DOSE',PHILIPPONNAT,,BOTTLE,,0,0,0,,,,,,,
TRUE,wine_01h0qzm0b7qp7kq1pccfps7hdy,200,WHITE,LUGANA,OLIVINI,,BOTTLE,2019,32,3200,0,,,,,,,
TRUE,wine_01gzr4kspdz7npg54r64bbttkg,209,WHITE,CHARDONNAY,MAGRED,,BOTTLE,2021,32,3200,0,,,,,,,
TRUE,wine_01h0my5rfe9rrcca981vfgqsgg,210,WHITE,CHARDONNAY GAUN,LAGEDER,,BOTTLE,2020,48,4800,0,,,,,,,
TRUE,wine_01h0qzm03pzb7pxqk970t3pc35,213,WHITE,CHARDONNAY,DORAN,,BOTTLE,2016,60,6000,0,,,,,,,
TRUE,wine_01gzr4ksmv69qe8d1n72sn0x7d,214,WHITE,CHARDONNAY ST.VALENTIN,CANTINA SAN MICHELE APPIANO,,BOTTLE,2020,60,6000,0,,,,,,,
TRUE,wine_01gzr4ksmv77d19k37hn5xh7nh,219,WHITE,GEWURZTRAMINER ST.VALENTIN,CANTINA SAN MICHELE APPIANO,,BOTTLE,2022,60,6000,0,,,,,,,
TRUE,wine_01gzr4ksmvsfn18zf94zmgm0dw,225,RED,SAUVIGNON ST. VALENTIN,CANTINA SAN MICHELE APPIANO,,BOTTLE,2021,60,6000,0,,,,,,,
TRUE,wine_01h0my5rkjz7gye66gy86pdwrz,228,WHITE,SAUVIGNON MOCK,ST. MAGDALENA,,BOTTLE,2021,38,3800,0,,,,,,,
TRUE,wine_01h0qzm2433nyfnnh58nnegepj,233,WHITE,"SYLVANER ""R""",KOFERERHOF,,BOTTLE,2018,55,5500,0,,,,,,,
TRUE,wine_01hcw4dfcsy9q2f4awethkakd7,243,WHITE,CHARDONNAY,LA PONCA,,BOTTLE,2021,0,0,0,,,,,,,
TRUE,wine_01gzr4ksfw9s28ys44sz2w2tec,258,DESSERT,RUSSIZ SUPERIORE COL DISORE’,MARCO FELLUGA,,BOTTLE,2017,55,5500,0,,,,,,,
TRUE,wine_01h0my5sg11nj339116kp21c44,259,RED,SACRISASSI BIANCO,LE DUE TERRE,,BOTTLE,2017,60,6000,0,,,,,,,
TRUE,wine_01gzr4ksrpkdm7peeafhc51gc8,271,WHITE,CHARDONNAY COLLINE TEATINE,MARINA CVETIC,,BOTTLE,2021,48,4800,0,,,,,,,
TRUE,wine_01gzr4ksrwdkrra2nm7tw2367y,278,RED,FIOR D'UVA,MARISA CUOMO,,BOTTLE,2020,90,9000,0,,,,,,,
TRUE,wine_01gzr4ksramprycr75r76z0x74,287,WHITE,VERDICCHIO RISERVA,VILLA BUCCI,,BOTTLE,2018,90,9000,0,,,,,,,
FALSE,,298,WHITE,TORMARESCA BIANCO,TORMARESCA,,BOTTLE,2017,28,2800,0,,,,,,,
FALSE,,298,WHITE,TORMARESCA BIANCO,TORMARESCA,,BOTTLE,2020,28,2800,0,,,,,,,
TRUE,wine_01h0qsxmx337dv0m2cwkrejxsw,301,WHITE,DETTORI BIANCO,DETTORI,,BOTTLE,2015,45,4500,0,,,,,,,
TRUE,wine_01gzr4kt8cnv02psawn0pzkmew,302,DESSERT,ARCHINERI,PIETRADOLCE,,BOTTLE,2017,45,4500,0,,,,,,,
TRUE,wine_01j0nfpfxp3j2yb1q05a4hanv7,305,WHITE,TIRSAT,FEUDI DEL PISCIOTTO,,BOTTLE,2013,36,3600,0,,,,,,,
TRUE,wine_01gzr4kt84n0w4rmwssegaeea7,309,WHITE,ORNELLAIA BIANCO,TENUTA DELL'ORNELLAIA,,BOTTLE,2014,420,42000,0,,,,,,,
TRUE,wine_01gzr4kt84n0w4rmwssegaeea7,309,WHITE,ORNELLAIA BIANCO,TENUTA DELL'ORNELLAIA,,BOTTLE,2016,420,42000,0,,,,,,,
TRUE,wine_01gzr4kt84n0w4rmwssegaeea7,309,WHITE,ORNELLAIA BIANCO,TENUTA DELL'ORNELLAIA,,BOTTLE,2017,420,42000,0,,,,,,,
TRUE,wine_01gzr4kt84n0w4rmwssegaeea7,309,WHITE,ORNELLAIA BIANCO,TENUTA DELL'ORNELLAIA,,BOTTLE,2019,420,42000,0,,,,,,,
TRUE,wine_01gzr4kt84n0w4rmwssegaeea7,310,WHITE,ORNELLAIA BIANCO,TENUTA DELL'ORNELLAIA,,MAGNUM,2016,980,98000,0,,,,,,,
TRUE,wine_01gzr4kss348s7ywj3zfqbtkz4,311,RED,POMINO BENEFIZIO RISERVA,FRESCOBALDI,,BOTTLE,2022,55,5500,0,,,,,,,
TRUE,wine_01gzr4kstdfmz4965smw686hpk,322,WHITE,BOURGOGNE BLANC CUVEE SAINT VINCENT,VINCENT GIRARDIN,,BOTTLE,2018,0,0,0,,,,,,,
TRUE,wine_01j0nfyc9nmjrkjy0trrq2e4z1,329,RED,CORTON CHARLEMAGNE,DOMAINE DE LA ROMANEE CONTI,,BOTTLE,2019,10600,1060000,0,,,,,,,
TRUE,wine_01gzr4ksvtkpwsr2kqq21e1e7f,332,RED,LADOIX LE CLOS ROYER,DOMAINE MICHEL MALLARD,,BOTTLE,2019,90,9000,0,,,,,,,
TRUE,wine_01hawwcxcnd3k0qe13jp0mtajj,359,WHITE,PULIGNY-MONTRACHET 1ER CRU LES CHAMPS GAIN,DOMAINE DE LA VOUGERAIE,,BOTTLE,2020,220,22000,0,,,,,,,
FALSE,,361,WHITE,PULIGNY-MONTRACHET,VINCENT GIRARDIN,,BOTTLE,2017,160,16000,0,,,,,,,
FALSE,,363,WHITE,PULIGNY-MONTRACHET,DOMAINE ANDRE' GOICHOT,,BOTTLE,2019,140,14000,0,,,,,,,
TRUE,wine_01h0qsxnr6s0hzjmc8da2e9n4g,366,WHITE,PULIGNY-MONTRACHET 1ER CRU CLOS DE LA MOUCHERE,DOMAINE BOILLOT,,BOTTLE,2019,320,32000,0,,,,,,,
TRUE,wine_01h0qsxnr6s0hzjmc8da2e9n4g,366,WHITE,PULIGNY-MONTRACHET 1ER CRU CLOS DE LA MOUCHERE,DOMAINE BOILLOT,,BOTTLE,2020,320,32000,0,,,,,,,
FALSE,,370,WHITE,CAMIN LARREDYA,JEAN MARC GRUSSAUTE,,BOTTLE,2021,70,7000,0,,,,,,,
TRUE,wine_01h0my5sps93nxbs25j0bzqh77,371,RED,DOMAINE DE LA GRANGE DES PERES,LA GRANGE DES PERES,,BOTTLE,2018,560,56000,0,,,,,,,
TRUE,wine_01j0ngfqkm0wxf7hcwm4vj9mbh,372,WHITE,MARIETA BIO,DOMAINE DES DEMOISELLES,,BOTTLE,2015,50,5000,0,,,,,,,
FALSE,,374,SPARKLING,FLO BUSCH,PIERRE QUI ROLLE,,BOTTLE,2020,75,7500,0,,,,,,,
FALSE,,376,WHITE,BARON DE L,BARON DE LA DOUCETTE,,BOTTLE,2018,175,17500,0,,,,,,,
FALSE,,376,WHITE,BARON DE L,BARON DE LA DOUCETTE,,BOTTLE,2019,175,17500,0,,,,,,,
FALSE,,376,WHITE,BARON DE L,BARON DE LA DOUCETTE,,BOTTLE,2020,175,17500,0,,,,,,,
TRUE,wine_01j0ngrj47t639dkcadheaed38,378,WHITE,LA JARRE DE JUCHEPIE ANJOU,DE JUCHEPIE,,BOTTLE,2017,65,6500,0,,,,,,,
FALSE,,381,WHITE,GRUNER VELTLINER,WEINGUT STIFT KLOSTER NEUBURG,,BOTTLE,2016,45,4500,0,,,,,,,
TRUE,wine_01hawwcx3ebkm65kkxqgskjzh4,387,WHITE,RIESLING MORDTHAL 1 LAGE BIO,KARL FRITSCH,,BOTTLE,2015,60,6000,0,,,,,,,
TRUE,wine_01gzr4ksxrbaqhrd35b2sx6167,390,WHITE,RIESLING SMARAGD VOM STEIN,NIKOLAIHOF,,BOTTLE,2016,80,8000,0,,,,,,,
TRUE,wine_01gzr4ksxrefatrxczxqtsvryj,391,WHITE,RIESLING STEINER HUND,NIKOLAIHOF,,BOTTLE,2014,85,8500,0,,,,,,,
FALSE,,393,WHITE,RIESLING UNDHOF,SALOMON,,BOTTLE,2021,65,6500,0,,,,,,,
