ok,matched_id,external_id,type,name,winery_name,area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,wine_01hfvgk1q39g2jv68bzta79nbe,20,,ORNELLAIA,TENUTA DELL'ORNELLAIA,,BOTTLE,2020,180,18000,,,,,,,,
TRUE,wine_01gzr4ksdb672jy83gdgne4bqr,23,,ALTEMASI,CAVIT,,BOTTLE,2018,38,3800,,,,,,,,
FALSE,,121,,EXTRA BRUT CHAMPAGNE LA CLOSERIE,&,,BOTTLE,,370,37000,,,,,,,,
TRUE,wine_01h0my5rrtj5shpty7n8tmk0h1,148,,BRUT CHAMPAGNE OZANNE BLANC DE BLANC GRAND CRU,M.FALLON,,BOTTLE,,430,43000,,,,,,,,
FALSE,,198,,UA D’ORO DORONA,BINIOLA,,BOTTLE,2022,70,7000,,,,,,,,
TRUE,wine_01h0my5rfekbv4h2ygebwkm1hn,211,,CHARDONNAY,LOWENGANG,,BOTTLE,2019,65,6500,,,,,,,,
TRUE,wine_01h4pmmfh8f331y2sf9rtd0b45,212,,CHARDONNAY,SOMERETO,,BOTTLE,2021,40,4000,,,,,,,,
TRUE,wine_01gzr4ksk56cadmzq03npfe2jz,241,,CHARDONNAY,CIAMPAGNIS,,BOTTLE,2021,50,5000,,,,,,,,
FALSE,,265,,TRAMINAK,BELLENDA,,BOTTLE,2021,38,3800,,,,,,,,
FALSE,,282,,UCCELLANDA,CA' DEL BOSCO,,BOTTLE,2007,130,13000,,,,,,,,
FALSE,,283,,UCCELLANDA,CA' DEL BOSCO,,BOTTLE,2018,75,7500,,,,,,,,
FALSE,,300,,CAPICHERA,CAPICHERA,,BOTTLE,2020,60,6000,,,,,,,,
TRUE,wine_01h0my5vnj5ng92hxjfrma23c1,303,,ABISSALE,VIGNETI DI MARE,,BOTTLE,2021,45,4500,,,,,,,,
TRUE,wine_01h4pmmh5hbdt4gzxkept9cb04,395,,RIESLING,SCHIEFERTERRASSEN,,BOTTLE,2020,65,6500,,,,,,,,
FALSE,,396,,RIESLING,SCHWARZHOFBERGER QBA,,BOTTLE,2018,130,13000,,,,,,,,
FALSE,,398,,RIESLING,BLAUSCHIEFER,,BOTTLE,2021,50,5000,,,,,,,,
TRUE,wine_01hawwcx5cr5w2ch9spkxj6768,401,,RIESLING BERNKASTELER BADSTUBE KABINETT,J.J.PRUM,,BOTTLE,2021,92,9200,,,,,,,,
TRUE,wine_01h0r2pq7d5yc98qyfx8zrem30,402,,RIESLING,WEHLENER SONNENUHR KABINETT,,BOTTLE,2014,100,10000,,,,,,,,
TRUE,wine_01harvcmczbema9cfd2883fpg7,403,,RIESLING GRAACHER HIMMELREICH KABINETT,J.J.PRUM,,BOTTLE,2017,58,5800,,,,,,,,
