wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
,551,BOTTLE,2010,29000,,,0,
,836,BOTTLE,2010,19000,,,0,
,410,BOTTLE,2015,5000,,,0,
,597,BOTTLE,2015,7500,,,0,
,38,BOTTLE,2016,5800,,,0,
,381,BOTTLE,2016,4500,,,0,
,686,BOTTLE,2016,7500,,,0,
,836,BOTTLE,2016,19000,,,0,
,298,BOTTLE,2017,2800,,,0,
,361,BOTTLE,2017,16000,,,0,
,411,BOTTLE,2017,4000,,,0,
,376,BOTTLE,2018,17500,,,0,
,537,BOTTLE,2018,9000,,,0,
,363,BOTTLE,2019,14000,,,0,
,376,BOTTLE,2019,17500,,,0,
,795,BOTTLE,2019,15000,,,0,
,817,BOTTLE,2019,53000,,,0,
,298,BOTTLE,2020,2800,,,0,
,374,BOTTLE,2020,7500,,,0,
,376,BOTTLE,2020,17500,,,0,
,695,BOTTLE,2020,5000,,,0,
,743,BOTTLE,2020,0,,,0,
,370,BOTTLE,2021,7000,,,0,
,393,BOTTLE,2021,6500,,,0,
,404,BOTTLE,2021,6000,,,0,
