wine_id,size,vintage,price,info,storage_area,internal_notes
wine_01gzr4ksct8de7tv33rh98x28c,BOTTLE,2018,6500,,2-2,
wine_01gzr4ksctpg7xgfcd5g3n4mew,BOTTLE,0,5000,,2-2,
wine_01gzr4ktfz8rdfpgmgkvghev9h,BOTTLE,0,6000,,2-5,
wine_01gzr4ksccqqnpgqa87nn43n5r,BOTTLE,0,7500,,2-5,
wine_01h0my5vwkgq14ns0bcz2kzcj6,BOTTLE,0,5000,,2-3,
wine_01h0f3cmbtkwmev0q8m5tqm8n3,BOTTLE,2018,7000,,3-4,
wine_01h0qsxmzd11cmyk9ec4pz7f7v,BOTTLE,2019,6000,,3-4,
wine_01h4pmmfewe9mz61wrmb7yzp76,BOTTLE,0,6500,,2-3,
wine_01gzr4ksgtxvt4z7fj6xbj67p4,BOTTLE,0,4500,,2-4,
wine_01gzr4ksgtrrx315rpkp508g1p,BOTTLE,0,5500,,2-4,
wine_01h0qzm08r4cd4qjw3mctgfyds,BOTTLE,2018,6500,,3-4,
wine_01h0f3cmbt3hh86k2p7cg6yy81,BOTTLE,2017,8500,,3-4,
wine_01h0my5t4j292kfk4zp4gbm4jh,BOTTLE,2018,5000,,3-4,
wine_01h0my5t4j292kfk4zp4gbm4jh,MAGNUM,2018,5000,,3-5,
wine_01gzr4ksccj35519kgnp4kw2ym,BOTTLE,0,7500,,2-5,
wine_01h0f3cmbtcrj6dy2n3hdvwpne,BOTTLE,2019,6000,,3-4,
wine_01h0qzm1tsmx0p7drhda7fcn87,BOTTLE,0,4500,,3-4,
wine_01gzr4ksgasq77axgqdnnybb8z,BOTTLE,2019,5500,,2-6,
wine_01h0qzm1169rtrg3v4s1vw0gas,BOTTLE,2017,4500,,2-3,
wine_01h0qsxnxfyq5n2stwfbcp3t7x,BOTTLE,2018,5000,,2-3,
wine_01gzr4ktrxpznmw0zayewkjq0g,BOTTLE,0,4000,,2-5,
