external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
1.0,Le Petit,Weingut Manincor,,,BOTTLE,2018.0,8000.0,,6,"purchase_price:  37.40 € , supplier: WD, retail_price:  75.29 € , glass_price:  € 13.33 "
2.0,"Gewürztraminer Passito ""Cresta""",Weingut Hans Rottensteiner,,,BOTTLE,2017.0,5700.0,,9,"purchase_price:  20.90 € , supplier: WD, retail_price:  42.07 € , glass_price:  € 9.50 "
3.0,Rosenmuskateller Rosis,Kellerei Bozen,,,BOTTLE,2020.0,5300.0,,9,"purchase_price:  18.00 € , supplier: FW, retail_price:  36.23 € , glass_price:  € 8.83 "
4.0,Sweet Claire ,Weingut Lieselehof,,,BOTTLE,2017.0,7700.0,,5,"purchase_price:  39.90 € , supplier: Liesele, retail_price:  80.32 € , glass_price:  € 12.83 "
5.0,Sweet Claire Quintessenz,Weingut Lieselehof,,,BOTTLE,2015.0,19900.0,,2,"purchase_price:  94.73 € , supplier: Liesele, retail_price:  190.69 € , glass_price:  € 33.17 "
6.0,"Merlino 19,07 (missing vintage)",Pojer & Sandri,,,BOTTLE,,5500.0,,6,"purchase_price:  19.85 € , supplier: FW, retail_price:  39.96 € , glass_price:  € 9.17 "
7.0,Moscato D´Asti Santo Stefano,Ceretto,,,BOTTLE,2019.0,3900.0,,18,"purchase_price:  10.20 € , supplier: FW, retail_price:  20.53 € , glass_price:  € 6.50 "
8.0,Ben Rye Passito di Pantelleria,Donnafugata,,,BOTTLE,2020.0,6600.0,,4,"purchase_price:  24.90 € , supplier: WD, retail_price:  50.12 € , glass_price:  € 11.00 "
9.0,Kracher Beerenauslese Non vintage,Kracher,,,BOTTLE,0.0,4900.0,,2,"purchase_price:  15.90 € , supplier: WD, retail_price:  32.01 € , glass_price:  € 8.17 "
10.0,Palladius Pfösl Prosecco Millesimato  (inkl. Etikett) ,Palladius,,,BOTTLE,2021.0,2500.0,,576,"purchase_price:  5.50 € , supplier: FW, retail_price:  11.07 € , glass_price:  € 4.17 "
11.0,Valdobbiadene Superiore,Canella,,,BOTTLE,,2900.0,,76,"purchase_price:  7.86 € , supplier: ob, retail_price:  15.82 € , glass_price:  € 4.83 "
11.0,Lieselehof Brut - Bio I SG,Weingut Lieselehof,,,BOTTLE,2017.0,7500.0,,6,"purchase_price:  34.50 € , supplier: Liesele, retail_price:  69.45 € , glass_price:  € 12.50 "
12.0,Arunda Cuvée Marianne Extra Brut I PN,Arunda,,,BOTTLE,,5300.0,,3,"purchase_price:  20.00 € , supplier: FW, retail_price:  40.26 € , glass_price:  € 8.83 "
13.0,"Arunda Rosè Brut I PB, PN",Arunda,,,BOTTLE,,5500.0,,22,"purchase_price:  20.00 € , supplier: WD, retail_price:  40.26 € , glass_price:  € 9.17 "
14.0,"Arunda 0,375 Brut sekt (minibar)",Arunda,,,BOTTLE,,2900.0,,5,"purchase_price:  8.60 € , supplier: WD, retail_price:  17.31 € , glass_price:  € 4.83 "
14.4,Brut Nature,Stocker,,,BOTTLE,2017.0,5900.0,,9,"purchase_price:  24.00 € , supplier: WD, retail_price:  48.31 € , glass_price:  € 9.83 "
15.0,"Miau, Methodo Ancestrale",Pranzegg,,,BOTTLE,,4000.0,,2,"purchase_price:  12.17 € , supplier: WD, retail_price:  24.50 € , glass_price:  € 6.67 "
16.0,Kettmeir Riserva Extra Brut 1919,Kettmeir,,,BOTTLE,2016.0,7300.0,,4,"purchase_price:  36.80 € , supplier: WD, retail_price:  74.08 € , glass_price:  € 12.17 "
17.0,Haderburg brut,haderburg,,,BOTTLE,,5100.0,,14,"purchase_price:  18.90 € , supplier: WD, retail_price:  38.05 € , glass_price:  € 8.50 "
18.0,Blanc de Blanc 600 Pas Dose,Kellerei Kurtatsch,,,BOTTLE,2017.0,5800.0,,16,"purchase_price:  23.00 € , supplier: FW, retail_price:  46.30 € , glass_price:  € 9.67 "
19.0,Quirinus Brut,Weingut St. Quirinus,,,BOTTLE,,5500.0,,8,"purchase_price:  19.90 € , supplier: WD, retail_price:  40.06 € , glass_price:  € 9.17 "
19.0,Nature Trento DOC,Corvée,,,BOTTLE,,4400.0,,83,"purchase_price:  14.90 € , supplier: Akos, retail_price:  29.99 € , glass_price:  € 7.33 "
20.0,Brut Perlè - Ferrari I CH,Ferrari,,,BOTTLE,2017.0,7100.0,,7,"purchase_price:  34.46 € , supplier: O, retail_price:  69.37 € , glass_price:  € 11.83 "
21.0,Riserva Lunelli  - Ferrari,Ferrari,,,BOTTLE,2015.0,9900.0,,4,"purchase_price:  51.23 € , supplier: Karner, retail_price:  103.13 € , glass_price:  € 16.50 "
22.0,Blauwal Riserva ,Cesconi,,,BOTTLE,2014.0,7000.0,,8,"purchase_price:  33.90 € , supplier: WD, retail_price:  68.24 € , glass_price:  € 11.67 "
23.0,"Ferrari Riserva (2007 -79,00€)",Giulio Ferrari,,,BOTTLE,2009.0,24800.0,,2,"purchase_price:  135.00 € , supplier: Karner, retail_price:  271.76 € , glass_price:  € 41.33 "
24.0,Ferrari Riserva 2009 Magnum,Giulio Ferrari,,,MAGNUM,2009.0,45000.0,,1,"purchase_price:  210.00 € , supplier: WD, retail_price:  422.73 € , glass_price:  € 75.00 "
25.0,Franciacorta Nature Blanc de Blanc,Cavalleri,,,BOTTLE,,5900.0,,4,"purchase_price:  23.56 € , supplier: O, retail_price:  47.43 € , glass_price:  € 9.83 "
26.0,Farfalla Collection noir,Ballabio,,,BOTTLE,,5500.0,,5,"purchase_price:  18.70 € , supplier: WD, retail_price:  37.64 € , glass_price:  € 9.17 "
27.0,Barbalonga Saten,Barbalonga,,,BOTTLE,,4600.0,,10,"purchase_price:  16.50 € , supplier: WD, retail_price:  33.21 € , glass_price:  € 7.67 "
28.0,Cuvee 60 Blanc de blancs,Casa Caterina,,,BOTTLE,,5700.0,,4,"purchase_price:  21.90 € , supplier: WD, retail_price:  44.08 € , glass_price:  € 9.50 "
