external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
1.0,WHITE,Le Petit,Weingut Manincor,,BOTTLE,2018.0,8000.0,,6,"purchase_price:  37.40 € , supplier: WD, retail_price:  75.29 € , glass_price:  € 13.33 ",Le Petit,Manincor,wine_01gzr4ksk9pkd3v8xn0y8j9vbw,2342093.0,36.537144
2.0,DESSERT,"Gewürztraminer Passito ""Cresta""",Weingut Hans Rottensteiner,,BOTTLE,2017.0,5700.0,,9,"purchase_price:  20.90 € , supplier: WD, retail_price:  42.07 € , glass_price:  € 9.50 ",Cresta Traminer Aromatico Passito,Rottensteiner,wine_01h0my5t3ds5xpghf10yab9q86,,39.14688
3.0,DESSERT,Rosenmuskateller Rosis,Kellerei Bozen,,BOTTLE,2020.0,5300.0,,9,"purchase_price:  18.00 € , supplier: FW, retail_price:  36.23 € , glass_price:  € 8.83 ",Rosis,Cantina Bolzano / Kellerei Bozen,wine_01h0my5tb96m7ex095naqnnz3w,,35.704185
4.0,DESSERT,Sweet Claire ,Weingut Lieselehof,,BOTTLE,2017.0,7700.0,,5,"purchase_price:  39.90 € , supplier: Liesele, retail_price:  80.32 € , glass_price:  € 12.83 ",Sweet Claire,Lieselehof,wine_01h0r2pp8yft1cvgmsyrrfv6tz,,43.752678
5.0,DESSERT,Sweet Claire Quintessenz,Weingut Lieselehof,,BOTTLE,2015.0,19900.0,,2,"purchase_price:  94.73 € , supplier: Liesele, retail_price:  190.69 € , glass_price:  € 33.17 ",Sweet Claire Quintessenz,Lieselehof,wine_01h0r2pp90ngnyghk87w8db6sm,,50.42923
6.0,FORTIFIED,"Merlino 19,07 (missing vintage)",Pojer & Sandri,,BOTTLE,,5500.0,,6,"purchase_price:  19.85 € , supplier: FW, retail_price:  39.96 € , glass_price:  € 9.17 ",Merlino Rosso Fortificato,Pojer e Sandri,wine_01gzr4ksehej5gqw3qzhv5mezd,1197752.0,39.465195
7.0,SPARKLING,Moscato D´Asti Santo Stefano,Ceretto,,BOTTLE,2019.0,3900.0,,18,"purchase_price:  10.20 € , supplier: FW, retail_price:  20.53 € , glass_price:  € 6.50 ",Moscato d''Asti,Ceretto,wine_01gzr4kt6e23qeyrkyj45qhfef,,39.60001
8.0,DESSERT,Ben Rye Passito di Pantelleria,Donnafugata,,BOTTLE,2020.0,6600.0,,4,"purchase_price:  24.90 € , supplier: WD, retail_price:  50.12 € , glass_price:  € 11.00 ",Ben Ryé Passito di Pantelleria,Donnafugata,wine_01gzr4ktfg94yr4a3qs46j1p4r,,50.029785
9.0,DESSERT,Kracher Beerenauslese Non vintage,Kracher,,BOTTLE,0.0,4900.0,,2,"purchase_price:  15.90 € , supplier: WD, retail_price:  32.01 € , glass_price:  € 8.17 ",Cuvée Beerenauslese,Kracher,wine_01gzr4ktr8jmk609gewew7w2fq,,29.468107
10.0,SPARKLING,Palladius Pfösl Prosecco Millesimato  (inkl. Etikett) ,Palladius,,BOTTLE,2021.0,2500.0,,576,"purchase_price:  5.50 € , supplier: FW, retail_price:  11.07 € , glass_price:  € 4.17 ",Prosecco Millesimato Extra Dry,Palladius,wine_01havwedm7cggfejpjq2gwhtk2,,42.335224
11.0,SPARKLING,Valdobbiadene Superiore,Canella,,BOTTLE,,2900.0,,76,"purchase_price:  7.86 € , supplier: ob, retail_price:  15.82 € , glass_price:  € 4.83 ",Conegliano Valdobbiadene Prosecco Superiore,Canella,wine_01h0my5t8j514q1k1kne95p6tw,,33.059933
11.0,SPARKLING,Lieselehof Brut - Bio I SG,Weingut Lieselehof,,BOTTLE,2017.0,7500.0,,6,"purchase_price:  34.50 € , supplier: Liesele, retail_price:  69.45 € , glass_price:  € 12.50 ",Brut,Lieselehof,wine_01h0r2pp8yp1zj0n5n64v4e073,,30.835691
12.0,SPARKLING,Arunda Cuvée Marianne Extra Brut I PN,Arunda,,BOTTLE,,5300.0,,3,"purchase_price:  20.00 € , supplier: FW, retail_price:  40.26 € , glass_price:  € 8.83 ",Cuvée Marianna Extra Brut,Arunda,wine_01h0my5rqp4re1r7j537tvhbys,,41.621956
13.0,SPARKLING,"Arunda Rosè Brut I PB, PN",Arunda,,BOTTLE,,5500.0,,22,"purchase_price:  20.00 € , supplier: WD, retail_price:  40.26 € , glass_price:  € 9.17 ",Brut Rosé,Arunda,wine_01h0my5rqpe521fsdwks0g3yfq,,31.692747
14.0,SPARKLING,"Arunda 0,375 Brut sekt (minibar)",Arunda,,BOTTLE,,2900.0,,5,"purchase_price:  8.60 € , supplier: WD, retail_price:  17.31 € , glass_price:  € 4.83 ",Brut,Arunda,wine_01h0my5rqpw4pabakp9gcwa13k,,29.482456
14.4,SPARKLING,Brut Nature,Stocker,,BOTTLE,2017.0,5900.0,,9,"purchase_price:  24.00 € , supplier: WD, retail_price:  48.31 € , glass_price:  € 9.83 ",Sekt Natur Jahrgangssekt Millesimato,Stocker,wine_01gzr4ksn5gqxscphe59kw1w8q,11050625.0,33.22254
16.0,SPARKLING,Kettmeir Riserva Extra Brut 1919,Kettmeir,,BOTTLE,2016.0,7300.0,,4,"purchase_price:  36.80 € , supplier: WD, retail_price:  74.08 € , glass_price:  € 12.17 ",1919 Riserva Extra Brut,Kettmeir,wine_01h0qzm23saw4dnhp09jsgxv7q,,45.27437
17.0,SPARKLING,Haderburg brut,haderburg,,BOTTLE,,5100.0,,14,"purchase_price:  18.90 € , supplier: WD, retail_price:  38.05 € , glass_price:  € 8.50 ",Brut,Haderburg,wine_01h0qzm1tsmx0p7drhda7fcn87,,30.835691
18.0,SPARKLING,Blanc de Blanc 600 Pas Dose,Kellerei Kurtatsch,,BOTTLE,2017.0,5800.0,,16,"purchase_price:  23.00 € , supplier: FW, retail_price:  46.30 € , glass_price:  € 9.67 ",Sekt Spumante 600 Blanc de Blancs Pas Dosé,Cantina Kurtatsch,wine_01h0f3cmbvcfa539vh935hpr4q,,40.642685
19.0,RED,Quirinus Brut,Weingut St. Quirinus,,BOTTLE,,5500.0,,8,"purchase_price:  19.90 € , supplier: WD, retail_price:  40.06 € , glass_price:  € 9.17 ",Merlot Quirinus,St Quirinus,wine_01hawwcvwxkbr1xtdafq2xnbwv,,46.336514
19.0,SPARKLING,Nature Trento DOC,Corvée,,BOTTLE,,4400.0,,83,"purchase_price:  14.90 € , supplier: Akos, retail_price:  29.99 € , glass_price:  € 7.33 ",Trento Metodo Classico Rosé,Corvée,wine_01h0sq492t8sxzqq4h4qrs7gaz,,32.98758
20.0,SPARKLING,Brut Perlè - Ferrari I CH,Ferrari,,BOTTLE,2017.0,7100.0,,7,"purchase_price:  34.46 € , supplier: O, retail_price:  69.37 € , glass_price:  € 11.83 ",Perlé,Ferrari,wine_01gzr4ksccj35519kgnp4kw2ym,4972.0,27.717403
21.0,SPARKLING,Riserva Lunelli  - Ferrari,Ferrari,,BOTTLE,2015.0,9900.0,,4,"purchase_price:  51.23 € , supplier: Karner, retail_price:  103.13 € , glass_price:  € 16.50 ",Riserva Lunelli,Ferrari,wine_01gzr4ksccy7w7sgfv1g5hhygr,89737.0,33.08814
22.0,SPARKLING,Blauwal Riserva ,Cesconi,,BOTTLE,2014.0,7000.0,,8,"purchase_price:  33.90 € , supplier: WD, retail_price:  68.24 € , glass_price:  € 11.67 ",Blauwal Riserva Brut,Cesconi,wine_01h0qsxn5kd4pqt43n22kdt6cw,,37.99651
23.0,SPARKLING,"Ferrari Riserva (2007 -79,00€)",Giulio Ferrari,,BOTTLE,2009.0,24800.0,,2,"purchase_price:  135.00 € , supplier: Karner, retail_price:  271.76 € , glass_price:  € 41.33 ",''Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452.0,30.482803
24.0,SPARKLING,Ferrari Riserva 2009 Magnum,Giulio Ferrari,,MAGNUM,2009.0,45000.0,,1,"purchase_price:  210.00 € , supplier: WD, retail_price:  422.73 € , glass_price:  € 75.00 ",''Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452.0,30.482803
25.0,SPARKLING,Franciacorta Nature Blanc de Blanc,Cavalleri,,BOTTLE,,5900.0,,4,"purchase_price:  23.56 € , supplier: O, retail_price:  47.43 € , glass_price:  € 9.83 ",Blanc de Blancs Franciacorta Brut,Cavalleri,wine_01gzr4ktse0n59hdwbtkb5sxj6,,39.26857
26.0,SPARKLING,Farfalla Collection noir,Ballabio,,BOTTLE,,5500.0,,5,"purchase_price:  18.70 € , supplier: WD, retail_price:  37.64 € , glass_price:  € 9.17 ",Farfalla Noir Collection Rosé,Ballabio,wine_01h0my5sazp3a04czxqtrbvgtz,,44.731583
27.0,SPARKLING,Barbalonga Saten,Barbalonga,,BOTTLE,,4600.0,,10,"purchase_price:  16.50 € , supplier: WD, retail_price:  33.21 € , glass_price:  € 7.67 ",Franciacorta Saten,Barbalonga,wine_01h0my5schkq9d4wyg03qxfnh2,,39.921875
28.0,SPARKLING,Cuvee 60 Blanc de blancs,Casa Caterina,,BOTTLE,,5700.0,,4,"purchase_price:  21.90 € , supplier: WD, retail_price:  44.08 € , glass_price:  € 9.50 ",Cuvée 60 Zero Blanc de Blancs,Casa Caterina,wine_01h0my5vrgwwxac1xgpgyr9ndn,,47.39958
29.0,SPARKLING,Bellavista Alma Gran Cuvee Brut,Bellavista,,BOTTLE,,5900.0,,1,"purchase_price:  23.66 € , supplier: WD, retail_price:  47.63 € , glass_price:  € 9.83 ",Alma Gran Cuvée Brut,Bellavista,wine_01gzr4ktfzzysgtwyv6g5c66c4,,37.362457
30.0,ROSE,Rose ,Contadi Castaldi,,BOTTLE,,5200.0,,13,"purchase_price:  17.19 € , supplier: O, retail_price:  34.60 € , glass_price:  € 8.67 ",Rosa Alba,Castaldi Francesca,wine_01h0qsxmvbcrn6kv0c7f53atjg,,25.487844
33.0,SPARKLING,A Lorenzo 180 Millesimato 2°Edizione DOC,L. Bellani,,BOTTLE,,6200.0,,7,"purchase_price:  26.00 € , supplier: Karner, retail_price:  52.34 € , glass_price:  € 10.33 ",A Lorenzo 180,Luca Bellani,wine_01h0r2ppcs1gjafc7g5eam89g0,,41.01808
34.0,SPARKLING,"Champagner Premier Cru - Guy Larmandier I CH, PN",Guy Larmandier,,BOTTLE,,6100.0,,5,"purchase_price:  25.50 € , supplier: FW, retail_price:  51.33 € , glass_price:  € 10.17 ",Brut Champagne Premier Cru,Guy Larmandier,wine_01h0qzm2vdb5wxdwrspf4nygdk,,44.874985
35.0,SPARKLING,"Champagne rose  majeur Ayala I CH, PN, PM",Ayala,,BOTTLE,,9700.0,,3,"purchase_price:  48.50 € , supplier: WS, retail_price:  97.63 € , glass_price:  € 16.17 ",Brut Majeur Champagne,Ayala,wine_01h0f3cmbmgcmyphydj658m9nj,,38.85489
36.0,SPARKLING,Champagner Brut Rose,Billecart Salmon,,BOTTLE,,12700.0,,2,"purchase_price:  63.50 € , supplier: WS, retail_price:  127.83 € , glass_price:  € 21.17 ",Brut Champagne,Billecart-Salmon,wine_01gzr4ks64x2q5cczw5y6pvadp,1200843.0,44.523968
37.0,SPARKLING,"Champagne Ruinart Brut I PN, CH, PM",Ruinart,,BOTTLE,,10600.0,,2,"purchase_price:  56.25 € , supplier: O, retail_price:  113.23 € , glass_price:  € 17.67 ",Dom Ruinart Rosé Brut Champagne,Ruinart,wine_01h4pmmfdrsyc3d30fzdm74bn4,,43.143715
39.0,SPARKLING,Coup de Coer Extra Brut,Monmarthe,,BOTTLE,,7200.0,,11,"purchase_price:  34.80 € , supplier: Cuzziol, retail_price:  70.05 € , glass_price:  € 12.00 ",Coup de Coeur Extra Brut Champagne Premier Cru,Monmarthe,wine_01h4pmmfcxane4zrraq4k4ykk6,,42.157314
40.0,SPARKLING,Champagne Cristal,Louis Roederer,,BOTTLE,2013.0,36800.0,,2,"purchase_price:  199.00 € , supplier: WD, retail_price:  400.59 € , glass_price:  € 61.33 ",Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,74304.0,42.190475
41.0,SPARKLING,Champagne Dom Ruinart Blanc de Blanc,Ruinart,,BOTTLE,2009.0,32000.0,,2,"purchase_price:  189.00 € , supplier: WD, retail_price:  380.46 € , glass_price:  € 53.33 ",Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd4nsbgy7pt1nwzq7k8,1192720.0,52.16726
42.0,SPARKLING,Champagne Coutier,Coutier,,BOTTLE,2011.0,8700.0,,7,"purchase_price:  39.15 € , supplier: Michl, retail_price:  78.81 € , glass_price:  € 14.50 ",Cuvée Grande Reserve Brut Champagne,Cloutier,wine_01h4pmmgghb5edhk5n0vgrhqsg,,27.853527
44.0,SPARKLING,"Champagne 1er Cru Tradtion I PN, CH, PM",Gosset-Brabant,,BOTTLE,,6700.0,,8,"purchase_price:  31.20 € , supplier: Karner, retail_price:  62.81 € , glass_price:  € 11.17 ",Tradition Brut Champagne Premier Cru,Gosset-Brabant,wine_01h4pmmfg2hyd3dr54axyex7rp,,52.183952
45.0,SPARKLING,"Champagne Carte Blanche 1er Cru I PN, CH, PM",L. Bénard-Pituois,,BOTTLE,,5600.0,,3,"purchase_price:  23.40 € , supplier: Karner, retail_price:  47.10 € , glass_price:  € 9.33 ",Carte Blanche Brut Champagne Premier Cru,L. Bénard-Pitois,wine_01h4pmmgg5xx8bm62v2934yv1h,,53.354954
46.0,SPARKLING,Champagne Origin.al I PN,Henri Dosnon,,BOTTLE,,6800.0,,4,"purchase_price:  32.00 € , supplier: Karner, retail_price:  64.42 € , glass_price:  € 11.33 ",Brut Sélection Champagne,Henri Dosnon,wine_01havwee2ns382ynzf5kfbeqj1,,41.202538
47.0,SPARKLING,"Champagne Memoire Extra Brut I PN, PM, CH",Huré Frères,,BOTTLE,,13200.0,,5,"purchase_price:  62.00 € , supplier: Karner, retail_price:  124.81 € , glass_price:  € 22.00 ",Memoire Extra Brut Champagne,Huré Frères,wine_01gzr4ksmqedj022j5j6ghbckh,2256807.0,52.806923
48.0,SPARKLING,Champagne  Tradition,Michel Laval,,BOTTLE,,6300.0,,18,"purchase_price:  26.90 € , supplier: WD, retail_price:  54.15 € , glass_price:  € 10.50 ",Tradition Brut Champagne,Michel Laval,wine_01h4pmmgfvrbjfnjsh52ph6t12,,40.996506
49.0,SPARKLING,Champagne Legras Haas Extra Brut Chouilly grand cru,Legras Haas,,BOTTLE,,8900.0,,6,"purchase_price:  42.00 € , supplier: WD, retail_price:  84.55 € , glass_price:  € 14.83 ",Brut Rosé Champagne Grand Cru ''Chouilly'',Legras & Haas,wine_01h4pmmfdw7fc9cxpmgc0qnqwf,,47.487156
50.0,SPARKLING,Cremant de Loire non dosè / CB,Chateau Pierre-Bise,,BOTTLE,2018.0,5300.0,,3,"purchase_price:  18.00 € , supplier: WD, retail_price:  36.23 € , glass_price:  € 8.83 ",Crémant de Loire Non Dose,Château Pierre-Bise,wine_01h0my5srbwc6763t21mwzgf0s,,50.85131
51.0,SPARKLING,Premiere Cuvee Extra brut,Bruno Paillard,,BOTTLE,,9200.0,,8,"purchase_price:  41.50 € , supplier: Cuzziol, retail_price:  83.54 € , glass_price:  € 15.33 ",Première Cuvée Extra Brut Champagne,Bruno Paillard,wine_01gzr4ks5h4zp749zmdayb3sac,1245747.0,39.915802
52.0,SPARKLING,Premiere Cuvee Rose Extra brut,Bruno Paillard,,BOTTLE,,9800.0,,2,"purchase_price:  48.90 € , supplier: Cuzziol, retail_price:  98.44 € , glass_price:  € 16.33 ",Première Cuvée Extra Brut Champagne,Bruno Paillard,wine_01gzr4ks5h4zp749zmdayb3sac,1245747.0,39.915802
53.0,SPARKLING,Assemblage Millesime,Bruno Paillard,,BOTTLE,2012.0,12700.0,,2,"purchase_price:  63.00 € , supplier: Cuzziol, retail_price:  126.82 € , glass_price:  € 21.17 ",Assemblage Brut Champagne,Bruno Paillard,wine_01gzr4ks5h35qv70a07kdtd8tw,1165683.0,35.95659
54.0,SPARKLING,Kalkspitz,Christoph Hoch,,BOTTLE,,3900.0,,10,"purchase_price:  10.50 € , supplier: Cuzziol, retail_price:  21.14 € , glass_price:  € 6.50 ",Kalkspitz,Christoph Hoch,wine_01hfvetce1bgr5y3qjygv4jn2d,,49.181286
54.5,SPARKLING,Zero Infinito,Pojer & Sandri,,BOTTLE,,4000.0,,20,"purchase_price:  13.00 € , supplier: FW, retail_price:  26.17 € , glass_price:  € 6.67 ",Zero Infinito,Pojer e Sandri,wine_01gzr4ksehy4wftxc3709gvxsk,2316643.0,47.803448
54.6,ROSE,Marsili Rosato,Tenuta di castellare,,BOTTLE,,4300.0,,7,"purchase_price:  13.90 € , supplier: Akos, retail_price:  27.98 € , glass_price:  € 7.17 ",Pinot Grigio Rosato,Castellore,wine_01h4pmmgyjhkp7rfgzqnwjjwjb,,25.814615
55.0,SPARKLING,L´Incantatrice,Cantina Lunae,,BOTTLE,,4000.0,,11,"purchase_price:  10.70 € , supplier: Akos, retail_price:  21.54 € , glass_price:  € 6.67 ",L’Incantatrice,Lunae,wine_01h0r2ppa1w8k6anh94p2km6tf,,32.36604
56.0,SPARKLING,Pure and Naked,Weingut am Stein,,BOTTLE,,4800.0,,9,"purchase_price:  18.60 € , supplier: WD, retail_price:  37.44 € , glass_price:  € 8.00 ",Pure & Naked Pet Nat,Am Stein,wine_01hawwcx64m6qge76pqkr43bat,,47.01421
56.4,SPARKLING,Brut Reserve ,Bründelmayer,,BOTTLE,,5800.0,,3,"purchase_price:  22.95 € , supplier: Akos, retail_price:  46.20 € , glass_price:  € 9.67 ",Brut Reserve,Weingut Bründlmayer,wine_01h0my5t2pt593y6qzszjfxe59,,24.51033
57.0,SPARKLING,Fantasie der Schieferterassen,Heymann-Löwenstein,,BOTTLE,2008.0,9700.0,,2,"purchase_price:  48.00 € , supplier: Cuzziol, retail_price:  96.62 € , glass_price:  € 16.17 ",Fantasie der Schieferterrassen,Heymann-Löwenstein,wine_01gzr4kszd6b3yxh779dcgfbam,,56.339455
58.0,WHITE,Weissburgunder Sirmian,Kellerei Nals Margreid,,BOTTLE,2021.0,4200.0,,81,"purchase_price:  17.00 € , supplier: FW, retail_price:  34.22 € , glass_price:  € 7.00 ",Sirmian Pinot Bianco,Nals Margreid,wine_01gzr4kspdtf36964px55qxyer,1134272.0,46.19906
58.0,WHITE,Weissburgunder ,Romen,,BOTTLE,2022.0,4000.0,,18,"purchase_price:  10.00 € , supplier: Romen, retail_price:  20.13 € , glass_price:  € 6.67 ",Hochleiten Weissburgunder,Weinberghof Romen,wine_01h0sq48v83nkp2z8d5ee7nfg3,,24.818949
59.0,WHITE,Weißburgunder Tecum (Magnum),Weingut Castelfeder,,MAGNUM,2015.0,7900.0,,1,"purchase_price:  33.00 € , supplier: Castelfeder, retail_price:  66.43 € , glass_price:  € 13.17 ",Tecum Pinot Bianco,Castelfeder,wine_01h0qsxmwg9rwheq6gt9kqzdh6,,37.29905
60.0,WHITE,Weissburgunder Vorberg Riserva,Kellerei Terlan ,,BOTTLE,2020.0,5500.0,,16,"purchase_price:  20.00 € , supplier: O, retail_price:  40.26 € , glass_price:  € 9.17 ",Pinot Bianco Riserva Vorberg,Terlan (Terlano),wine_01gzr4kskpz3t6pte1cfyvzpzv,77664.0,47.501358
60.5,WHITE,Weissburgunder Vorberg Magnum,Kellerei Terlan ,,MAGNUM,2016.0,12000.0,,4,"purchase_price:  49.85 € , supplier: Karner, retail_price:  100.35 € , glass_price:  € 20.00 ",Pinot Bianco Riserva Vorberg,Terlan (Terlano),wine_01gzr4kskpz3t6pte1cfyvzpzv,77664.0,43.981678
61.0,WHITE,Weissburgunder Rarity,Kellerei Terlan ,,BOTTLE,2007.0,16900.0,,1,"purchase_price:  86.85 € , supplier: Karner, retail_price:  174.83 € , glass_price:  € 28.17 ",Rarity Cuvée,Terlan (Terlano),wine_01gzr4ksn5qkrgcy9dc1tk34y4,5806007.0,46.516644
61.2,WHITE,Weissburgunder Rarity,Kellerei Terlan ,,BOTTLE,2010.0,21700.0,,1,"purchase_price:  107.50 € , supplier: OBK, retail_price:  216.40 € , glass_price:  € 36.17 ",Rarity Cuvée,Terlan (Terlano),wine_01gzr4ksn5qkrgcy9dc1tk34y4,5806007.0,46.516644
