external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
15.0,,"Miau, Methodo Ancestrale",Pranzegg,,BOTTLE,,4000.0,,2,"purchase_price:  12.17 € , supplier: WD, retail_price:  24.50 € , glass_price:  € 6.67 ",,,,,
65.0,,Weißburgunder Renaissance,Gumphof,,BOTTLE,2019.0,6200.0,,1,"purchase_price:  26.50 € , supplier: WD, retail_price:  53.34 € , glass_price:  € 10.33 ",,,,,
139.0,,Solaris Anterui,Urban Visintin,,BOTTLE,2019.0,4100.0,,33,"purchase_price:  12.00 € , supplier: Liesele, retail_price:  24.16 € , glass_price:  € 6.83 ",,,,,
144.3,,Aichberg,Kornell,,BOTTLE,2020.0,5400.0,,8,"purchase_price:  19.90 € , supplier: WD, retail_price:  40.06 € , glass_price:  € 9.00 ",,,,,
161.0,,Lagrein Rosé,Hochklasus,,BOTTLE,2021.0,4000.0,,13,"purchase_price:  12.50 € , supplier: Hochklaus, retail_price:  25.16 € , glass_price:  € 6.67 ",,,,,
184.3,,Riesling Bernkasteller Badstube Kabi,J.J.Prüm,,BOTTLE,2021.0,5800.0,,6,"purchase_price:  27.95 € , supplier: Akos, retail_price:  56.26 € , glass_price:  € 9.67 ",,,,,
184.5,,Riesling Graacher Himmelreich Auslese,J.J.Prüm,,BOTTLE,2021.0,9500.0,,3,"purchase_price:  49.25 € , supplier: Akos, retail_price:  99.14 € , glass_price:  € 15.83 ",,,,,
439.0,,Maddalena Nera,Langut Buchner - Rainer Uhl,,BOTTLE,2019.0,4600.0,,-1,"purchase_price:  17.08 € , supplier: Uhl, retail_price:  34.38 € , glass_price:  € 7.67 ",,,,,
259.0,,Lagrein Riserva bist Herbst 2023 ausverkauft,Nusser,,BOTTLE,2018.0,5300.0,,0,"purchase_price:  19.60 € , supplier: WD, retail_price:  39.45 € , glass_price:  € 8.83 ",,,,,
270.0,,MR 20,Pitzner,,BOTTLE,2020.0,5900.0,,13,"purchase_price:  25.60 € , supplier: WD, retail_price:  51.53 € , glass_price:  € 9.83 ",,,,,
292.0,,Risorgimento,LPR,,BOTTLE,2015.0,22900.0,,8,"purchase_price:  119.00 € , supplier: WD, retail_price:  239.55 € , glass_price:  € 38.17 ",,,,,
294.0,,Palestina,Lentsch,,BOTTLE,2020.0,5200.0,,55,"purchase_price:  20.90 € , supplier: WD, retail_price:  42.07 € , glass_price:  € 8.67 ",,,,,
295.0,,Palestina (reserviert),Lentsch,,BOTTLE,2009.0,6900.0,,0,"purchase_price:  27.90 € , supplier: WD, retail_price:  56.16 € , glass_price:  € 11.50 ",,,,,
296.0,,Learn,Glassierhof,,BOTTLE,2016.0,5600.0,,11,"purchase_price:  21.30 € , supplier: WD, retail_price:  42.88 € , glass_price:  € 9.33 ",,,,,
301.0,,Hexagon,Pitzner,,BOTTLE,2021.0,10900.0,,10,"purchase_price:  57.50 € , supplier: WD, retail_price:  115.75 € , glass_price:  € 18.17 ",,,,,
302.0,,Hexagon,Pitzner,,BOTTLE,2016.0,8400.0,,9,"purchase_price:  29.70 € , supplier: Karner, retail_price:  59.79 € , glass_price:  € 14.00 ",,,,,
364.0,,Flaccianello,Poggio di Sotto,,BOTTLE,2016.0,24500.0,,2,"purchase_price:  134.60 € , supplier: Karner, retail_price:  270.95 € , glass_price:  € 40.83 ",,,,,
439.0,,"Raritätenkiste  65,00 pro Flasche",Nals Margreid,,BOTTLE,2015.0,4400.0,,6,"purchase_price:  193.60 € , supplier: OB, retail_price:  389.72 € , glass_price:  € 7.33 ",,,,,
