ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,1,WHITE,Le Petit,Weingut Manincor,,BOTTLE,2018,8000,,6,"purchase_price: 37.40 € , supplier: WD, retail_price: 75.29 € , glass_price: € 13.33",Le Petit,Manincor,wine_01gzr4ksk9pkd3v8xn0y8j9vbw,2342093,36.537144,2342093,36.537144
TRUE,2,DESSERT,"Gewürztraminer Passito ""Cresta""",Weingut Hans Rottensteiner,,BOTTLE,2017,5700,,9,"purchase_price: 20.90 € , supplier: WD, retail_price: 42.07 € , glass_price: € 9.50",Cresta Traminer Aromatico Passito,Rottensteiner,wine_01h0my5t3ds5xpghf10yab9q86,,39.14688,,39.14688
TRUE,3,DESSERT,Rosenmuskateller Rosis,Kellerei Bozen,,BOTTLE,2020,5300,,9,"purchase_price: 18.00 € , supplier: FW, retail_price: 36.23 € , glass_price: € 8.83",Rosis,Cantina Bolzano / Kellerei Bozen,wine_01h0my5tb96m7ex095naqnnz3w,,35.704185,,35.704185
TRUE,4,DESSERT,Sweet Claire,Weingut Lieselehof,,BOTTLE,2017,7700,,5,"purchase_price: 39.90 € , supplier: Liesele, retail_price: 80.32 € , glass_price: € 12.83",Sweet Claire,Lieselehof,wine_01h0r2pp8yft1cvgmsyrrfv6tz,,43.752678,,43.752678
TRUE,5,DESSERT,Sweet Claire Quintessenz,Weingut Lieselehof,,BOTTLE,2015,19900,,2,"purchase_price: 94.73 € , supplier: Liesele, retail_price: 190.69 € , glass_price: € 33.17",Sweet Claire Quintessenz,Lieselehof,wine_01h0r2pp90ngnyghk87w8db6sm,,50.42923,,50.42923
TRUE,8,DESSERT,Ben Rye Passito di Pantelleria,Donnafugata,,BOTTLE,2020,6600,,4,"purchase_price: 24.90 € , supplier: WD, retail_price: 50.12 € , glass_price: € 11.00",Ben Ryé Passito di Pantelleria,Donnafugata,wine_01gzr4ktfg94yr4a3qs46j1p4r,,50.029785,,50.029785
TRUE,9,DESSERT,Kracher Beerenauslese Non vintage,Kracher,,BOTTLE,,4900,,2,"purchase_price: 15.90 € , supplier: WD, retail_price: 32.01 € , glass_price: € 8.17",Cuvée Beerenauslese,Kracher,wine_01gzr4ktr8jmk609gewew7w2fq,,29.468107,,29.468107
TRUE,11,SPARKLING,Valdobbiadene Superiore,Canella,,BOTTLE,,2900,,76,"purchase_price: 7.86 € , supplier: ob, retail_price: 15.82 € , glass_price: € 4.83",Conegliano Valdobbiadene Prosecco Superiore,Canella,wine_01h0my5t8j514q1k1kne95p6tw,,33.059933,,33.059933
TRUE,11,SPARKLING,Lieselehof Brut - Bio I SG,Weingut Lieselehof,,BOTTLE,2017,7500,,6,"purchase_price: 34.50 € , supplier: Liesele, retail_price: 69.45 € , glass_price: € 12.50",Brut,Lieselehof,wine_01h0r2pp8yp1zj0n5n64v4e073,,30.835691,,30.835691
TRUE,12,SPARKLING,Arunda Cuvée Marianne Extra Brut I PN,Arunda,,BOTTLE,,5300,,3,"purchase_price: 20.00 € , supplier: FW, retail_price: 40.26 € , glass_price: € 8.83",Cuvée Marianna Extra Brut,Arunda,wine_01h0my5rqp4re1r7j537tvhbys,,41.621956,,41.621956
TRUE,13,SPARKLING,"Arunda Rosè Brut I PB, PN",Arunda,,BOTTLE,,5500,,22,"purchase_price: 20.00 € , supplier: WD, retail_price: 40.26 € , glass_price: € 9.17",Brut Rosé,Arunda,wine_01h0my5rqpe521fsdwks0g3yfq,,31.692747,,31.692747
TRUE,14,SPARKLING,"Arunda 0,375 Brut sekt (minibar)",Arunda,,HALF_BOTTLE,,2900,,5,"purchase_price: 8.60 € , supplier: WD, retail_price: 17.31 € , glass_price: € 4.83",Brut,Arunda,wine_01h0my5rqpw4pabakp9gcwa13k,,29.482456,,29.482456
TRUE,16,SPARKLING,Kettmeir Riserva Extra Brut 1919,Kettmeir,,BOTTLE,2016,7300,,4,"purchase_price: 36.80 € , supplier: WD, retail_price: 74.08 € , glass_price: € 12.17",1919 Riserva Extra Brut,Kettmeir,wine_01h0qzm23saw4dnhp09jsgxv7q,,45.27437,,45.27437
TRUE,17,SPARKLING,Haderburg brut,haderburg,,BOTTLE,,5100,,14,"purchase_price: 18.90 € , supplier: WD, retail_price: 38.05 € , glass_price: € 8.50",Brut,Haderburg,wine_01h0qzm1tsmx0p7drhda7fcn87,,30.835691,,30.835691
TRUE,18,SPARKLING,Blanc de Blanc 600 Pas Dose,Kellerei Kurtatsch,,BOTTLE,2017,5800,,16,"purchase_price: 23.00 € , supplier: FW, retail_price: 46.30 € , glass_price: € 9.67",Sekt Spumante 600 Blanc de Blancs Pas Dosé,Cantina Kurtatsch,wine_01h0f3cmbvcfa539vh935hpr4q,,40.642685,,40.642685
TRUE,20,SPARKLING,Brut Perlè - Ferrari I CH,Ferrari,,BOTTLE,2017,7100,,7,"purchase_price: 34.46 € , supplier: O, retail_price: 69.37 € , glass_price: € 11.83",Perlé,Ferrari,wine_01gzr4ksccj35519kgnp4kw2ym,4972,27.717403,4972,27.717403
TRUE,21,SPARKLING,Riserva Lunelli - Ferrari,Ferrari,,BOTTLE,2015,9900,,4,"purchase_price: 51.23 € , supplier: Karner, retail_price: 103.13 € , glass_price: € 16.50",Riserva Lunelli,Ferrari,wine_01gzr4ksccy7w7sgfv1g5hhygr,89737,33.08814,89737,33.08814
TRUE,22,SPARKLING,Blauwal Riserva,Cesconi,,BOTTLE,2014,7000,,8,"purchase_price: 33.90 € , supplier: WD, retail_price: 68.24 € , glass_price: € 11.67",Blauwal Riserva Brut,Cesconi,wine_01h0qsxn5kd4pqt43n22kdt6cw,,37.99651,,37.99651
TRUE,24,SPARKLING,Ferrari Riserva 2009 Magnum,Giulio Ferrari,,MAGNUM,2009,45000,,1,"purchase_price: 210.00 € , supplier: WD, retail_price: 422.73 € , glass_price: € 75.00",'Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452,30.482803,1256452,30.482803
TRUE,26,SPARKLING,Farfalla Collection noir,Ballabio,,BOTTLE,,5500,,5,"purchase_price: 18.70 € , supplier: WD, retail_price: 37.64 € , glass_price: € 9.17",Farfalla Noir Collection Rosé,Ballabio,wine_01h0my5sazp3a04czxqtrbvgtz,,44.731583,,44.731583
TRUE,27,SPARKLING,Barbalonga Saten,Barbalonga,,BOTTLE,,4600,,10,"purchase_price: 16.50 € , supplier: WD, retail_price: 33.21 € , glass_price: € 7.67",Franciacorta Saten,Barbalonga,wine_01h0my5schkq9d4wyg03qxfnh2,,39.921875,,39.921875
TRUE,28,SPARKLING,Cuvee 60 Blanc de blancs,Casa Caterina,,BOTTLE,,5700,,4,"purchase_price: 21.90 € , supplier: WD, retail_price: 44.08 € , glass_price: € 9.50",Cuvée 60 Zero Blanc de Blancs,Casa Caterina,wine_01h0my5vrgwwxac1xgpgyr9ndn,,47.39958,,47.39958
