wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01gzr4ksehej5gqw3qzhv5mezd,6,BOTTLE,0,5500,,,6,"purchase_price: 19.85 € , supplier: FW, retail_price: 39.96 € , glass_price: € 9.17"
wine_01havwedm7cggfejpjq2gwhtk2,10,BOTTLE,0,2500,,,576,"purchase_price: 5.50 € , supplier: FW, retail_price: 11.07 € , glass_price: € 4.17"
wine_01gzr4kscc3eq3g9mgs0f5ns3f,23,BOTTLE,2010,24800,,,2,"purchase_price: 135.00 € , supplier: Karner, retail_price: 271.76 € , glass_price: € 41.33"
wine_01h0sq47vfce9adexvr8y68mcj,74,BOTTLE,2014,13000,,,1,"purchase_price: 55.00 € , supplier: Cuzziol, retail_price: 110.72 € , glass_price: € 19.33"
wine_01h0sq47vfce9adexvr8y68mcj,74,BOTTLE,2015,12000,,,4,"purchase_price: 55.00 € , supplier: Cuzziol, retail_price: 110.72 € , glass_price: € 19.33"
wine_01h0sq47vfce9adexvr8y68mcj,74,BOTTLE,2016,12000,,,4,"purchase_price: 55.00 € , supplier: Cuzziol, retail_price: 110.72 € , glass_price: € 19.33"
wine_01h0sq47xh5n9yqan0denv5sx8,139,BOTTLE,2015,20000,,,2,"purchase_price: 95.00 € , supplier: Alka, retail_price: 191.24 € , glass_price: € 33.33"
wine_01h0b4rjgxsqh9zf0h82pxmsgh,221,BOTTLE,2020,4000,,,3,"purchase_price: 12.80 € , supplier: FW, retail_price: 25.77 € , glass_price: € 6.67"
wine_01h0b4rjgxsqh9zf0h82pxmsgh,221,MAGNUM,2020,7000,,,1,"purchase_price: 12.80 € , supplier: FW, retail_price: 25.77 € , glass_price: € 6.67"
wine_01gzr4ksn2t24p49fh4ph3cme3,227,BOTTLE,2021,4300,,,10,"purchase_price: 14.15 € , supplier: FW, retail_price: 28.48 € , glass_price: € 7.17"
wine_01gzr4ksn2t24p49fh4ph3cme3,227,MAGNUM,2021,7500,,,2,"purchase_price: 14.15 € , supplier: FW, retail_price: 28.48 € , glass_price: € 7.17"
wine_01gzr4kt58d7getsnyf8992dzq,231,BOTTLE,2020,6100,,,8,"purchase_price: 23.50 € , supplier: O, retail_price: 47.31 € , glass_price: € 10.17"
wine_01hndsrmndw98djg58tzvwh8qx,290,BOTTLE,1998,14900,,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50"
wine_01hndsrmndw98djg58tzvwh8qx,290,BOTTLE,2003,14400,,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50"
wine_01hndsrmndw98djg58tzvwh8qx,290,BOTTLE,2005,0,,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50"
wine_01hndsrmndw98djg58tzvwh8qx,290,BOTTLE,2007,0,,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50"
wine_01hndsrmndw98djg58tzvwh8qx,290,BOTTLE,2010,13900,,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50"
wine_01h0qsxmz2vymhmdnd7ez90mqz,42,BOTTLE,2011,8700,,,7,"purchase_price: 39.15 € , supplier: Michl, retail_price: 78.81 € , glass_price: € 14.50"
wine_01h4pmmfcxjg25jt2fnmtbbtbd,49,BOTTLE,0,8900,,,6,"purchase_price: 42.00 € , supplier: WD, retail_price: 84.55 € , glass_price: € 14.83"
wine_01gzr4kt16x7xf11p195ys5yks,146,BOTTLE,2012,13200,,,1,"purchase_price: 60.60 € , supplier: O, retail_price: 121.99 € , glass_price: € 22.00"
wine_01h0my5t2psw58e8850kv8mj31,198,BOTTLE,2022,5400,,,0,"purchase_price: 19.90 € , supplier: WD, retail_price: 40.06 € , glass_price: € 9.00"
wine_01h0sq495kt96skncj1gg2nbmq,204,BOTTLE,2018,6700,,,2,"purchase_price: 31.15 € , supplier: Michl, retail_price: 62.70 € , glass_price: € 11.17"
wine_01hawwcxncqfe5cmf5ndb1jvvt,210,BOTTLE,2015,8900,,,6,"purchase_price: 47.90 € , supplier: WD, retail_price: 96.42 € , glass_price: € 14.83"
wine_01h0qsxnva8tp5akdahwhqqhy9,211,BOTTLE,2016,5700,,,3,"purchase_price: 21.50 € , supplier: Cuzziol, retail_price: 43.28 € , glass_price: € 9.50"
wine_01hndr3f9c0dsmqwf66jrnqpw7,280,BOTTLE,2019,5000,,,4,"purchase_price: 17.60 € , supplier: O, retail_price: 35.43 € , glass_price: € 8.33"
wine_01gzr4ksd304mne6hz94hhd71x,321,BOTTLE,2007,14900,,,1,"purchase_price: 77.30 € , supplier: Karner, retail_price: 155.60 € , glass_price: € 24.83"
wine_01gzr4kthxhcdmh0bnxw8m5n0m,322,BOTTLE,2020,4500,,,6,"purchase_price: 15.30 € , supplier: FW, retail_price: 30.80 € , glass_price: € 7.50"
wine_01h0qsxnrv5ft8z9070tkt84rg,405,BOTTLE,2014,6700,,,2,"purchase_price: 30.90 € , supplier: WD, retail_price: 62.20 € , glass_price: € 11.17"
wine_01harvcm437e28286yzqghzy0a,426,BOTTLE,2017,5300,,,3,"purchase_price: 18.00 € , supplier: WD, retail_price: 36.23 € , glass_price: € 8.83"
