wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01gzr4ks77wsdabt6vnn27vs4y,4,HALF_BOTTLE,0,7500,,,0,
wine_01gzr4kscc048n1dp9m162cgxe,29,BOTTLE,2014,10000,,,0,
wine_01h0sq48by1cx5tjgbkkvtac93,36,BOTTLE,0,4000,,,0,
wine_01gzr4ksccr3vp26k7752yh5yp,59,BOTTLE,2011,18000,,,0,
wine_01gzr4ksccr3vp26k7752yh5yp,59,BOTTLE,2013,18000,,,0,
wine_01gzr4kscceqkyp7md23h3wfqn,60,BOTTLE,2013,25000,,,0,
wine_01h4pmmgg36ppcppnjjh2chgjd,68,BOTTLE,2014,15000,,,0,
wine_01gzr4ks5hk5t3z48cjek6dfq2,71,BOTTLE,0,14000,,,0,
wine_01h0f3cmbqng4amtz0kpnz4zte,74,BOTTLE,0,14000,,,0,
wine_01h4pmmgg6amg6jk2s9xs6fghe,80,BOTTLE,0,0,,,0,
wine_01gzr4ks5t7p7ng1aajb3qfwpn,89,BOTTLE,2012,16000,,,0,
wine_01gzr4ks5ttr3cmdtk3q0s15c8,90,BOTTLE,2017,18000,,,0,
wine_01gzr4ks5ttr3cmdtk3q0s15c8,95,MAGNUM,2013,35000,,,0,
wine_01gzr4ks5tzq6wt9gh2h83w7za,99,BOTTLE,2013,88000,,,0,
wine_01gzr4ks7h5x1nhhc1jnbgbg29,100,BOTTLE,0,36000,,,0,
wine_01gzr4ks7h5x1nhhc1jnbgbg29,101,MAGNUM,0,110000,,,0,
wine_01gzr4ks7h14e4h6h1cx1pzz5p,104,BOTTLE,1988,140000,,,0,
wine_01j0ndyvdyh4apspafs9ha370s,110,BOTTLE,0,11000,,,0,
wine_01h4pmmfdmcyp929xjhy80yasq,120,BOTTLE,2018,34000,,,0,
wine_01h4pmmfdmcyp929xjhy80yasq,120,BOTTLE,2019,34000,,,0,
wine_01h4pmmghf450gmej3xcj6c3vs,125,BOTTLE,0,10000,,,0,
wine_01h4pmmgfe8cw6ye5dnyb95k91,128,BOTTLE,2015,16000,,,0,
wine_01j0ne84rtgqehs5b5r9nar60a,129,BOTTLE,2018,15000,,,0,
wine_01harvcmcv02qbr8njpndet038,134,BOTTLE,0,12000,,,0,
wine_01hfxsdc5gtv9hgzwy2zwxj6pp,136,BOTTLE,0,0,,,0,
wine_01j0ned37q9gh90qy0s2j8ws7b,146,BOTTLE,0,600000,(cassetta di legno 6 bottiglie Edizione Limitata),,0,
wine_01h0my5rrnw0jv8nvnjt0mmgj6,150,BOTTLE,2017,15000,,,0,
wine_01gzr4kscbzga5159ds831sygw,155,BOTTLE,2012,50000,,,0,
wine_01gzr4kscbzga5159ds831sygw,155,BOTTLE,2013,50000,,,0,
wine_01h4pmmfcygbm3ccbkb7d2k852,162,BOTTLE,1993,590000,,,0,
wine_01gzr4ksd7kxm1ztzqza3vfezb,163,BOTTLE,2003,73000,,,0,
wine_01gzr4ksd7kxm1ztzqza3vfezb,163,BOTTLE,2004,73000,,,0,
wine_01gzr4ksd5bcha6deg56c5pjb5,164,BOTTLE,2008,68000,,,0,
wine_01gzr4kt0receynm5697bm9hsq,165,BOTTLE,2008,73000,,,0,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,166,BOTTLE,2006,42000,,,0,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,167,BOTTLE,2008,44000,,,0,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,168,BOTTLE,2009,36000,,,0,
wine_01gzr4kt0qqabfnsanrs4hazep,169,BOTTLE,2010,42000,,,0,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,170,BOTTLE,2012,38000,,,0,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,171,MAGNUM,2010,95000,,,0,
wine_01gzr4ks77z0y7cq2wp8xbrtm4,178,BOTTLE,0,18000,,,0,
wine_01gzr4ks77z0y7cq2wp8xbrtm4,179,MAGNUM,0,39000,,,0,
wine_01gzr4ks77ynfxxqrnkg6ddmwp,185,BOTTLE,2007,37000,,,0,
wine_01gzr4ks77ynfxxqrnkg6ddmwp,186,BOTTLE,2008,46000,,,0,
wine_01h4pmmgk04zbjrsjxcgnrgcqv,189,BOTTLE,0,11000,,,0,
wine_01h0qzm0b7qp7kq1pccfps7hdy,200,BOTTLE,2019,3200,,,0,
wine_01gzr4kspdz7npg54r64bbttkg,209,BOTTLE,2021,3200,,,0,
wine_01h0my5rfe9rrcca981vfgqsgg,210,BOTTLE,2020,4800,,,0,
wine_01h0qzm03pzb7pxqk970t3pc35,213,BOTTLE,2016,6000,,,0,
wine_01gzr4ksmv69qe8d1n72sn0x7d,214,BOTTLE,2020,6000,,,0,
wine_01gzr4ksmv77d19k37hn5xh7nh,219,BOTTLE,2022,6000,,,0,
wine_01gzr4ksmvsfn18zf94zmgm0dw,225,BOTTLE,2021,6000,,,0,
wine_01h0my5rkjz7gye66gy86pdwrz,228,BOTTLE,2021,3800,,,0,
wine_01h0qzm2433nyfnnh58nnegepj,233,BOTTLE,2018,5500,,,0,
wine_01hcw4dfcsy9q2f4awethkakd7,243,BOTTLE,2021,0,,,0,
wine_01gzr4ksfw9s28ys44sz2w2tec,258,BOTTLE,2017,5500,,,0,
wine_01h0my5sg11nj339116kp21c44,259,BOTTLE,2017,6000,,,0,
wine_01gzr4ksrpkdm7peeafhc51gc8,271,BOTTLE,2021,4800,,,0,
wine_01gzr4ksrwdkrra2nm7tw2367y,278,BOTTLE,2020,9000,,,0,
wine_01gzr4ksramprycr75r76z0x74,287,BOTTLE,2018,9000,,,0,
wine_01h0qsxmx337dv0m2cwkrejxsw,301,BOTTLE,2015,4500,,,0,
wine_01gzr4kt8cnv02psawn0pzkmew,302,BOTTLE,2017,4500,,,0,
wine_01j0nfpfxp3j2yb1q05a4hanv7,305,BOTTLE,2013,3600,,,0,
wine_01gzr4kt84n0w4rmwssegaeea7,309,BOTTLE,2014,42000,,,0,
wine_01gzr4kt84n0w4rmwssegaeea7,309,BOTTLE,2016,42000,,,0,
wine_01gzr4kt84n0w4rmwssegaeea7,309,BOTTLE,2017,42000,,,0,
wine_01gzr4kt84n0w4rmwssegaeea7,309,BOTTLE,2019,42000,,,0,
wine_01gzr4kt84n0w4rmwssegaeea7,310,MAGNUM,2016,98000,,,0,
wine_01gzr4kss348s7ywj3zfqbtkz4,311,BOTTLE,2022,5500,,,0,
wine_01gzr4kstdfmz4965smw686hpk,322,BOTTLE,2018,0,,,0,
wine_01j0nfyc9nmjrkjy0trrq2e4z1,329,BOTTLE,2019,1060000,,,0,
