external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
1,SPARKLING,RUINART BLANC DE BLANCS,RUINART,,HALF_BOTTLE,S/A,90.0,,0,,Dom Ruinart Blanc de Blancs Brut Champagne,"{'id': 'wnry_01gzq1kgtm5nsh96zbrjjk7ehs', 'name': 'Ruinart', 'seoName': 'ruinart', 'territory_id': 'terr_01gz19frxb7pqz6dhvmeaz84sn', 'territory': None, 'other_data': {'expected_wines_count': 10}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksd4nsbgy7pt1nwzq7k8,,45.08156
2,SPARKLING,RUINART ROSE',RUINART,,HALF_BOTTLE,S/A,90.0,,0,,Dom Ruinart Rosé Brut Champagne,"{'id': 'wnry_01gzq1kgtm5nsh96zbrjjk7ehs', 'name': 'Ruinart', 'seoName': 'ruinart', 'territory_id': 'terr_01gz19frxb7pqz6dhvmeaz84sn', 'territory': None, 'other_data': {'expected_wines_count': 10}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01h4pmmfdrsyc3d30fzdm74bn4,,40.24485
3,SPARKLING,EXTRA BRUT PREMIERE CUVEE,BRUNO PAILLARD,,HALF_BOTTLE,S/A,65.0,,0,,Première Cuvée Extra Brut Champagne,"{'id': 'wnry_01gzq1kgqbjrv0v9re5jwvq7kt', 'name': 'Bruno Paillard', 'seoName': 'bruno-paillard', 'territory_id': 'terr_01gz19frxb7pqz6dhvmeaz84sn', 'territory': None, 'other_data': {'expected_wines_count': 17}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ks5h4zp749zmdayb3sac,,41.519623
4,SPARKLING,BRUT CHAMPAGNE,SPECIAL CUVEE,,HALF_BOTTLE,S/A,75.0,,0,,Brut Rosé Champagne Premier Cru,"{'id': 'wnry_01h4pmb76c27k0h2r21wq8vahs', 'name': 'Cuvée Carat', 'seoName': 'cuvee-carat', 'territory_id': 'terr_01gz19frxb7pqz6dhvmeaz84sn', 'territory': None, 'other_data': {'expected_wines_count': 3}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-07-06T22:19:31.947558Z', 'updatedAt': '2023-07-06T22:19:31.947558Z', 'deletedAt': None}}",wine_01h4pmmgm3aj0feksaejnnv200,,23.526937
5,SPARKLING,BRUT CHAMP. GRAND CRU B&B QUATRE TERROIRS,PERTOIS MORISET,,HALF_BOTTLE,S/A,60.0,,0,,Les Quatre Terroirs Champagne Grand Cru 'Le Mesnil-sur-Oger',"{'id': 'wnry_01gzq1kha2bn93snqh55hyx2f8', 'name': 'Pertois-Moriset', 'seoName': 'pertois-moriset', 'territory_id': 'terr_01gz19fs56cw3f9rp03m9gcmfb', 'territory': None, 'other_data': {'expected_wines_count': 26}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01h0my5re6wyxf3xam9rd1yn4z,,50.9989
6,SPARKLING,BRUT ROEDERER COLLECTION 244,LOUIS ROEDERER,,HALF_BOTTLE,S/A,65.0,,0,,Collection 244 Champagne,"{'id': 'wnry_01gzq1kgqmfvj2t6m0esq0f4xe', 'name': 'Louis Roederer', 'seoName': 'louis-roederer', 'territory_id': 'terr_01gz19frxb7pqz6dhvmeaz84sn', 'territory': None, 'other_data': {'expected_wines_count': 26}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ks5t3r3m2xqxvqrmzvgc,,46.183655
7,SPARKLING,EXTRA BRUT CUVEE' MARIANNA,ARUNDA,,HALF_BOTTLE,S/A,36.0,,0,,Cuvée Marianna Extra Brut,"{'id': 'wnry_01h0mpcer6t3qze9vxc3pfx0fs', 'name': 'Arunda', 'seoName': 'arunda-trentino-alto-adige', 'territory_id': 'terr_01gz19frxq6svf683bhj2cyr6d', 'territory': None, 'other_data': {'expected_wines_count': 14}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-17T13:24:52.190302Z', 'updatedAt': '2023-05-17T13:24:52.190302Z', 'deletedAt': None}}",wine_01h0my5rqp4re1r7j537tvhbys,,41.67991
8,WHITE,CORTON CHARLEMAGNE,BONNEAU DU MARTRAY,,BOTTLE,2020,0.0,,0,,Corton-Charlemagne Grand Cru,"{'id': 'wnry_01gzq1kh837tenfv7r2a5y319r', 'name': 'Bonneau du Martray', 'seoName': 'bonneau-du-martray', 'territory_id': 'terr_01gz19fsm9r41gqnfbrhe4srae', 'territory': None, 'other_data': {'expected_wines_count': 3}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4kstppr69je9jedmns1pd,,52.574455
9,WHITE,CHAMPAGNIS CHARDONNAY,VIE DE ROMANS,,BOTTLE,2021,30.0,,0,,Ciampagnis  Chardonnay,"{'id': 'wnry_01gzq1kgttsaaazee29zpm45z1', 'name': 'Vie di Romans', 'seoName': 'vie-di-romans-vineyards', 'territory_id': 'terr_01gz19fs04407jcn07f3tm6q9g', 'territory': None, 'other_data': {'expected_wines_count': 23}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksk56cadmzq03npfe2jz,,36.532097
10,WHITE,CERVARO DELLA SALA,ANTINORI,,BOTTLE,2021,65.0,,0,,Castello della Sala Cervaro della Sala,"{'id': 'wnry_01gzq1kgtkjsg3njm3rcj657de', 'name': 'Antinori', 'seoName': 'antinori-tuscany-marchesi-antinori', 'territory_id': 'terr_01gz19fryky5a3k6wx1adt2t9j', 'territory': None, 'other_data': {'expected_wines_count': 93}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksd3b397szz15dat7s7b,,45.07706
