type,full_details,area,price
SPARKLING,"BARONE PIZZINI – FRANCIACORTA BRUT SATEN D.O.C.G. BIO-- 2018 (0.75l) 100% Chardonnay,-12% Vol.
 100% Pinot Nero, 12% Vol.",2-2,€ 65.00
SPARKLING,"BARONE PIZZINI – FRANCIACORTA DOSAGGIO ZERO D.O.C.G. ANIMANTE (0.75l)
 78% Chardonnay, 18% Pinot Nero 4% Pinot Bianco, 12% Vol.",2-2,€ 50.00
SPARKLING,"BARONE PIZZINI – FRANCIACORTA EXTRA BRUT GOLF 1927 (0.75l)
 100% Chardonnay, 12% Vol.",2-2,€ 50.00
SPARKLING,"BARONE PIZZINI – FRANCIACORTA ROSE' D.O.C.G. EXTRA BRUT-MILLESIMATO BIO – 2018 (0.75l)
 100% Pinot Nero, 12% Vol.",2-2,€ 70.00
SPARKLING,"BELLAVISTA – FRANCIACORTA BRUT D.O.C.G. CUVÉE ALMA – (0.75l)
 77% Chardonnay, 22% Pinot Nero, 1% Pinot Bianco, 12,5% Vol.",2-5,€ 60.00
SPARKLING,"CA' DEL BOSCO – CUVÉE PRESTIGE D.O.C.G. EXTRA BRUT 44ma EDIZIONE – (0.75l)
 84% Chardonnay, 2% Pinot Bianco, 14% Pinot Nero, 12,5 Vol.",2-5,€ 75.00
SPARKLING,"CASATA MONFORT – TRENTODOC BRUT CUVÉE '85 (0.75l)
 90% Chardonnay 10% Pinot Nero , 12,5% Vol.",,€ 45.00
SPARKLING,"CASATA MONFORT – TRENTODOC BRUT ROSE' D.O.C. (0.75l) 
 50% Chardonnay, 50% Pinot Nero , 12,5% Vol.",2-3,€ 50.00
SPARKLING,"CAVALLERI – FRANCIACORTA BLANC DE BLANCS NATURE BIO-- (0.75l)
 100% Chardonnay,-12,5% Vol.",3-4,€ 55.00
SPARKLING,"CAVALLERI – FRANCIACORTA PAS DOSE' DOSAGGIO ZERO BIO-- 2018 (0.75l)
 100% Chardonnay,-12% Vol.",3-4,€ 70.00
SPARKLING,"CAVALLERI – FRANCIACORTA ROSE' EXTRA BRUT MILLESIMATO BIO-- 2018 (0.75l)
 100% Pinot Nero,-12% Vol.",3-4,€ 75.00
SPARKLING,"CAVALLERI – FRANCIACORTA SATEN D.O.C.G. BIO-- 2019 (0.75l)
 100% Chardonnay,-12% Vol.",3-4,€ 60.00
SPARKLING,"CEMBRANI – TRENTODOC 708 EXTRA BRUT-D.O.C.(0.75l)
 100% Chardonnay , 12,5% Vol.",2-3,€ 65.00
SPARKLING,"D'ARAPRI' – BRUT (0.75l)
 50% Bombino Bianco, 50% Pinot Nero, 12,5% Vol.",2-4,€ 45.00
