type,area,price,winery_name,vintage,size,name,info,internal_notes
SPARKLING,2-2, 65.00,BARONE PIZZINI,2018,BOTTLE,FRANCIACORTA BRUT SATEN D.O.C.G. BIO,,
SPARKLING,2-2, 50.00,BARONE PIZZINI,,BOTTLE,FRANCIACORTA DOSAGGIO ZERO D.O.C.G. ANIMANTE,,
SPARKLING,2-2, 50.00,BARONE PIZZINI,1927,BOTTLE,FRANCIACORTA EXTRA BRUT GOLF,,
SPARKLING,2-2, 70.00,BARONE PIZZINI,2018,BOTTLE,FRANCIACORTA ROSE' D.O.C.G. EXTRA BRUTMILLESIMATO BIO,,
SPARKLING,2-5, 60.00,BELLAVISTA,,BOTTLE,FRANCIACORTA BRUT D.O.C.G. CUVÉE ALMA,,
SPARKLING,2-5, 75.00,CA' DEL BOSCO,,BOTTLE,CUVÉE PRESTIGE D.O.C.G. EXTRA BRUT 44ma EDIZIONE,,
SPARKLING,, 45.00,CASATA MONFORT,,BOTTLE,TRENTODOC BRUT CUVÉE '85,,
SPARKLING,2-3, 50.00,CASATA MONFORT,,BOTTLE,TRENTODOC BRUT ROSE' D.O.C.,,
SPARKLING,3-4, 55.00,CAVALLERI,,BOTTLE,FRANCIACORTA BLANC DE BLANCS NATURE BIO,,
SPARKLING,3-4, 70.00,CAVALLERI,2018,BOTTLE,FRANCIACORTA PAS DOSE' DOSAGGIO ZERO BIO,,
SPARKLING,3-4, 75.00,CAVALLERI,2018,BOTTLE,FRANCIACORTA ROSE' EXTRA BRUT MILLESIMATO BIO,,
SPARKLING,3-4, 60.00,CAVALLERI,2019,BOTTLE,FRANCIACORTA SATEN D.O.C.G. BIO,,
SPARKLING,2-3, 65.00,CEMBRANI,,BOTTLE,TRENTODOC 708 EXTRA BRUTD.O.C.,,
SPARKLING,2-4, 45.00,D'ARAPRI',,BOTTLE,BRUT,,
SPARKLING,2-4, 55.00,D'ARAPRI',,BOTTLE,ROSE' BRUT,,
SPARKLING,3-4, 65.00,ENRICO SERAFINO,2018,BOTTLE,ALTA LANGA D.O.C.G. PARCELLAIRE EXTRABRUT,,
SPARKLING,3-4, 85.00,ENRICO SERAFINO,2017,BOTTLE,ALTA LANGA D.O.C.G. RISERVA PAS DOSE' MILLESIMATO BRUT 'ZERO',,
SPARKLING,3-4, 50.00,ENRICO SERAFINO,2018,BOTTLE,ALTA LANGA OUDEIS BRUTD.O.C.G.    Millesimato,,
SPARKLING,3-5, 50.00,ENRICO SERAFINO,2018,MAGNUM,ALTA LANGA OUDEIS BRUTD.O.C.G.    Millesimato,,
SPARKLING,2-5, 75.00,FERRARI,,BOTTLE,SPUMANTE BRUT PERLE' MILLESIMATO,,
SPARKLING,2-3, 70.00,FEUDI DI SAN GREGORIO,,BOTTLE,DUBL ESSE DOSAGGIO ZERO,,
SPARKLING,, 280.00,GIULIO FERRARI,2010,BOTTLE,EXTRA BRUT RISERVA DEL FONDATORE TRENTO D.O.C.,,
SPARKLING,3-4, 60.00,HADERBURG,2019,BOTTLE,PAS DOSE' MILLESIMATO ALTO ADIGE D.O.C.,,
